ref,word,num,dep,label,dep2,label2
"KroNAAPlums.001",Nih'oo3oo,1,,,,
"KroNAAPlums.001",hoowuniihiseehek.,2,,,,
"KroNAAPlums.002",He'iteto'ohk,1,,,,
"KroNAAPlums.002",hoxotoono'.,2,,,,
"KroNAAPlums.003",He'noohooto'ohk,1,,,,
"KroNAAPlums.003",beesibino,2,,,,
"KroNAAPlums.003",neci'.,3,,,,
"KroNAAPlums.004",Ne'hinowouseehek.,1,,,,
"KroNAAPlums.005",Ce'hinowouseehek,1,,,,
"KroNAAPlums.005",neci'.,2,,,,
"KroNAAPlums.006",ne'toukutoohok,1,,,,
"KroNAAPlums.006",hoh'onookeeno,2,,,,
"KroNAAPlums.006",hiicetine',3,,,,
"KroNAAPlums.006",noh,4,,,,
"KroNAAPlums.006",hi'oote'.,5,,,,
"KroNAAPlums.006","Ne'ii'inowouseehek,",6,,,,
"KroNAAPlums.006",tohnotouno',7,,,,
"KroNAAPlums.006",beesibino.,8,,,,
"KroNAAPlums.007",He'cihce'bixou'oohok,1,,,,
"KroNAAPlums.007",hoo3i3iniihi'.,2,,,,
"KroNAAPlums.008",Hihcebe',1,,,,
"KroNAAPlums.008",noohooto',2,,,,
"KroNAAPlums.008",ohk,3,,,,
"KroNAAPlums.008",beesibino,4,,,,
"KroNAAPlums.008",toh'outeni'i.,5,,,,
