ref,word,num,dep,label,dep2,label2
"KroNAATrue.001",[hee]tohniisooneeto',1,,,,
"KroNAATrue.001",hooxeihiiniicie,2,,,,
"KroNAATrue.001",tih'ootee',3,,,,
"KroNAATrue.001",hiiteen.,4,,,,
"KroNAATrue.002",Hii3einoon,1,,,,
"KroNAATrue.002",noo'oeeniihi',2,,,,
"KroNAATrue.002",tih'ini,3,,,,
"KroNAATrue.002",woo3eet.,4,,,,
"KroNAATrue.003",heeyowuusi',1,,,,
"KroNAATrue.003",nii'o3ii'oohuutooni'i.,2,,,,
"KroNAATrue.004",Neeyou,1,,,,
"KroNAATrue.004",heneenei3ou'u,2,,,,
"KroNAATrue.004",no'ookeit.,3,,,,
"KroNAATrue.005",Biibiikoo,1,,,,
"KroNAATrue.005",woxuhooxebii,2,,,,
"KroNAATrue.005",nih'iinoono'etouuhu3i'.,3,,,,
"KroNAATrue.006",honoh'oehih'o',1,,,,
"KroNAATrue.006",hineniteeno',2,,,,
"KroNAATrue.006",conoocowookoeni3i,3,,,,
"KroNAATrue.006",wohouwu,4,,,,
"KroNAATrue.006",nih'ii3i'.,5,,,,
"KroNAATrue.007",Hitee,1,,,,
"KroNAATrue.007",nookei;,2,,,,
"KroNAATrue.008",nonii,1,,,,
"KroNAATrue.008",nookei;,2,,,,
"KroNAATrue.009","noonohkooko'eitouuhu!,",1,,,,
"KroNAATrue.009",nih'ii3i',2,,,,
"KroNAATrue.009",honoh'oehih'o'.,3,,,,
"KroNAATrue.010",'oh,1,,,,
"KroNAATrue.010",neeyou,2,,,,
"KroNAATrue.010",noh'ouutowoot,3,,,,
"KroNAATrue.010",heneeneisiini'i.,4,,,,
"KroNAATrue.011","Biibiikoo,",1,,,,
"KroNAATrue.011",heeyowuusi',2,,,,
"KroNAATrue.011",hiseino',3,,,,
"KroNAATrue.011",hiiceno,4,,,,
"KroNAATrue.011",nih'iibei3oo3i'.,5,,,,
"KroNAATrue.012",Hoo3oo'o',1,,,,
"KroNAATrue.012",nih'iikooneniii3i'.,2,,,,
"KroNAATrue.013",Noh,1,,,,
"KroNAATrue.013",huukoot,2,,,,
"KroNAATrue.013",neeyou,3,,,,
"KroNAATrue.013",se'esoonoot.,4,,,,
"KroNAATrue.014","ho'uwoono3o,",1,,,,
"KroNAATrue.014","ce'eino3o,",2,,,,
"KroNAATrue.014","houwo,",3,,,,
"KroNAATrue.014",hono'ut,4,,,,
"KroNAATrue.014",behiihi',5,,,,
"KroNAATrue.014",nih'iitonouhuni'.,6,,,,
"KroNAATrue.015",totoos,1,,,,
"KroNAATrue.015","seenookuu,",2,,,,
"KroNAATrue.015",ceeceno'oo.,3,,,,
"KroNAATrue.016",Nih'iibeebe'esoonouuteyoonootiini'.,1,,,,
"KroNAATrue.017",Betebihoh'o',1,,,,
"KroNAATrue.017","konowunoonoh'eenee3i',",2,,,,
"KroNAATrue.017",ceecebei'i3i'.,3,,,,
"KroNAATrue.018","Tihbii3oot,",1,,,,
"KroNAATrue.018",nuhu',2,,,,
"KroNAATrue.018",nih'iihi'.,3,,,,
"KroNAATrue.019",Hihcebe',1,,,,
"KroNAATrue.019",hixono,2,,,,
"KroNAATrue.019","tih'oseikuuhu'u,",3,,,,
"KroNAATrue.019",noh,4,,,,
"KroNAATrue.019","ciiyowoono,",5,,,,
"KroNAATrue.019",hi'iisoono',6,,,,
"KroNAATrue.019",ceece3ei'oo'.,7,,,,
"KroNAATrue.020",kookuyon,1,,,,
"KroNAATrue.020",nih'iibehinouhu3i',2,,,,
"KroNAATrue.020","biito'owuu',",3,,,,
"KroNAATrue.020",3o3ooxoyoowuu'.,4,,,,
"KroNAATrue.021","Hoeii,",1,,,,
"KroNAATrue.021",nexobeebee3i'.,2,,,,
"KroNAATrue.022",Hi'iisoono',1,,,,
"KroNAATrue.022",wonoo3ee3i'.,2,,,,
"KroNAATrue.023",Noonoxuhu'!,1,,,,
"KroNAATrue.024",Woow,1,,,,
"KroNAATrue.024","niih'eiseeno',",2,,,,
"KroNAATrue.024",hihcebehe',3,,,,
"KroNAATrue.024",hiit,4,,,,
"KroNAATrue.024","hi'iisoono',",5,,,,
"KroNAATrue.024",hee3oooxuneet,6,,,,
"KroNAATrue.024",beh'eihehi'.,7,,,,
"KroNAATrue.025",Ciiteex,1,,,,
"KroNAATrue.025","hi'iisoono',",2,,,,
"KroNAATrue.025",ne'nih'ii'no'o'heso'onoo3i'.,3,,,,
"KroNAATrue.026",Hi'iisoono',1,,,,
"KroNAATrue.026",tihno'o'heso'onoo3i',2,,,,
"KroNAATrue.026",ceitee,3,,,,
"KroNAATrue.026","hoowuniihiihi',",4,,,,
"KroNAATrue.026",heneeceehe',5,,,,
"KroNAATrue.026",ne'nih'ii'cenisi'.,6,,,,
"KroNAATrue.027","hi3iwoo,",1,,,,
"KroNAATrue.027",niisoo',2,,,,
"KroNAATrue.027",yeiniini',3,,,,
"KroNAATrue.027","cecinii,",4,,,,
"KroNAATrue.027",let's,5,,,,
"KroNAATrue.027","see,",6,,,,
"KroNAATrue.027",twenty,7,,,,
"KroNAATrue.027",four,8,,,,
"KroNAATrue.027","years,",9,,,,
"KroNAATrue.027",Nee'ee3ei'ookeet.,10,,,,
