ref,word,num,dep,label,dep2,label2
"LangSym.001",Nuhu',1,,,,
"LangSym.001",hinono'eitiit,2,,,,
"LangSym.001",nee'ee3eehentoono',3,,,,
"LangSym.001",huutiino.,4,,,,
"LangSym.002",Nuhu',1,,,,
"LangSym.002",hinono'eitiit,2,,,,
"LangSym.002",woow,3,,,,
"LangSym.002",heetbeetiseenoo'.,4,,,,
"LangSym.003",Hee3eboninoo'oo',1,,,,
"LangSym.003","hinono'eitiit,",2,,,,
"LangSym.004",noh,1,,,,
"LangSym.004",niibeetce'koheisenowuni'.,2,,,,
"LangSym.005",Hiiwoonhehe',1,,,,
"LangSym.005","tei'yoonoh'o',",2,,,,
"LangSym.005",wonooniii'oo3i',3,,,,
"LangSym.005",noh,4,,,,
"LangSym.005",beesneniteeno',5,,,,
"LangSym.005",heetbehiitowoo3i',6,,,,
"LangSym.005",hiiyoo3iihi',7,,,,
"LangSym.005",heetihce'inono'eitiitooni'.,8,,,,
"LangSym.006",Honouuneenoo',1,,,,
"LangSym.006",nuhu',2,,,,
"LangSym.006",hinono'eitiit.,3,,,,
"LangSym.007",Hinono'eino',1,,,,
"LangSym.007","heetookohuustonounou'u,",2,,,,
"LangSym.007",hookoh,3,,,,
"LangSym.007",nee'eesiine'etii3i'.,4,,,,
