ref,word,num,dep,label,dep2,label2
"LitEa.001",hecesii'eihii,1,,,,
"LitEa.001",nih'iii'oh'eit,2,,,,
"LitEa.001",hibesiiwoho',3,,,,
"LitEa.001",noh,4,,,,
"LitEa.001",hinii'iwoho'.,5,,,,
"LitEa.002",nihwoo3eeni3i,1,,,,
"LitEa.002",hiisoh'oho,2,,,,
"LitEa.002",noh,3,,,,
"LitEa.002","hiteseiwo,",4,,,,
"LitEa.002",ne'iteneit,5,,,,
"LitEa.002",hinii'iwoho',6,,,,
"LitEa.002",tih'ecexookeet.,7,,,,
"LitEa.003",hibesiiwoho',1,,,,
"LitEa.003",nih'oonoo3itooneit,2,,,,
"LitEa.003",hi'iihi',3,,,,
"LitEa.003",3eboosei3iihi',4,,,,
"LitEa.003",hiniito'eino.,5,,,,
"LitEa.004",hecesii'eihii,1,,,,
"LitEa.004",nih'iini'eeneeto',2,,,,
"LitEa.004",hiinoo'einoo3itoono.,3,,,,
"LitEa.005",nih'iibeetno'oteiht,1,,,,
"LitEa.005",hiinoo'oet.,2,,,,
"LitEa.006",hecesii'eihii,1,,,,
"LitEa.006",hibesiiwoho',2,,,,
"LitEa.006",noh,3,,,,
"LitEa.006",hinii'iwoho',4,,,,
"LitEa.006",nih'ei'towuuneit,5,,,,
"LitEa.006",heetih'eeteniitiit,6,,,,
"LitEa.006",hiteneyooo,7,,,,
"LitEa.006",heetihni'iinoo'eihiinit.,8,,,,
"LitEa.007",nih'ei'towuuneit,1,,,,
"LitEa.007",hi'iihi',2,,,,
"LitEa.007",ciibeetoot,3,,,,
"LitEa.007",tohu'uuhiiyootoni'i,4,,,,
"LitEa.007",hitiini3ecootono,5,,,,
"LitEa.007",noh,6,,,,
"LitEa.007",hiteneyooo.,7,,,,
"LitEa.008",nih'iixoohoo3iheihit,1,,,,
"LitEa.008",niisbobooteenebeihi3i',2,,,,
"LitEa.008",hoo3oo'o',3,,,,
"LitEa.008",neniteeno'.,4,,,,
"LitEa.009",nihnohkei'towuuneiht,1,,,,
"LitEa.009",heetih'eeteeneeto',2,,,,
"LitEa.009","biito'owu',",3,,,,
"LitEa.009",nec,4,,,,
"LitEa.009",noh,5,,,,
"LitEa.009",cese'eihiiho'.,6,,,,
"LitEa.010",hecesii'eihii,1,,,,
"LitEa.010",hibesiiwoho',2,,,,
"LitEa.010",nih'ei'towuuneit,3,,,,
"LitEa.010","heebehbeetni'iinoo'eihiini,",4,,,,
"LitEa.010",heetnee'inow,5,,,,
"LitEa.010",heeyouhuu.,6,,,,
"LitEa.011",nehe',1,,,,
"LitEa.011",hiinoo'eihii,2,,,,
"LitEa.011",heetniito'eeneti3oot,3,,,,
"LitEa.011",cese'eihiiho,4,,,,
"LitEa.011",heesciinoh'oot.,5,,,,
"LitEa.012",heetnei'towuunoot,1,,,,
"LitEa.012",hini',2,,,,
"LitEa.012",cese'eihiiho,3,,,,
"LitEa.012",hee3eenoh'oot.,4,,,,
"LitEa.013",hoowuni'neh'ee,1,,,,
"LitEa.013",teebe,2,,,,
"LitEa.013",nih'iiscebii'ooni3i,3,,,,
"LitEa.013",cese'eihiiho.,4,,,,
"LitEa.014",heenoo,1,,,,
"LitEa.014",heetbeebebe'inii3otinoot,2,,,,
"LitEa.014",hinee,3,,,,
"LitEa.014",beeheeteihini3,4,,,,
"LitEa.014",tohu'ibii3hiini3i',5,,,,
"LitEa.014",hinii3neniiwooono.,6,,,,
"LitEa.015",hecesii'eihii,1,,,,
"LitEa.015",nih'iiceh'e3ihoot,2,,,,
"LitEa.015",hibesiiwoho';,3,,,,
"LitEa.015",hoote'einee,4,,,,
"LitEa.015",nihni'iinoo'eihiinit.,5,,,,
"LitEa.016",nihbixoo3oot,1,,,,
"LitEa.016",hibesiiwoho',2,,,,
"LitEa.016",noh,3,,,,
"LitEa.016","hinii'iwoho',",4,,,,
"LitEa.016",noh,5,,,,
"LitEa.016",nih'iino'uxotonoot,6,,,,
"LitEa.016",bii3wo.,7,,,,
"LitEa.017",nih'iiteco'onbebe'init,1,,,,
"LitEa.017",tohni'iinoo'eihiinit.,2,,,,
