ref,word,num,dep,label,dep2,label2
"LitP.001",hinee,1,,,,
"LitP.001",tih'iine'etiitooni',2,,,,
"LitP.001",he'ihnii3iine'etiino',3,,,,
"LitP.001",hineniteeno'.,4,,,,
"LitP.002",he'ih'okeciihihno'.,1,,,,
"LitP.003",hecesiiteihiiho',1,,,,
"LitP.003",he'ih'ii3eeno'.,2,,,,
"LitP.004",noh,1,,,,
"LitP.004",3owo3neniteeno,2,,,,
"LitP.004",he'ih'iibiineeno'.,3,,,,
"LitP.005",wothiihoownoh'oono'.,1,,,,
"LitP.006","hiteehinoo,",1,,,,
"LitP.006",he'ih'iinootowuu,2,,,,
"LitP.006",hiyeih'inoo.,3,,,,
"LitP.007",hinen,1,,,,
"LitP.007",he'ih'itet,2,,,,
"LitP.007",niiinon.,3,,,,
"LitP.008",he'ihciitei.,1,,,,
"LitP.009",he'ih'iineestoukuhuno',1,,,,
"LitP.009",hokooxune'.,2,,,,
"LitP.010",tei'yoonehe',1,,,,
"LitP.010",he'ihnosounnookohowoo,2,,,,
"LitP.010",hokok,3,,,,
"LitP.010",hi'iihi',4,,,,
"LitP.010",betiit.,5,,,,
"LitP.011",nehe',1,,,,
"LitP.011",hinen,2,,,,
"LitP.011",he'ihnoohoot,3,,,,
"LitP.011",beteeho.,4,,,,
"LitP.012",he'ihnoo'oetoukuhunino,1,,,,
"LitP.012",hokooxune'.,2,,,,
"LitP.013",“henee',1,,,,
"LitP.013",nuhu',2,,,,
"LitP.013",hitee?”,3,,,,
"LitP.014",“neisonoo,1,,,,
"LitP.014",hicitee”,2,,,,
"LitP.014",heehehk,3,,,,
"LitP.014",nehe',4,,,,
"LitP.014",hecesiiteihiisoo.,5,,,,
"LitP.015",nehe',1,,,,
"LitP.015",hinen,2,,,,
"LitP.015",he'ne'koxkoho'.,3,,,,
"LitP.016",“'oh,1,,,,
"LitP.016",nuhu',2,,,,
"LitP.016",henee',3,,,,
"LitP.016",hitee?”,4,,,,
"LitP.017",“neinoo,1,,,,
"LitP.017",hicitee”,2,,,,
"LitP.017",heehehk,3,,,,
"LitP.017",nehe',4,,,,
"LitP.017",hinen.,5,,,,
"LitP.018",he'ne'koxkoho',1,,,,
"LitP.018",“noh,2,,,,
"LitP.018",nuhu',3,,,,
"LitP.018",henee',4,,,,
"LitP.018",hitee?”,5,,,,
"LitP.019",“neeseh'e,1,,,,
"LitP.019",hicitee”,2,,,,
"LitP.019",heehehk.,3,,,,
"LitP.020",nehe',1,,,,
"LitP.020",hinen,2,,,,
"LitP.020",he'ne'koxkoho'.,3,,,,
"LitP.021",“'oh,1,,,,
"LitP.021",nuhu',2,,,,
"LitP.021",henee',3,,,,
"LitP.021",hitee”,4,,,,
"LitP.021",hee3oohok.,5,,,,
"LitP.022",“nebi,1,,,,
"LitP.022",hicitee”,2,,,,
"LitP.022",hee3eihok.,3,,,,
"LitP.023",kooxhe'ihkoxkoh.,1,,,,
"LitP.024",noo'oeeniihi',1,,,,
"LitP.024",hokooxune',2,,,,
"LitP.024",he'ihtoukuhuno,3,,,,
"LitP.024",beteeho.,4,,,,
"LitP.025",nuhu',1,,,,
"LitP.025",hecesiiteihiiho',2,,,,
"LitP.025",hiteehinoo,3,,,,
"LitP.025",nuhu',4,,,,
"LitP.025",behiihi',5,,,,
"LitP.025",neenei3o'eibetiitooni'.,6,,,,
"LitP.026",'oh,1,,,,
"LitP.026",he'ih'itooxoutenin,2,,,,
"LitP.026",tei'yoonbetee.,3,,,,
"LitP.027",“'oh,1,,,,
"LitP.027",nuhu',2,,,,
"LitP.027",henee',3,,,,
"LitP.027",hitee”,4,,,,
"LitP.027",hee3oohok,5,,,,
"LitP.027",nuhu',6,,,,
"LitP.027","hecesiiteihiisoo,",7,,,,
"LitP.027",“noh,8,,,,
"LitP.027",netee”,9,,,,
"LitP.027",niihok.,10,,,,
"LitP.028",he'ihciibee3inihii.,1,,,,
"LitP.029",nehe',1,,,,
"LitP.029",hinen,2,,,,
"LitP.029",he'ihnihi'neetonee.,3,,,,
"LitP.030",“henee',1,,,,
"LitP.030",hitee”,2,,,,
"LitP.030",nii3oohok.,3,,,,
"LitP.031",noh,1,,,,
"LitP.031",“necitee”,2,,,,
"LitP.031",hee3eihok.,3,,,,
"LitP.032",he'ne'koxkoho'.,1,,,,
"LitP.033",he'ihsiicoo'ouhun.,1,,,,
"LitP.034",noh,1,,,,
"LitP.034",ne'nih'iisnoo'oohetohkoni',2,,,,
"LitP.034",nuhu',3,,,,
"LitP.034","hecesiiteihiiho',",4,,,,
"LitP.035","tih'iinoxownoo',",1,,,,
"LitP.035",tihbiinoohohkoni'.,2,,,,
