ref,word,num,dep,label,dep2,label2
"Mag.001",Heniixoyou'u,1,,,,
"Mag.001",nii3konoo3einou'u,2,,,,
"Mag.001",bei'ci3ei'i.,3,,,,
"Mag.002",Neniteeno',1,,,,
"Mag.002",niitonounou'u,2,,,,
"Mag.002",nii3konoo3einou'u,3,,,,
"Mag.002",bei'ci3ei'i,4,,,,
"Mag.002",heeyowuusi',5,,,,
"Mag.002","hiniisi3ooninoo,",6,,,,
"Mag.002",hiyeih'inoo,7,,,,
"Mag.002",wo'ei3,8,,,,
"Mag.002",hiinikotiit.,9,,,,
"Mag.003",Niicebisee3i',1,,,,
"Mag.003",heenisoni3i',2,,,,
"Mag.003",hi'iihi',3,,,,
"Mag.003",beneesooni'i,4,,,,
"Mag.003",nii3konoo3einou'u,5,,,,
"Mag.003",bei'ci3ei'i,6,,,,
"Mag.003",niitonouni'i,7,,,,
"Mag.003","ciinwoti'eyoone',",8,,,,
"Mag.004",heetihwo'beneihi3i',1,,,,
"Mag.004",ciinotiiwo',2,,,,
"Mag.004",noh,3,,,,
"Mag.004",hoo3oo'o',4,,,,
"Mag.004",heeyouhuuho,5,,,,
"Mag.004",heentou'u'u.,6,,,,
"Mag.005",Touku3eihiiho',1,,,,
"Mag.005",niitonounou'u,2,,,,
"Mag.005",beesnii3konoo3einou'u,3,,,,
"Mag.005",bei'ci3ei'i,4,,,,
"Mag.005",teesiihi',5,,,,
"Mag.005",heetbee3isi'i,6,,,,
"Mag.005","seenookuu,",7,,,,
"Mag.006",heetihnotiitii3i',1,,,,
"Mag.006",hi3oobe',2,,,,
"Mag.006",ni'ecii,3,,,,
"Mag.006",kokiyono,4,,,,
"Mag.006",noh,5,,,,
"Mag.006",hoo3oo'o',6,,,,
"Mag.006",heeyouhuuho,7,,,,
"Mag.006",nihi'woxtootiini'.,8,,,,
"Mag.007",Ceheekuutiiniini,1,,,,
"Mag.007",3owo3nooo,2,,,,
"Mag.007",kooneyoo,3,,,,
"Mag.007",nenii3ino',4,,,,
"Mag.007",nii3konoo3einoo',5,,,,
"Mag.007",bei'ci3e',6,,,,
"Mag.007",ni'iitouni',7,,,,
"Mag.007",hokohoe,8,,,,
"Mag.007",heecisko'usi'.,9,,,,
"Mag.008",Hini',1,,,,
"Mag.008",toyoowse3oo,2,,,,
"Mag.008",hitecenoow,3,,,,
"Mag.008",niine'eh'o'wootee',4,,,,
"Mag.008",hi'iihi',5,,,,
"Mag.008",nii3konoo3einou'u,6,,,,
"Mag.008",bei'ci3ei'i.,7,,,,
"Mag.009",Tecenooniini,1,,,,
"Mag.009","nohceineeyoo,",2,,,,
"Mag.009","woteikuu3oo,",3,,,,
"Mag.009",noh,4,,,,
"Mag.009",ce'iskuu3ooo,5,,,,
"Mag.009",hetneihoownih'ko'usineno,6,,,,
"Mag.009",ciiniyeihehkoni',7,,,,
"Mag.009",nii3konoo3einou'u,8,,,,
"Mag.009",bei'ci3ei'i.,9,,,,
"Mag.010",Heetihtousnotii3ein,1,,,,
"Mag.010",ciiniyeihehk,2,,,,
"Mag.010",he'neexo3oo.,3,,,,
"Mag.011",Nih'oo3oo,1,,,,
"Mag.011",nihtonouno',2,,,,
"Mag.011",hehniisooni',3,,,,
"Mag.011",tihbii'iitiit,4,,,,
"Mag.011",nuhu',5,,,,
"Mag.011",heetiine'etiino'.,6,,,,
"Mag.012",Nii3konoo3einou'u,1,,,,
"Mag.012",bei'ci3ei'i,2,,,,
"Mag.012",henee3neenoo',3,,,,
"Mag.012",tei'ehiit.,4,,,,
"Mag.013",Heeyou,1,,,,
"Mag.013",nenee',2,,,,
"Mag.013",nii3konoo3ei[noo'],3,,,,
"Mag.013",bei'ci3e'?,4,,,,
"Mag.014",nii3konoo3ei,1,,,,
"Mag.014",bei'ci3e',2,,,,
"Mag.014",nenee',3,,,,
"Mag.014",heeyouhuu,4,,,,
"Mag.014",niini'eeteno',5,,,,
"Mag.014",wo'ei3,6,,,,
"Mag.014",niini'wo'teno',7,,,,
"Mag.014",heeyouhuuho.,8,,,,
"Mag.015",nuhu',1,,,,
"Mag.015",ciiyoono,2,,,,
"Mag.015",heenoo,3,,,,
"Mag.015",heetnei'i,4,,,,
"Mag.015",bei'ci3ei'i.,5,,,,
"Mag.016",nii3konoo3ei,1,,,,
"Mag.016",bei'ci3e',2,,,,
"Mag.016",heenoo,3,,,,
"Mag.016",ci',4,,,,
"Mag.016",heetnei'i,5,,,,
"Mag.016",bei'ci3ei'i.,6,,,,
"Mag.017",beisiihi',1,,,,
"Mag.017",heeyouhuuho,2,,,,
"Mag.017",heni'niisihi'i,3,,,,
"Mag.017",hookecouhuhu'u,4,,,,
"Mag.017",wo'ei3,5,,,,
"Mag.017",hecesceheekuutono.,6,,,,
"Mag.018",heeyouhuuho,1,,,,
"Mag.018",ceniinii3konoo3ei,2,,,,
"Mag.018",bei'ci3einiini['],3,,,,
"Mag.018",hini',4,,,,
"Mag.018",hecesceheekuutono,5,,,,
"Mag.018",hoowbebii3ooteeno.,6,,,,
"Mag.019",ni'noohootowuno'ohk,1,,,,
"Mag.019",3eiiniihi',2,,,,
"Mag.019",kookiyon,3,,,,
"Mag.019",bei'ci3einiini,4,,,,
"Mag.019",hootoohoe,5,,,,
"Mag.019",hini',6,,,,
"Mag.019",hecesceheekuutono,7,,,,
"Mag.019",heneinih'einoo'ou'u.,8,,,,
"Mag.020",kokoh'outii,1,,,,
"Mag.020",nuhu',2,,,,
"Mag.020",woo3onise'.,3,,,,
"Mag.021",nuhu',1,,,,
"Mag.021",bei'ci3einiini,2,,,,
"Mag.021",hootoohoe,3,,,,
"Mag.021",heetni'niisihi',4,,,,
"Mag.021",nii3konoo3ei,5,,,,
"Mag.021",bei'ci3e'.,6,,,,
"Mag.022",tonouneihiinoohok,1,,,,
"Mag.022","tei'ehiit,",2,,,,
"Mag.022",beisiihi',3,,,,
"Mag.022",hecesceheekuutono,4,,,,
"Mag.022",heetni'niiteiyookuuhu'u,5,,,,
"Mag.022",neniiseti',6,,,,
"Mag.022",hee3e'einiini['].,7,,,,
"Mag.023",hini',1,,,,
"Mag.023",hootoohoe,2,,,,
"Mag.023",woow,3,,,,
"Mag.023",nii3konoo3ei,4,,,,
"Mag.023",bei'ci3einiini['].,5,,,,
"Mag.024",hini',1,,,,
"Mag.024","tei'ehiit,",2,,,,
"Mag.024",hini',3,,,,
"Mag.024",heeteyoo,4,,,,
"Mag.024",wo'ei3,5,,,,
"Mag.024",tei'ini'ihiit,6,,,,
"Mag.024",hii3iihi',7,,,,
"Mag.024",nii3konoo3ei,8,,,,
"Mag.024","bei'ci3e',",9,,,,
"Mag.024",nenee',10,,,,
"Mag.024",ceebe'eitei'oo'.,11,,,,
"Mag.024",heenei'isei'i.,12,,,,
"Mag.025",nuhu',1,,,,
"Mag.025","heenei'isei'i,",2,,,,
"Mag.025",3i'eyoono',3,,,,
"Mag.025",ni'ii3eihiinou'u.,4,,,,
"Mag.026",toonhei'xoonoo'ou'u,1,,,,
"Mag.026",niisiihi',2,,,,
"Mag.026",hei'ise',3,,,,
"Mag.026","wohoononook,",4,,,,
"Mag.026",nuhu',5,,,,
"Mag.026",nii3konoo3ei,6,,,,
"Mag.026",bei'ci3e',7,,,,
"Mag.026",neniiseti',8,,,,
"Mag.026",hei'ise',9,,,,
"Mag.026",heetyii3e'eise',10,,,,
"Mag.026",hinee,11,,,,
"Mag.026",biito'owuuniini,12,,,,
"Mag.026",nenebiihi',13,,,,
"Mag.026",3ie'yoone'.,14,,,,
"Mag.027",hini',1,,,,
"Mag.027",ceese',2,,,,
"Mag.027",hei'ise',3,,,,
"Mag.027",heetyii3e'eise',4,,,,
"Mag.027",hinee,5,,,,
"Mag.027",noobe'einiini,6,,,,
"Mag.027",3i'eyoone'.,7,,,,
"Mag.028",hecesceheekuutono,1,,,,
"Mag.028",ci'nenii3inou'u,2,,,,
"Mag.028",nenebiihi',3,,,,
"Mag.028",noh,4,,,,
"Mag.028",noobe'einiini,5,,,,
"Mag.028",3i'eyoono.,6,,,,
"Mag.029",3eiiniihi',1,,,,
"Mag.029",hini',2,,,,
"Mag.029",nii3konoo3einiini,3,,,,
"Mag.029",hootoohoe,4,,,,
"Mag.029",hini',5,,,,
"Mag.029",hecesceheekuutono,6,,,,
"Mag.029",ci'heneiniiteiyeekuu'[u].,7,,,,
"Mag.030",woow,1,,,,
"Mag.030",heetni'noohootow,2,,,,
"Mag.030",hini',3,,,,
"Mag.030",tei'ehiit,4,,,,
"Mag.030",hini',5,,,,
"Mag.030","niini'tei'ini'ihiinoo',",6,,,,
