ref,word,num,dep,label,dep2,label2
"MarrWo.001",Hee,1,,,,
"MarrWo.001",nuhu',2,,,,
"MarrWo.001",nenee',3,,,,
"MarrWo.001",neihni'eenee3oo,4,,,,
"MarrWo.001","heeneisoo',",5,,,,
"MarrWo.001",tohcih'itoonehinoo.,6,,,,
"MarrWo.002",Heetee,1,,,,
"MarrWo.002",nih'ooxuwunoo,2,,,,
"MarrWo.002",notoone,3,,,,
"MarrWo.002","hiisi'ehk,",4,,,,
"MarrWo.002",hii3iihi',5,,,,
"MarrWo.002",heetih'i3etini',6,,,,
"MarrWo.002",biito'owu',7,,,,
"MarrWo.002",hi3i'okuu3oo;,8,,,,
"MarrWo.003",tih'iisi3ecoonoo.,1,,,,
"MarrWo.004",Nee'eeniihi',1,,,,
"MarrWo.004",bebiisinotiitiinoo,2,,,,
"MarrWo.004","heetii3eti',",3,,,,
"MarrWo.004",nuhu',4,,,,
"MarrWo.004",hii3e',5,,,,
"MarrWo.004",heet3i'ookuu',6,,,,
"MarrWo.004",niiinon.,7,,,,
"MarrWo.005",Notoone,1,,,,
"MarrWo.005",heetih'onon3eiisi',2,,,,
"MarrWo.005",ho'oowuu',3,,,,
"MarrWo.005",hii3e',4,,,,
"MarrWo.005","neniistoonoo,",5,,,,
"MarrWo.005",nih'iihinoo;,6,,,,
"MarrWo.006",tohbiisiinowoo3o',1,,,,
"MarrWo.006",nuhu',2,,,,
"MarrWo.006",hii3e',3,,,,
"MarrWo.006",3i'ookuu'.,4,,,,
"MarrWo.007",Hee,1,,,,
"MarrWo.007",hookoh,2,,,,
"MarrWo.007",niiniisooni3i',3,,,,
"MarrWo.007",hinenno',4,,,,
"MarrWo.007",niicee'ini'i3eecootonoo3i',5,,,,
"MarrWo.007",hi3e'exuno.,6,,,,
"MarrWo.008",Yooneeyeihciiwoxoenebe',1,,,,
"MarrWo.008",honoh'oe.,2,,,,
"MarrWo.009",Yooheeyeihcihwoohonis,1,,,,
"MarrWo.009",neyeihe'.,2,,,,
"MarrWo.010",Woow,1,,,,
"MarrWo.010",nih'iis'eeneti3o',2,,,,
"MarrWo.010",notoone.,3,,,,
"MarrWo.011",Hookoh,1,,,,
"MarrWo.011","neniih'ei3i'okuno',",2,,,,
"MarrWo.011",hoo3oo'o',3,,,,
"MarrWo.011",hiniito'eino,4,,,,
"MarrWo.011",notoone,5,,,,
"MarrWo.011",hiihoowuno'useenino.,6,,,,
"MarrWo.012","Ne3e'ex,",1,,,,
"MarrWo.012",hiiyou,2,,,,
"MarrWo.012",heyeihe'.,3,,,,
"MarrWo.013",Hinee,1,,,,
"MarrWo.013","hetiicooo,",2,,,,
"MarrWo.013",hiiyou,3,,,,
"MarrWo.013",henec,4,,,,
"MarrWo.013",noh,5,,,,
"MarrWo.013","hebii3wo,",6,,,,
"MarrWo.013",nohkuuhu',7,,,,
"MarrWo.013",hetesih'e.,8,,,,
"MarrWo.014",Nehbii3ihibe.,1,,,,
