ref,word,num,dep,label,dep2,label2
"Meet.001",A,1,,,,
"Meet.001",Houu,2,,,,
"Meet.001","ciineih,",3,,,,
"Meet.001",keetniiniisiseen?,4,,,,
"Meet.002",B,1,,,,
"Meet.002",Tootiino,2,,,,
"Meet.002",woxhoox,3,,,,
"Meet.002",nookeih?,4,,,,
"Meet.003",A,1,,,,
"Meet.003",Hooxono'oo.,2,,,,
"Meet.004",Niiwonceestiinoo,1,,,,
"Meet.004",hootoohoeno,2,,,,
"Meet.004",noh,3,,,,
"Meet.004",niicowooceise'.,4,,,,
"Meet.005",Heetnii3oxoeyeinoo.,1,,,,
"Meet.006",B,1,,,,
"Meet.006","Hee,",2,,,,
"Meet.006",heetnii3oone3en.,3,,,,
"Meet.007",Neebees,1,,,,
"Meet.007",heetceestoonoo,2,,,,
"Meet.007",3o'hoeno,3,,,,
"Meet.007",noh,4,,,,
"Meet.007",nookcebitee.,5,,,,
"Meet.008",A,1,,,,
"Meet.008",Wohei,2,,,,
"Meet.008",nenee'.,3,,,,
"Meet.010",Nooxeihi',1,,,,
"Meet.010",heetco'cooneeen.,2,,,,
"Meet.011",B,1,,,,
"Meet.011","Hee,",2,,,,
"Meet.011",heetnii3ouhowoo,3,,,,
"Meet.011",3o'hoene'eek,4,,,,
"Meet.011",noh,5,,,,
"Meet.011","co'oc,",6,,,,
"Meet.011",nohkuuhu',7,,,,
"Meet.011",nih'oo3ouwox.,8,,,,
"Meet.012",A,1,,,,
"Meet.012","Yehei,",2,,,,
"Meet.012",heetniiyeihetin.,3,,,,
"Meet.013",B,1,,,,
"Meet.013",Nooh'ouube3en.,2,,,,
"Meet.014",Hetino'us!,1,,,,
"Meet.015",A,1,,,,
"Meet.015","Hohou,",2,,,,
"Meet.015",seniibenii'onihin.,3,,,,
"Meet.016",Heetnehxonoo3no'useenoo.,1,,,,
"Meet.017",B,1,,,,
"Meet.017",Heetniiteheibe3en,2,,,,
"Meet.017",nii3oxoeyeinehk.,3,,,,
"Meet.018",A,1,,,,
"Meet.018","Wohei,",2,,,,
"Meet.018",seniinenee',3,,,,
"Meet.018",hii3eti'.,4,,,,
