ref,word,num,dep,label,dep2,label2
"Milk.001",Niiwo'teenwosiinit,1,,,,
"Milk.001",hiwoxhoox,2,,,,
"Milk.001",nihnonouhtiiwoot,3,,,,
"Milk.001",woxo3ou'u.,4,,,,
"Milk.002",Nih'ii3i',1,,,,
"Milk.002","hinenno',",2,,,,
"Milk.002",nehe',3,,,,
"Milk.002",hii3einoon,4,,,,
"Milk.002","hoyeihohk,",5,,,,
"Milk.002",hootteco'onibiinit,6,,,,
"Milk.002",hii3einoon,7,,,,
"Milk.002",[sic:,8,,,,
"Milk.002",s/b,9,,,,
"Milk.002",horse].,10,,,,
"Milk.003",noh,1,,,,
"Milk.003",wo'teenwos,2,,,,
"Milk.003","hoyeihohk,",3,,,,
"Milk.003",hii3einoon,4,,,,
"Milk.003",hootnotoowut.,5,,,,
"Milk.004",Wo'teenwos,1,,,,
"Milk.004",nih'oyeit.,2,,,,
"Milk.005",Hini',1,,,,
"Milk.005",heeyoo',2,,,,
"Milk.005","niicebnooko'eti',",3,,,,
"Milk.005",ne'nih'ii3koohut.,4,,,,
"Milk.006",Noh,1,,,,
"Milk.006",hini',2,,,,
"Milk.006","ceneiwootee',",3,,,,
"Milk.006",ne'nih'ii3koohut,4,,,,
"Milk.006",hii3einoon.,5,,,,
"Milk.007","tih'oyoo3eet,",1,,,,
"Milk.007",nihceibihcehit.,2,,,,
