ref,word,num,dep,label,dep2,label2
"Mission.001",Heetneyei3eihoono',1,,,,
"Mission.001",neyei3eihiiho',2,,,,
"Mission.001",heetih'iixoneihi3i'.,3,,,,
"Mission.002",Hinono'eineyei3eino'oowu',1,,,,
"Mission.002",heeteentou',2,,,,
"Mission.002",heetniisniiteheiwoono',3,,,,
"Mission.002",neyei3eihiiho',4,,,,
"Mission.002",heetihbebiisiii'oo3i'.,5,,,,
"Mission.003",Heetneyei3eihoono',1,,,,
"Mission.003","hii3oobee',",2,,,,
"Mission.003","neeceeniit,",3,,,,
"Mission.003","niiteheibetiit,",4,,,,
"Mission.003",noh,5,,,,
"Mission.003",boboo3iine'etiit.,6,,,,
"Mission.004",Heetnoyeihoono',1,,,,
"Mission.004",noh,2,,,,
"Mission.004",heetxouubee'.,3,,,,
"Mission.005",Co'ouutou3eihiiho',1,,,,
"Mission.005",heetneetou'uni',2,,,,
"Mission.005",nuhu',3,,,,
"Mission.005",beetou3oo.***,4,,,,
"Mission.006",Heetboboo3cebiseenoo',1,,,,
"Mission.006",co'ouutou3eino'oowu'.,2,,,,
"Mission.007",Heetihco'ouute',1,,,,
"Mission.007",niisi3ooot.,2,,,,
"Mission.008",Heetnehtiihoono',1,,,,
"Mission.008",neyei3eihiiho',2,,,,
"Mission.008",noh,3,,,,
"Mission.008",heetnoonoyoohowoono',4,,,,
"Mission.008",noh,5,,,,
"Mission.008",heetniiteheiwoono'.,6,,,,
"Mission.009",Neyei3eihiiho,1,,,,
"Mission.009",heetneeteenowoo3i',2,,,,
"Mission.009",neniteeno'.,3,,,,
"Mission.010",Hinono'eineyei3eino'oowu',1,,,,
"Mission.010",hooxuwuutono,2,,,,
"Mission.010",heetnoonoyoohootowuno'.,3,,,,
"Mission.011",Neniihei'i,1,,,,
"Mission.011",noh,2,,,,
"Mission.011",hinono'eiteen,3,,,,
"Mission.011",hiine'etiit,4,,,,
"Mission.011",heetwoohonenowuno',5,,,,
"Mission.011",heetihnee'eescebiseenoo'.,6,,,,
