ref,word,num,dep,label,dep2,label2
"Moth.001","Tihno'useeno',",1,,,,
"Moth.001",nihtouneeno',2,,,,
"Moth.002",Niiwonoote'inowuuneino'.,1,,,,
"Moth.003","Niisbixoo3eino',",1,,,,
"Moth.003",nenee3i',2,,,,
"Moth.003",niinoh'oeseinowuuneino'.,3,,,,
"Moth.004",Hiisi',1,,,,
"Moth.004",noh,2,,,,
"Moth.004",tece',3,,,,
"Moth.004",heetnotoon[oo3]eino'.,4,,,,
"Moth.005",hoonii,1,,,,
"Moth.005","nonouxonetino',",2,,,,
"Moth.006",niicih'oo3ooteihino'.***,1,,,,
"Moth.007",Niico'on3oo3eenobeen[o'].,1,,,,
"Moth.008","No'oo,",1,,,,
"Moth.008","biixoo3een,",2,,,,
"Moth.009",Hohou,1,,,,
"Moth.009","tohniiteheibei'een,",2,,,,
"Moth.009",tohbiixoo3ei'een.,3,,,,
"Moth.010",Hoonobee',1,,,,
"Moth.010",beinoo,2,,,,
"Moth.010",hitiisiineb.,3,,,,
