ref,word,num,dep,label,dep2,label2
"Mow.001",Honoh'oe,1,,,,
"Mow.001",he'ih'iiko'unosei.,2,,,,
"Mow.002",He'ihnoo'oesee;,1,,,,
"Mow.003",He'ne'nouseni',1,,,,
"Mow.003",hiko'osohoe.,2,,,,
"Mow.004",He'ne'too'oo'useet.,1,,,,
"Mow.005",He'ne'oowuhcehit.,1,,,,
"Mow.006",He'ihnei'ooku'oo,1,,,,
"Mow.006",wooxehe'.,2,,,,
"Mow.007",'oh,1,,,,
"Mow.007",he'ihnoohobee,2,,,,
"Mow.007",hi3o'ow-uu,3,,,,
"Mow.007",he'ihtoutiibis,4,,,,
"Mow.007",nuhu',5,,,,
"Mow.007",wooxehe'.,6,,,,
"Mow.008",Hiniskohoe,1,,,,
"Mow.008",he'ne'ii'oseinoo'e3eihoot.,2,,,,
"Mow.009",He'ne'ce'teesiseet.,1,,,,
"Mow.010",Wohei,1,,,,
"Mow.010",he'ne'ce3oo'useet.,2,,,,
"Mow.011",He'ihce'nei'oohobee.,1,,,,
"Mow.012",Hiisoho',1,,,,
"Mow.012",he'ihcihnee'eestoon:,2,,,,
"Mow.013",He'ne'nih'iisoh'wuuneit,1,,,,
"Mow.013",“you,2,,,,
"Mow.013",are,3,,,,
"Mow.013",no,4,,,,
"Mow.013",good.”,5,,,,
