ref,word,num,dep,label,dep2,label2
"NBurr.001",nih'oo3oo,1,,,,
"NBurr.001",he'ih'oowuniihisee,2,,,,
"NBurr.001",niihiihi',3,,,,
"NBurr.001",niiciihehe'.,4,,,,
"NBurr.002",he'ihnoohobee,1,,,,
"NBurr.002",hiseihih'o,2,,,,
"NBurr.002",hooxono'oo.,3,,,,
"NBurr.003",he'ih'ooxuu,1,,,,
"NBurr.003","he'iitooni3i,",2,,,,
"NBurr.003",noh,3,,,,
"NBurr.003",hee3eihok,4,,,,
"NBurr.003",nih'oo3oo,5,,,,
"NBurr.003",“heh'ii3ooxuhee”,6,,,,
"NBurr.003",hee3eihok.,7,,,,
"NBurr.004",“hih'oo”,1,,,,
"NBurr.004",hee3oohok.,2,,,,
"NBurr.005",noh,1,,,,
"NBurr.005",he'ne'cesisii3ooxuheit.,2,,,,
"NBurr.006",noh,1,,,,
"NBurr.006",beenhehe',2,,,,
"NBurr.006",hoo3iihi',3,,,,
"NBurr.006",he'ihnokohunoo'oo.,4,,,,
"NBurr.007",kou3iihi',1,,,,
"NBurr.007","he'ih'owoto'oo,",2,,,,
"NBurr.007",noh,3,,,,
"NBurr.007",he'ihbii'inee,4,,,,
"NBurr.007",woniseineehiis,5,,,,
"NBurr.007",hinii3e'eene'.,6,,,,
"NBurr.008",he'ihbeh'eibinino.,1,,,,
"NBurr.009",he'ihciinoohobee,1,,,,
"NBurr.009",hiseihih'o.,2,,,,
"NBurr.010",noh,1,,,,
"NBurr.010",heehehk,2,,,,
"NBurr.010",“heet3iiyouhetinoo.”,3,,,,
"NBurr.011",he'ne'iteno',1,,,,
"NBurr.011",hiwooxe;,2,,,,
"NBurr.012",he'ne'3iiyouhetit.,1,,,,
"NBurr.013","hei'iis3iiyouhetit,",1,,,,
"NBurr.013",he'ne'eeckoohut.,2,,,,
"NBurr.014",noh,1,,,,
"NBurr.014","he'ne'ce'no'eeckoohut,",2,,,,
"NBurr.014",noh,3,,,,
"NBurr.014",hiniin,4,,,,
"NBurr.014",hee3eihok,5,,,,
"NBurr.014",“heihtoustoo?”,6,,,,
"NBurr.015",noh,1,,,,
"NBurr.015",heehehk,2,,,,
"NBurr.015",nih'oo3oo,3,,,,
"NBurr.015",“nihniitobeenoo,4,,,,
"NBurr.015","nih'iiyohooteninehk,”",5,,,,
"NBurr.015",hee3oohok.,6,,,,
"NBurr.016",“nee'ee3iiyouhunoo.”,1,,,,
"NBurr.017",noh,1,,,,
"NBurr.017","nih'oo3oo,",2,,,,
"NBurr.017",ne'nii3iiyouhehkoni',3,,,,
"NBurr.017",nih'oo3ou'u.,4,,,,
"NBurr.018",nee'ei'ise'.,1,,,,
