ref,word,num,dep,label,dep2,label2
"NEntr.001",nih'oo3oo,1,,,,
"NEntr.001",he'ihnoo'oeyei'i.,2,,,,
"NEntr.002",he'ihwoo3eenino,1,,,,
"NEntr.002",noo'oeyoono;,2,,,,
"NEntr.003",he'ihnosoukooko'ux.,1,,,,
"NEntr.004",ne'nii'kooko'uxo'.,1,,,,
"NEntr.005",heeneiyoo3ko'uxo',1,,,,
"NEntr.005","niinooxoo,",2,,,,
"NEntr.005",wohei,3,,,,
"NEntr.005","biisiwoo,",4,,,,
"NEntr.005","hiikono,",5,,,,
"NEntr.005","heenei'isiihi',",6,,,,
"NEntr.005","3ooxuu,",7,,,,
"NEntr.005",he'ih'iinosouniini,8,,,,
"NEntr.005",kooko'ux.,9,,,,
"NEntr.006",he'ii3inoo'oo3i,1,,,,
"NEntr.006",nehe',2,,,,
"NEntr.006",koo'oh.,3,,,,
"NEntr.007",“'oh,1,,,,
"NEntr.007","nee'ee,",2,,,,
"NEntr.007",keetciiniiteheibe3?”,3,,,,
"NEntr.008","“hee,",1,,,,
"NEntr.008",heetni'iini.,2,,,,
"NEntr.009",niiyouno,1,,,,
"NEntr.009",nuhu',2,,,,
"NEntr.009","noo'oeyoono,",3,,,,
"NEntr.009",woow,4,,,,
"NEntr.009",heniiskooko'uxowoo.,5,,,,
"NEntr.010",hetwoneehiisetii.,1,,,,
"NEntr.011","hetwoneehiisetii,",1,,,,
"NEntr.011",hetce'ceixotii.,2,,,,
"NEntr.012",hiit,1,,,,
"NEntr.012",he'iicxooyeiniihi',2,,,,
"NEntr.012",heetbii3wootowuno'.,3,,,,
"NEntr.013","heet3ouxoh'owoono',",1,,,,
"NEntr.013",heetihbii3ihino'.”,2,,,,
"NEntr.014",ne'ehyihxotiit,1,,,,
"NEntr.014",koo'ohwuu;,2,,,,
"NEntr.015",he'ihcebinoo'oo.,1,,,,
"NEntr.016",ne'woneehiisetiit.,1,,,,
"NEntr.017",beebiis,1,,,,
"NEntr.017","he'ih'ehiisetii,",2,,,,
"NEntr.017",ne'ootoobe',3,,,,
"NEntr.017",hii3e'.,4,,,,
"NEntr.018",ne'ehce'no'useet.,1,,,,
"NEntr.019",noh,1,,,,
"NEntr.019",“hini',2,,,,
"NEntr.019",nowo'uu,3,,,,
"NEntr.019",seniiini3i'.,4,,,,
"NEntr.020",nowo'uu,1,,,,
"NEntr.020",seniiini3i'.,2,,,,
"NEntr.021",noo'oeyoono,1,,,,
"NEntr.021",konohsiiini3i'.”,2,,,,
"NEntr.022",“hee,1,,,,
"NEntr.022",noosouwoo3ei'i.,2,,,,
"NEntr.023",niiyouno,1,,,,
"NEntr.023",heeneisko'uxowoo.,2,,,,
"NEntr.024",hetwoneehiisetii.,1,,,,
"NEntr.025",hetoonoyoohowoono',1,,,,
"NEntr.025",hi'in,2,,,,
"NEntr.025",nowo'uu.,3,,,,
"NEntr.026",no'oteihi3i'.”,1,,,,
"NEntr.027",ci'nee'ehyihxotiit.,1,,,,
"NEntr.028",wohei,1,,,,
"NEntr.028",ne'nihce'ootoobe'.,2,,,,
"NEntr.029",hii3e',1,,,,
"NEntr.029",cihce'no'useet.,2,,,,
"NEntr.030",“heniisiiini3i'.,1,,,,
"NEntr.031",nono'oteihi3i',1,,,,
"NEntr.031",hini',2,,,,
"NEntr.031",nowo'uu.,3,,,,
"NEntr.032",heeneisiiini3i'.”,1,,,,
"NEntr.033",“hee,1,,,,
"NEntr.033",niiyou:,2,,,,
"NEntr.034",noosouwoo3ei'i,1,,,,
"NEntr.034",noo'oeyoono.,2,,,,
"NEntr.035",noosouwoo3ei'i.”,1,,,,
"NEntr.036",wohei,1,,,,
"NEntr.036",ne'P,2,,,,
"NEntr.036",ci'nee'ehyihxotiiit.,3,,,,
"NEntr.037",kooxci'he'ih'otoob.,1,,,,
"NEntr.038",ce'no'usee.,1,,,,
"NEntr.039",beexcoonisee.,1,,,,
"NEntr.040",ne'3ooxuunoneit,1,,,,
"NEntr.040",nih'eebe3teh'eini3.,2,,,,
"NEntr.041",“hee,1,,,,
"NEntr.041",wottowuhuu,2,,,,
"NEntr.041",nih'o3i'eebeet;,3,,,,
"NEntr.042",'oh,1,,,,
"NEntr.042",nooxeihi',2,,,,
"NEntr.042",neneenin,3,,,,
"NEntr.042",tohuuno'otiin,4,,,,
"NEntr.042",huu3e';,5,,,,
"NEntr.043",nootooben.”,1,,,,
"NEntr.044",he'ihwo'oonce3kohei'i.,1,,,,
"NEntr.045",'oh,1,,,,
"NEntr.045",he'ih'iicoonihi'koo.,2,,,,
"NEntr.046",noh,1,,,,
"NEntr.046",ne'nih'iisoo',2,,,,
"NEntr.046",nuhu',3,,,,
"NEntr.046",hoo3itoo.,4,,,,
"NEntr.047",hooyei,1,,,,
"NEntr.047",he'ih'otoob,2,,,,
"NEntr.047",noo'oeyoono,3,,,,
"NEntr.047",nehe',4,,,,
"NEntr.047",koo'oh.,5,,,,
"NEntr.048",beebiis,1,,,,
"NEntr.048",nih'iiwoneehiisetiit.,2,,,,
