ref,word,num,dep,label,dep2,label2
"NFox.001",nehe',1,,,,
"NFox.001",nih'oo3oo,2,,,,
"NFox.001",he'ihnouxonee,3,,,,
"NFox.001",nuhu',4,,,,
"NFox.001",nouu.,5,,,,
"NFox.002",“nouu”,1,,,,
"NFox.002",ni'ii3oo3i',2,,,,
"NFox.002",nuhu',3,,,,
"NFox.002",nono'eino';,4,,,,
"NFox.003","“fox,",1,,,,
"NFox.003",nouu”,2,,,,
"NFox.003",ni'ii3oo3i'.,3,,,,
"NFox.004",wohei,1,,,,
"NFox.004",hoo3oo'o',2,,,,
"NFox.004",“nouu,3,,,,
"NFox.004",be'eih”,4,,,,
"NFox.004",ni'ii3oo3i',5,,,,
"NFox.004","nii'niisih'eenoo3i,",6,,,,
"NFox.004",wo'ei3,7,,,,
"NFox.004",be'nouu.,8,,,,
"NFox.005",he'ihnouxonee.,1,,,,
"NFox.006","“ceebe'eino'oteihinoo,”",1,,,,
"NFox.006",he'ih'ii3ee,2,,,,
"NFox.006",nuhu',3,,,,
"NFox.006",nouu.,4,,,,
"NFox.007",“heetniixoohoo3ihe3en,1,,,,
"NFox.007",nono'oteihiit.”,2,,,,
"NFox.008","“hee,",1,,,,
"NFox.008",wohei,2,,,,
"NFox.008",cih'iixoohoo3ihi!”,3,,,,
"NFox.009",“wohei,1,,,,
"NFox.009",hiit,2,,,,
"NFox.009",hetneectoyoohow.,3,,,,
"NFox.010",heetneh'oowuniihkoohunoo.,1,,,,
"NFox.011",hi3hetcihwono'usee,1,,,,
"NFox.011",he'iicxooyeiniihi'.”,2,,,,
"NFox.012",ne'ne'eh'oowuniihiseet,1,,,,
"NFox.012",nehe',2,,,,
"NFox.012",nouu.,3,,,,
"NFox.013",ne'noohowoot,1,,,,
"NFox.013","nisice,",2,,,,
"NFox.013",he'ih'einok.,3,,,,
"NFox.014","hee,",1,,,,
"NFox.014",noonoo'oexootonee.,2,,,,
"NFox.015",he'ihbeebenoobee.,1,,,,
"NFox.016","''hee,",1,,,,
"NFox.016",hoowuuni.,2,,,,
"NFox.016",neneenin,3,,,,
"NFox.016",nih'oo3oo.'',4,,,,
"NFox.017",he'ihneneenin.,1,,,,
"NFox.018",ne'ce'kohei'it,1,,,,
"NFox.018",nehe',2,,,,
"NFox.018",nih'oo3oo.,3,,,,
"NFox.019",wohei,1,,,,
"NFox.019",ceesey,2,,,,
"NFox.019",heetniini.,3,,,,
