ref,word,num,dep,label,dep2,label2
"NFr.001",nih'oo3oo,1,,,,
"NFr.001",noh,2,,,,
"NFr.001",hiniiteh'eiho.,3,,,,
"NFr.002",nih'oo3oo,1,,,,
"NFr.002",tih'iiciinoo'oniseehek;,2,,,,
"NFr.003",nih'oo3oo,1,,,,
"NFr.003",he'ih-'oowuniihisee,2,,,,
"NFr.003",niiciihehe'.,3,,,,
"NFr.004",he'ih'itet,1,,,,
"NFr.004",niiinon,2,,,,
"NFr.004",he'ih'ootee.,3,,,,
"NFr.005",he'ihtoo'usee,1,,,,
"NFr.005",hee3e'eiteeni'.,2,,,,
"NFr.006",noo'useenoo,1,,,,
"NFr.006",koohentootiin,2,,,,
"NFr.006",heehehk.,3,,,,
"NFr.007",hee,1,,,,
"NFr.007",heehehk,2,,,,
"NFr.007",nehe',3,,,,
"NFr.007",hinen.,4,,,,
"NFr.008",ciitei,1,,,,
"NFr.008",hee3eihok.,2,,,,
"NFr.009",cenihceniiseenoo,1,,,,
"NFr.009",tohcihnotiihe3en.,2,,,,
"NFr.010",niiniitowoo3e3en,1,,,,
"NFr.010",hee3oohok,2,,,,
"NFr.010",nuhu',3,,,,
"NFr.010",hinenin.,4,,,,
"NFr.011",niibeetoh'iniiteh'eihibe3en,1,,,,
"NFr.011",hee3oohok.,2,,,,
"NFr.012",hee,1,,,,
"NFr.012",hootniiniiteh'eihibe3en.,2,,,,
"NFr.013",wohei,1,,,,
"NFr.013",he'ih'iniiteh'eihibetino'.,2,,,,
"NFr.014",he'ih'oonoo3itoonetino'.,1,,,,
"NFr.015",''koohootciibii3ihi,1,,,,
"NFr.015",be?'',2,,,,
"NFr.015",hee3oohok,3,,,,
"NFr.015",nih'oo3oun.,4,,,,
"NFr.016",''hee,1,,,,
"NFr.016","ceeniiseenoo,",2,,,,
"NFr.016","heesneenoo,''",3,,,,
"NFr.016",heehehk,4,,,,
"NFr.016",nih'oo3oo.,5,,,,
"NFr.017",nehe',1,,,,
"NFr.017",hinen,2,,,,
"NFr.017",he'ih'ei'towuunee,3,,,,
"NFr.017",hiniin;,4,,,,
"NFr.018","hiise'enou'u,",1,,,,
"NFr.018",hootbii3woonot,2,,,,
"NFr.018",neiteh'ei.,3,,,,
"NFr.019",wohei,1,,,,
"NFr.019",nehe',2,,,,
"NFr.019",hinen,3,,,,
"NFr.019","he'ihkohei'i,",4,,,,
"NFr.019",he'ihnouute'ein.,5,,,,
"NFr.020",he'ih'eeneti,1,,,,
"NFr.020",nehe',2,,,,
"NFr.020",hinen,3,,,,
"NFr.020",hiiciiciinii'.,4,,,,
