ref,word,num,dep,label,dep2,label2
"NMinL.001",nih'oo3oo,1,,,,
"NMinL.001",noh,2,,,,
"NMinL.001",hiheiho.,3,,,,
"NMinL.002",nih'oo3oo,1,,,,
"NMinL.002",tih'iiciinoo'oniseehek;,2,,,,
"NMinL.003",ceesey,1,,,,
"NMinL.003",teebe,2,,,,
"NMinL.003",he'ihno'eeckoo.,3,,,,
"NMinL.004",he'ihteenoku;,1,,,,
"NMinL.005",he'ihciibeesbii3ihi,1,,,,
"NMinL.006",hiniin,1,,,,
"NMinL.006","he'ihnottone',",2,,,,
"NMinL.006",''hotoustoo?,3,,,,
"NMinL.006",kooheesowobeih?'',4,,,,
"NMinL.007","''hiiko,",1,,,,
"NMinL.007",nooxoxeihinoo,2,,,,
"NMinL.007",tohnoohowou'u,3,,,,
"NMinL.007",neniteeno',4,,,,
"NMinL.007",nootikoni3i'.,5,,,,
"NMinL.008",neniinii3oonoo3i',1,,,,
"NMinL.008",hiheihehinoo;,2,,,,
"NMinL.008",heneebees,3,,,,
"NMinL.008",hotsiisiiitonoo3i'.'',4,,,,
"NMinL.009",''toonheestoo3i,1,,,,
"NMinL.009","neinoo,''",2,,,,
"NMinL.009",hiniin,3,,,,
"NMinL.009",hee3eihok.,4,,,,
"NMinL.010",noh,1,,,,
"NMinL.010",nuhu',2,,,,
"NMinL.010",hiheiho,3,,,,
"NMinL.010",he'ihni'eeneetowu[n].,4,,,,
"NMinL.011",wohei,1,,,,
"NMinL.011",he'ihneenou'uno'.,2,,,,
"NMinL.012",he'ihce3ei'oono'.,1,,,,
"NMinL.013",hoh'eni',1,,,,
"NMinL.013",he'ihnoh'ohuseeno'.,2,,,,
"NMinL.014",tih'iiskoxtisee3i',1,,,,
"NMinL.014","hi3o'owuu',",2,,,,
"NMinL.014","''hootnihi'koohuno',''",3,,,,
"NMinL.014",hee3oohok,4,,,,
"NMinL.014","hiheiho,",5,,,,
"NMinL.014",''heetihnoxohoenno'ukoohuno'.,6,,,,
"NMinL.015","heetohno'otoo'oe',",1,,,,
"NMinL.015",nooxeihi',2,,,,
"NMinL.015",nee'eetoo3i',3,,,,
"NMinL.015",nuhu',4,,,,
"NMinL.015",notikoniihiiho'.'',5,,,,
"NMinL.016",he'ihnee'eece3koohu3i'.,1,,,,
"NMinL.017",he'ihnihi'koohuno'.,1,,,,
"NMinL.018",he'ihno'ukoohuno',1,,,,
"NMinL.018",heetohno'otoo'oeni'.,2,,,,
"NMinL.019",he'ihceeceh'e3tiino'.,1,,,,
"NMinL.020",he'ihciiniitobeeno'.,1,,,,
"NMinL.021",totoos,1,,,,
"NMinL.021",he'ihciisiteeboutee.,2,,,,
"NMinL.022",wohei,1,,,,
"NMinL.022",he'ihwo'wuseeno',2,,,,
"NMinL.022",heetouunih'ookoo'oeni'.,3,,,,
"NMinL.023",nih'oo3oo,1,,,,
"NMinL.023",nee'eesinihiihok:,2,,,,
"NMinL.023",''neneeneetikotiino'.,3,,,,
"NMinL.024",hootoustoon[oo]?'',1,,,,
"NMinL.024",hee3oohok,2,,,,
"NMinL.024",hiheiho.,3,,,,
"NMinL.025",''woow,1,,,,
"NMinL.025",hehbih'iyoo'.,2,,,,
"NMinL.026",neniiheneihin'',1,,,,
"NMinL.026",hee3eihok,2,,,,
"NMinL.026",hiheiho.,3,,,,
"NMinL.027",''hehneetikotiino',1,,,,
"NMinL.027",noh,2,,,,
"NMinL.027","heenesneeno',''",3,,,,
"NMinL.027",nih'oo3oo,4,,,,
"NMinL.027",heehehk.,5,,,,
"NMinL.028",''hiit,1,,,,
"NMinL.028",hootnee'eetoh'eteinino'.'',2,,,,
"NMinL.029",wohei,1,,,,
"NMinL.029",he'ihwottoneeno'.,2,,,,
"NMinL.030",he'ih'oonookouhuno'.,1,,,,
"NMinL.031",he'ihbii3ihino'.,1,,,,
"NMinL.032",nih'oo3oo,1,,,,
"NMinL.032",he'ihnokoonii.,2,,,,
"NMinL.033",''koohonowon?'',1,,,,
"NMinL.033",hee3eihok,2,,,,
"NMinL.033",hiheiho.,3,,,,
"NMinL.034","''hee,''",1,,,,
"NMinL.034",heehehk,2,,,,
"NMinL.034",nih'oo3oo.,3,,,,
"NMinL.035","''heneinehnoonokohuno',''",1,,,,
"NMinL.035",hee3eihok,2,,,,
"NMinL.035",hiheiho.,3,,,,
"NMinL.036",he'ihnoono'yoohuno'.,1,,,,
"NMinL.037",he'ih'eeneisibino'.,1,,,,
"NMinL.038",hei'iiseeneisibi3i',1,,,,
"NMinL.038",nih'oo3oo,2,,,,
"NMinL.038",he'ih'eheyetouu,3,,,,
"NMinL.039",''koohotoe?'',1,,,,
"NMinL.039",hee3eihok,2,,,,
"NMinL.039",hiheiho.,3,,,,
"NMinL.040","''heeyeihneeto3inenoo,''",1,,,,
"NMinL.040",hee3oohok,2,,,,
"NMinL.040",hiheiho.,3,,,,
