ref,word,num,dep,label,dep2,label2
"NPlum.001",nih'oo3oo,1,,,,
"NPlum.001",noh,2,,,,
"NPlum.001",beesibino.,3,,,,
"NPlum.002",nih'oo3oo,1,,,,
"NPlum.002",he'ih'ihciniihisee,2,,,,
"NPlum.002",niiciihehe'.,3,,,,
"NPlum.003",he'ihnoohoot,1,,,,
"NPlum.003",beesibino,2,,,,
"NPlum.003",hi3oobe',3,,,,
"NPlum.003",neci'.,4,,,,
"NPlum.004",he'ih'iibeetohbii3.,1,,,,
"NPlum.005",he'ih'inowoukoo.,1,,,,
"NPlum.006",he'ihnoonotikuutii.,1,,,,
"NPlum.007",he'ihnono3ce'bixounoo'oo.,1,,,,
"NPlum.008",he'ihtootoukuu3ee,1,,,,
"NPlum.008",ho'nookeeno,2,,,,
"NPlum.008",hi'oote'.,3,,,,
"NPlum.009",he'ne'inowoukoohut.,1,,,,
"NPlum.010",he'ihciibii'in,1,,,,
"NPlum.010",beesibino.,2,,,,
"NPlum.011",he'ihcoonce'bixoukoohu.,1,,,,
"NPlum.012",he'ihneeto3oowunoo'oo.,1,,,,
"NPlum.013",beexoo3iihi',1,,,,
"NPlum.013",he'ihce'niihenbixou'oo.,2,,,,
"NPlum.014",ho'nookeeno,1,,,,
"NPlum.014",he'ih'oonookunoo'oonino.,2,,,,
"NPlum.015",he'ih'oo3i3inou3,1,,,,
"NPlum.015",neci'.,2,,,,
"NPlum.016",he'ihnoohoot,1,,,,
"NPlum.016",beesibino;,2,,,,
"NPlum.016",hihcebe',3,,,,
"NPlum.016",he'ih'eibinino.,4,,,,
"NPlum.017",he'ihnoh'ohusee.,1,,,,
"NPlum.017",[no'o'usee,2,,,,
"NPlum.017",??],3,,,,
"NPlum.018",he'ihkooko'un,1,,,,
"NPlum.018",beesibino.,2,,,,
"NPlum.019",heeyou,1,,,,
"NPlum.019",hei'ohookeeniit,2,,,,
"NPlum.019",nih'ii3etehk.,3,,,,
"NPlum.020","tih'iisbiibineet,",1,,,,
"NPlum.020",he'ne'ce3ei'oot.,2,,,,
"NPlum.021",beenhehe',1,,,,
"NPlum.021",he'ihnoowoh'un,2,,,,
"NPlum.021",beesibino.,3,,,,
"NPlum.022",he'ihnoohoot,1,,,,
"NPlum.022",woxuu,2,,,,
"NPlum.022",heetoh-,3,,,,
"NPlum.022",hiyeih'ininoo.,4,,,,
"NPlum.023",he'ihcii3kuutii,1,,,,
"NPlum.023",beesibino,2,,,,
"NPlum.023",woxuu,3,,,,
"NPlum.023",hiyeih'ininoo.,4,,,,
"NPlum.024",he'ihcihnouuhcehinino,1,,,,
"NPlum.024",woxuu.,2,,,,
"NPlum.025",hiiwo',1,,,,
"NPlum.025",hehneehek,2,,,,
"NPlum.025","nih'oo3oo,",3,,,,
"NPlum.025","heeseh'ehin,",4,,,,
