ref,word,num,dep,label,dep2,label2
"NWhir.001",nih'oo3oo,1,,,,
"NWhir.001",he'ih'itesee,2,,,,
"NWhir.001",hisein.,3,,,,
"NWhir.002",koowothe'iisbebeeneihin.,1,,,,
"NWhir.003","“wohei,”",1,,,,
"NWhir.003",heehehk,2,,,,
"NWhir.003","nih'oo3oo,",3,,,,
"NWhir.003",“neneeninoo,4,,,,
"NWhir.003",toh'eso'oonoo.”,5,,,,
"NWhir.004","“hootniibe3en,”",1,,,,
"NWhir.004",hee3oohok,2,,,,
"NWhir.004",neyooxetiisein.,3,,,,
"NWhir.005","“hiiko,”",1,,,,
"NWhir.005",hee3eihok.,2,,,,
"NWhir.006",'oh,1,,,,
"NWhir.006",he'ihnihi'nei.,2,,,,
"NWhir.007","“tohciibeesiiinoo,”",1,,,,
"NWhir.007",nii3eihok.,2,,,,
"NWhir.008",'oh,1,,,,
"NWhir.008",he'ihnihi'nei.,2,,,,
"NWhir.009","“hih'oo,”",1,,,,
"NWhir.009",hee3eihok.,2,,,,
"NWhir.010",he'nee'eesniiwoot.,1,,,,
"NWhir.011",he'ihkoheisihce,1,,,,
"NWhir.011",nehe',2,,,,
"NWhir.011",neyooxetiisei.,3,,,,
"NWhir.012",nih'oo3oo,1,,,,
"NWhir.012",he'ih-'oe'nee'eetii,2,,,,
"NWhir.012",toh'uniinit.,3,,,,
"NWhir.013",kooxhe'ihkoheisihce.,1,,,,
"NWhir.014",he'ihsii'eihce,1,,,,
"NWhir.014",heebe3niiciihehe'.,2,,,,
"NWhir.015",nih'oo3oo,1,,,,
"NWhir.015",he'ihtou'uhce.,2,,,,
"NWhir.016","“hee3ebce'niibeti,”",1,,,,
"NWhir.016",hee3oohok.,2,,,,
"NWhir.017",nee'ei'ise'.,1,,,,
"NWhir.018",ne'niiciiniibetiitooni'.,1,,,,
