ref,word,num,dep,label,dep2,label2
"NarEs.001",woow,1,,,,
"NarEs.001",he'ihbeexookee.,2,,,,
"NarEs.002",'oh,1,,,,
"NarEs.002",nuhu',2,,,,
"NarEs.002",hoo3oo'o',3,,,,
"NarEs.002",ci'no'o3niini'ei'ookeeni3i.,4,,,,
"NarEs.003",'oh,1,,,,
"NarEs.003",ne'cihbisiitonei3i',2,,,,
"NarEs.003",nuhu',3,,,,
"NarEs.003",he'iiteihini3i.,4,,,,
"NarEs.004",Nehe',1,,,,
"NarEs.004",nihii,2,,,,
"NarEs.004",nonooneeheini3i.,3,,,,
"NarEs.005",neneenini3i,1,,,,
"NarEs.005",kokuy,2,,,,
"NarEs.005",ci'nii3inou'u.,3,,,,
"NarEs.006",'oh,1,,,,
"NarEs.006",nuhu',2,,,,
"NarEs.006",kokuy,3,,,,
"NarEs.006",he'ihcebi'.,4,,,,
"NarEs.007",Neh'eit.,1,,,,
"NarEs.008",3ebcebi',1,,,,
"NarEs.008",nuhu',2,,,,
"NarEs.008",nonooneeheini3.,3,,,,
"NarEs.009",3eneeyooniihi',1,,,,
"NarEs.009",he'ihbestii,2,,,,
"NarEs.009",ni'iitou'u.,3,,,,
"NarEs.010",3eeyooneeniihi',1,,,,
"NarEs.010",ne'nih'iitbestii[t].,2,,,,
"NarEs.011",Following:,1,,,,
"NarEs.011",Clarification,2,,,,
"NarEs.011",on,3,,,,
"NarEs.011",names,4,,,,
"NarEs.011",of,5,,,,
"NarEs.011",Eagles,6,,,,
"NarEs.011",(listen,7,,,,
"NarEs.011",to,8,,,,
"NarEs.011",the,9,,,,
"NarEs.011",recording,10,,,,
"NarEs.011",“Eagles”).,11,,,,
"NarEs.011",woow,12,,,,
"NarEs.011",ne'nih'ini,13,,,,
"NarEs.011",nih'ii3eihit,14,,,,
"NarEs.011",nehe'.,15,,,,
"NarEs.012",Nooke'eibeh'ei.,1,,,,
"NarEs.013",Hi'in,1,,,,
"NarEs.013",nihii,2,,,,
"NarEs.013","niiwo'teeneihi3i',",3,,,,
"NarEs.013",nuh'uuno,4,,,,
"NarEs.013","nihii,",5,,,,
"NarEs.013","nii'eihiiho',",6,,,,
"NarEs.013",niiwo'teeneihi3i'.,7,,,,
"NarEs.014",'oh,1,,,,
"NarEs.014",niiP,2,,,,
"NarEs.014",niinookP,3,,,,
"NarEs.014","nooke'ei3i',",4,,,,
"NarEs.015",Noh,1,,,,
"NarEs.015",nuhu',2,,,,
"NarEs.015","hinooko3oniibinoo,",3,,,,
"NarEs.015",niinookP,4,,,,
"NarEs.015",nookeihini3i.,5,,,,
"NarEs.016",Noh,1,,,,
"NarEs.016",hunit,2,,,,
"NarEs.016",beenhehe',3,,,,
"NarEs.016",wootii,4,,,,
"NarEs.016",niitii'oho',5,,,,
"NarEs.016",woo'teeniiini,6,,,,
"NarEs.017",Nenee3i',1,,,,
"NarEs.017",nuhu',2,,,,
"NarEs.017",nonooko3onit.,3,,,,
"NarEs.018",'oh,1,,,,
"NarEs.018","neneenit,",2,,,,
"NarEs.018",nee'eesih'it.,3,,,,
"NarEs.019",He'ihceese',1,,,,
"NarEs.019",nooke'eibeh'ei.,2,,,,
