ref,word,num,dep,label,dep2,label2
"Nearer.001",Hihcebe',1,,,,
"Nearer.001",neixoo,2,,,,
"Nearer.001",heetoon,3,,,,
"Nearer.002",Yiihoonoo,1,,,,
"Nearer.002",heetoon,2,,,,
"Nearer.003",Howouunoni,1,,,,
"Nearer.003",neixoo,2,,,,
"Nearer.003",beeteen,3,,,,
"Nearer.004",Yiihoonoo,1,,,,
"Nearer.004",heetoon.,2,,,,
"Nearer.005",Hihcebe',1,,,,
"Nearer.005",neixoo,2,,,,
"Nearer.005",heetoon,3,,,,
"Nearer.006",Hihcebe',1,,,,
"Nearer.006",neixoo,2,,,,
"Nearer.006",heetoon,3,,,,
"Nearer.007",Howouunoni,1,,,,
"Nearer.007",neixoo,2,,,,
"Nearer.008",Yiihoonoo,1,,,,
"Nearer.008",heetoon,2,,,,
