ref,word,num,dep,label,dep2,label2
"Nelk(s).001",nih'oo3oo,1,,,,
"Nelk(s).001",he'ihcebisee.,2,,,,
"Nelk(s).002",he'ih'itesee,1,,,,
"Nelk(s).002",hiwoxuuhuu.,2,,,,
"Nelk(s).003",he'ih'eeneti3ee,1,,,,
"Nelk(s).003",hiwoxuuhuu.,2,,,,
"Nelk(s).004",hiwoxuuhuu,1,,,,
"Nelk(s).004","''hootnonouhtiibeen,''",2,,,,
"Nelk(s).004",hee3eihok.,3,,,,
"Nelk(s).005","''hoowuuni,",1,,,,
"Nelk(s).005","heeso'oonee,''",2,,,,
"Nelk(s).005",hee3oohok.,3,,,,
"Nelk(s).006",''nihniitobeeno',1,,,,
"Nelk(s).006",toh'eso'ooninehk.'',2,,,,
"Nelk(s).007",''neneeninee,1,,,,
"Nelk(s).007",hiwoxuuhuu,2,,,,
"Nelk(s).007",yeneiyouhteenee.,3,,,,
"Nelk(s).008",neneeninoo,1,,,,
"Nelk(s).008",neniisouhteenoo.,2,,,,
"Nelk(s).009",neneeninoo,1,,,,
"Nelk(s).009",hootniito'cesihcehinoo.'',2,,,,
"Nelk(s).010","''hih'oo,''",1,,,,
"Nelk(s).010",hee3eihok,2,,,,
"Nelk(s).010",hiwoxuuhuu.,3,,,,
"Nelk(s).011",hiwoxuuhuu,1,,,,
"Nelk(s).011",he'ih'iise'enou'uno'.,2,,,,
"Nelk(s).012",nih'oo3oo,1,,,,
"Nelk(s).012",he'ihniitobeekuu.,2,,,,
"Nelk(s).013",''yein,1,,,,
"Nelk(s).013",hootniihinoo.'',2,,,,
"Nelk(s).014",nih'oo3oo,1,,,,
"Nelk(s).014",he'ihneyeitii.,2,,,,
"Nelk(s).015",''ceesey,1,,,,
"Nelk(s).015",niis,2,,,,
"Nelk(s).015",neeso,3,,,,
"Nelk(s).015",yein,4,,,,
"Nelk(s).015","wohei,''",5,,,,
"Nelk(s).015",heehehk,6,,,,
"Nelk(s).015",nih'oo3oo.,7,,,,
"Nelk(s).016",he'ihcesihcehino'.,1,,,,
"Nelk(s).017",nih'oo3oo,1,,,,
"Nelk(s).017",he'ihnii3koohuubee,2,,,,
"Nelk(s).017",hiwoxuuhuu.,3,,,,
"Nelk(s).018",he'ih'e'in,1,,,,
"Nelk(s).018",he'ihco'ouutenin,2,,,,
"Nelk(s).018",hoxtoono'.,3,,,,
"Nelk(s).019","hei'no'uhcehi3i',",1,,,,
"Nelk(s).019",he'ihniitouu;,2,,,,
"Nelk(s).019","''no'uusihcehi,''",3,,,,
"Nelk(s).019",heehehk.,4,,,,
"Nelk(s).020",hiwoxuuhuu,1,,,,
"Nelk(s).020",he'ihcenisino',2,,,,
"Nelk(s).020",hoxtoonou.,3,,,,
"Nelk(s).021",nih'oo3oo,1,,,,
"Nelk(s).021",he'ihnoo'oohoe,2,,,,
"Nelk(s).021",hiwoxuuhuu.,3,,,,
"Nelk(s).022","'''oohoo,",1,,,,
"Nelk(s).022","nenehtoneihinoo,''",2,,,,
"Nelk(s).022",heehehk,3,,,,
"Nelk(s).022",nih'oo3oo.,4,,,,
"Nelk(s).023",nih'oo3oo,1,,,,
"Nelk(s).023","''hootbii3ihinoo,''",2,,,,
"Nelk(s).023",heehehk.,3,,,,
"Nelk(s).024",wohei,1,,,,
"Nelk(s).024",nih'oo3oo,2,,,,
"Nelk(s).024",he'ihceniihei'i.,3,,,,
"Nelk(s).025",wohei,1,,,,
"Nelk(s).025",koo'ohwuhu',2,,,,
"Nelk(s).025",he'ihcih'itese';,3,,,,
"Nelk(s).025",he'ihcii'eihi.,4,,,,
"Nelk(s).026",nih'oo3oo,1,,,,
"Nelk(s).026",he'ihnihii3ee,2,,,,
"Nelk(s).026",koo'ohwuhu':,3,,,,
"Nelk(s).027","''cihnookohoeni,''",1,,,,
"Nelk(s).027",hee3oohok,2,,,,
"Nelk(s).027",koo'ohwuhu'.,3,,,,
"Nelk(s).028","''hih'oo,''",1,,,,
"Nelk(s).028",heehehk,2,,,,
"Nelk(s).028",koo'ohwuhu'.,3,,,,
"Nelk(s).029",''nootousnoot,1,,,,
"Nelk(s).029","nec,''",2,,,,
"Nelk(s).029",heehehk,3,,,,
"Nelk(s).029",koo'ohwuhu'.,4,,,,
"Nelk(s).030",''hootko'uxowoo,1,,,,
"Nelk(s).030",hootni'nookohoeyeit.'',2,,,,
"Nelk(s).031",he'ihko'ux,1,,,,
"Nelk(s).031",hinis;,2,,,,
"Nelk(s).031",he'ihbiinee,3,,,,
"Nelk(s).031",koo'ohwuhu'.,4,,,,
"Nelk(s).032",wohei,1,,,,
"Nelk(s).032",koo'ohwuhu',2,,,,
"Nelk(s).032",he'ihnookohoe.,3,,,,
"Nelk(s).033",koo'ohwuhu',1,,,,
"Nelk(s).033",he'ih'esnee.,2,,,,
"Nelk(s).034",he'ih'otoowkuutii,1,,,,
"Nelk(s).034",hini',2,,,,
"Nelk(s).034",hi'nookohoeyeit.,3,,,,
"Nelk(s).035",koo'ohwuhu',1,,,,
"Nelk(s).035",he'ihciinookohoe.,2,,,,
"Nelk(s).036",he'ihbeesteh'ei.,1,,,,
"Nelk(s).037",nih'oo3oo,1,,,,
"Nelk(s).037",he'ih'e'in,2,,,,
"Nelk(s).037",koo'ohwuhu',3,,,,
"Nelk(s).037",toh'otoowkuutiit.,4,,,,
"Nelk(s).038",nih'oo3oo,1,,,,
"Nelk(s).038",he'ih'eti3ee,2,,,,
"Nelk(s).038",koo'ohwuhu'.,3,,,,
"Nelk(s).039",he'ihto'obee,1,,,,
"Nelk(s).039",koo'ohwuhu';,2,,,,
"Nelk(s).039",he'ihnoxowuhuu.,3,,,,
"Nelk(s).040",he'ihniihenben,1,,,,
"Nelk(s).040",nih'oo3oo.,2,,,,
"Nelk(s).041",nih'oo3oo,1,,,,
"Nelk(s).041",he'ihbee3ceniihei'i.,2,,,,
"Nelk(s).042",he'ih'onoutii,1,,,,
"Nelk(s).042",hoseino'.,2,,,,
"Nelk(s).043",nih'oo3oo,1,,,,
"Nelk(s).043",he'ihneetoxu'un.,2,,,,
"Nelk(s).044",he'ihne'ehbih'iyoo.,1,,,,
"Nelk(s).045",nih'oo3oo,1,,,,
"Nelk(s).045",he'ihnoko.,2,,,,
"Nelk(s).046",koo'ohwuhu',1,,,,
"Nelk(s).046",he'ihce'3owo3ii;,2,,,,
"Nelk(s).046",he'ihniitouu.,3,,,,
"Nelk(s).047",he'ih'eti3ee,1,,,,
"Nelk(s).047",hooxeihiino,2,,,,
"Nelk(s).047",noh,3,,,,
"Nelk(s).047",woxuu,4,,,,
"Nelk(s).047",noh,5,,,,
"Nelk(s).047",bexookeeno.,6,,,,
"Nelk(s).048",he'ihtoyoohobeeno',1,,,,
"Nelk(s).048",nih'oo3oo,2,,,,
"Nelk(s).048",hei'nihi'neenokohu[t].,3,,,,
"Nelk(s).049",cese'eihiiho',1,,,,
"Nelk(s).049",he'ih'eti3eeno',2,,,,
"Nelk(s).049",hookuuhuho.,3,,,,
"Nelk(s).050",he'ihyii3ecneehiino',1,,,,
"Nelk(s).050",heetohnokohuni3.,2,,,,
"Nelk(s).051",nih'oo3oo,1,,,,
"Nelk(s).051",he'ihnihi'neenoko.,2,,,,
"Nelk(s).052",cese'eihiiho',1,,,,
"Nelk(s).052",he'ihnihii3eeno',2,,,,
"Nelk(s).052","hookuuhuho,",3,,,,
"Nelk(s).052",''3iiyouh-un,4,,,,
"Nelk(s).052","nih'oo3oo,''",5,,,,
"Nelk(s).052",heehehk.,6,,,,
"Nelk(s).053",wohei,1,,,,
"Nelk(s).053",cese'eihiiho',2,,,,
"Nelk(s).053",he'ihbii3ihino',3,,,,
"Nelk(s).053",hoseino',4,,,,
"Nelk(s).053",honoot,5,,,,
"Nelk(s).053",he'ih'otoobeno'.,6,,,,
"Nelk(s).054",nih'oo3oo,1,,,,
"Nelk(s).054",toh'owoto'oot.,2,,,,
"Nelk(s).055",he'ihnotnoohoot,1,,,,
"Nelk(s).055",hoseino'.,2,,,,
"Nelk(s).056",he'ihciinoohoot,1,,,,
"Nelk(s).056",hoseino'.,2,,,,
"Nelk(s).057",he'ihciinii3e'een;,1,,,,
"Nelk(s).057",he'ih3iiyouhu',2,,,,
"Nelk(s).057",hookuuhuho.,3,,,,
"Nelk(s).058",he'ihciini'i3ecoo.,1,,,,
"Nelk(s).059",kookuyon,1,,,,
"Nelk(s).059",ne'wottonee[t].,2,,,,
"Nelk(s).060",he'ihwoowo'ten,1,,,,
"Nelk(s).060",niinenii.,2,,,,
"Nelk(s).061",he'ihceenok,1,,,,
"Nelk(s).061",too3iihi',2,,,,
"Nelk(s).061",sitee'.,3,,,,
"Nelk(s).062",he'ihce'ein,1,,,,
"Nelk(s).062",niinenii.,2,,,,
"Nelk(s).063",sitee,1,,,,
"Nelk(s).063",he'ihkoe'tee;,2,,,,
"Nelk(s).063",he'ihko'osenin,3,,,,
"Nelk(s).063",hicoobe'.,4,,,,
"Nelk(s).064",he'ih'etoxuh'u;,1,,,,
"Nelk(s).064","'''o'ho',''",2,,,,
"Nelk(s).064",heehehk,3,,,,
"Nelk(s).064",nih'oo3oo.,4,,,,
"Nelk(s).065",he'ihwotiskouskuutii,1,,,,
"Nelk(s).065",niinenii.,2,,,,
"Nelk(s).066",he'ihciibii3ih.,1,,,,
"Nelk(s).067",nee'ei'ise',1,,,,
"Nelk(s).067",hoo3itoo.,2,,,,
