ref,word,num,dep,label,dep2,label2
"OW.001",Hiit,1,,,,
"OW.001",nee'eeticenisinenoo,2,,,,
"OW.001",nuhu',3,,,,
"OW.001","biito'owuu',",4,,,,
"OW.001",niisoo',5,,,,
"OW.001",ceeseini',6,,,,
"OW.001",cecino.,7,,,,
"OW.002",Neisonoo,1,,,,
"OW.002",heesih'it,2,,,,
"OW.002",honou3i'.,3,,,,
"OW.003",Neinoo,1,,,,
"OW.003",niisih'eet,2,,,,
"OW.003",ceetohteomei'i,3,,,,
"OW.004",Heniisiii'oonoo,1,,,,
"OW.004",niiinone'.,2,,,,
"OW.005",Cenoh'e',1,,,,
"OW.005",heentoonoo,2,,,,
"OW.005",neeso,3,,,,
"OW.005",cecino,4,,,,
"OW.005","koh'uuhu',",5,,,,
"OW.006",hinee,1,,,,
"OW.006",neeyei3einoo,2,,,,
"OW.006",co'oeniice'.,3,,,,
"OW.007",Ne'itenowoo,1,,,,
"OW.007",biito'owu',2,,,,
"OW.007",tihce'no'eeckoohunoo.,3,,,,
"OW.008",Nehe',1,,,,
"OW.008",biito'owu',2,,,,
"OW.008",hokooxuuniicii[he]he',3,,,,
"OW.008",nee'eetou'.,4,,,,
"OW.009",Beteetosoo',1,,,,
"OW.009",cebniitootosoo',2,,,,
"OW.009",nee'ee3ei'oo',3,,,,
"OW.009",tokohoeno.,4,,,,
"OW.010",Niihiihi',1,,,,
"OW.010","neci',",2,,,,
"OW.010",hoohooti'iini',3,,,,
"OW.010",koh'uuhu',4,,,,
"OW.010",tokohoe.,5,,,,
"OW.011",Niiciinou'unoo,1,,,,
"OW.011",beskootee,2,,,,
"OW.011",benii'owu'.,3,,,,
"OW.012",Toyouni',1,,,,
"OW.012",niiciinou'unoo,2,,,,
"OW.012","3o'ohoenoxu'uno,",3,,,,
"OW.012","woniihiiho',",4,,,,
"OW.012","cee'ei'i,",5,,,,
"OW.012","niiscice'ei'i,",6,,,,
"OW.012","xoucenii,",7,,,,
"OW.012","bee'ii3xooti',",8,,,,
"OW.012","niiniscibouhu3i',",9,,,,
"OW.012","nooxowouhut,",10,,,,
"OW.012",niice'eihi3i',11,,,,
"OW.012","woniihiiho',",12,,,,
"OW.012","niiniico'oxetii,",13,,,,
"OW.012","niisi'ehebi3i',",14,,,,
"OW.012","niscibexo,",15,,,,
"OW.012","nonookuce'ei'i,",16,,,,
"OW.012","woniseineehiis,",17,,,,
"OW.012","yeinou'u,",18,,,,
"OW.012","neniiwoxoneeniikoo'owu'u,",19,,,,
"OW.012",nenih'oucoo'.,20,,,,
"OW.013",Ceniinou'uno',1,,,,
"OW.013","ce'beesibinbiixo,",2,,,,
"OW.013",biisibino.,3,,,,
"OW.014",heebe3teecibino,1,,,,
"OW.014",niiciinenowuno'.,2,,,,
"OW.015",tebii3eenohootinbexo,1,,,,
"OW.015",3ii'ookuu3i'.,2,,,,
"OW.016",Ne'niitoonoo,1,,,,
"OW.016",beniice',2,,,,
"OW.016",hehneh'i3i',3,,,,
"OW.016",hiisiisii,4,,,,
"OW.016",neciinouutono.,5,,,,
"OW.017",'oh,1,,,,
"OW.017",ne'nii'coonoo,2,,,,
"OW.017",koyeiyeihii.,3,,,,
"OW.018",Nee'eetoonoo,1,,,,
"OW.018",hii3e',2,,,,
"OW.018","neisonoo,",3,,,,
"OW.018","neinoo,",4,,,,
"OW.018",hito'oowuuninoo.,5,,,,
"OW.019",Koxuute',1,,,,
"OW.019",niicoonoo,2,,,,
"OW.019",neyei3eino'oowuu'.,3,,,,
"OW.020",neentoonoo,1,,,,
"OW.020",beenhehe',2,,,,
"OW.020",nohkuuhu',3,,,,
"OW.020",tei'yoonoh'o'.,4,,,,
"OW.021","Neniisneniinoo,",1,,,,
"OW.021",neihoowuuniin.,2,,,,
"OW.022",Ne'is,1,,,,
"OW.022",xonouubee'.,2,,,,
"OW.023",henee3oo',1,,,,
"OW.023",nei3e'ee.***,2,,,,
"OW.024",Heenetiinoo,1,,,,
"OW.024",cebiisnesiise',2,,,,
"OW.024",tih'okecii'ookeihinoo.,3,,,,
