ref,word,num,dep,label,dep2,label2
"OldCGh.001",wohei,1,,,,
"OldCGh.001",hi'in,2,,,,
"OldCGh.001",nihii,3,,,,
"OldCGh.001",beh'eihehi',4,,,,
"OldCGh.001",wohei,5,,,,
"OldCGh.001",hibetebihow,6,,,,
"OldCGh.001",niisneniino'.,7,,,,
"OldCGh.002",he'ihbih'iyoo.,1,,,,
"OldCGh.003",woow,1,,,,
"OldCGh.003","he'ih'iiseeneisibino',",2,,,,
"OldCGh.003",niiseeneisibi3i'.,3,,,,
"OldCGh.004",nih'eyeihnoonokohuutooni'.,1,,,,
"OldCGh.005",he3ebii,1,,,,
"OldCGh.005",he'ih'iiP,2,,,,
"OldCGh.005",he'ihbeebeeno';,3,,,,
"OldCGh.006",he3ebyih'oowoono'.,1,,,,
"OldCGh.007",nih'iice'tokohu3i'.,1,,,,
"OldCGh.008",no'uuhu',1,,,,
"OldCGh.008",tecenoone',2,,,,
"OldCGh.008",woowoteisibeti3i'.,3,,,,
"OldCGh.009",kooxne'ehce'yih'oowoo3i'.,1,,,,
"OldCGh.010",ne'iini,1,,,,
"OldCGh.010",yehei,2,,,,
"OldCGh.010",noh,3,,,,
"OldCGh.010",ne'cihce'tokohu3i',4,,,,
"OldCGh.010",hi'in,5,,,,
"OldCGh.010",woowoteisibeti3i',6,,,,
"OldCGh.010",tecenoone';,7,,,,
"OldCGh.011",'oh,1,,,,
"OldCGh.011",nehe',2,,,,
"OldCGh.011",betebihehi',3,,,,
"OldCGh.011",''3iwoo,4,,,,
"OldCGh.011",neyeihe'inoninee,5,,,,
"OldCGh.011",toonhe'iiteihi3i.,6,,,,
"OldCGh.012",wohoe'cih'eentoo,1,,,,
"OldCGh.012",ceee3i'.,2,,,,
"OldCGh.013","“hiineniinin,”",1,,,,
"OldCGh.013","nih'iit,",2,,,,
"OldCGh.013",“beh'ee.,3,,,,
"OldCGh.014",he'ne'kohei'it.,1,,,,
"OldCGh.015",3ebnoehit.,1,,,,
"OldCGh.016",nuhu',1,,,,
"OldCGh.016",tece',2,,,,
"OldCGh.016",he'ih3ebiinoonotnoo'ein.,3,,,,
"OldCGh.017",3ebwo'wusee.,1,,,,
"OldCGh.018",'oh,1,,,,
"OldCGh.018",hoowoe'in,2,,,,
"OldCGh.018",tohcihto3iheit,3,,,,
"OldCGh.018",hibetebihow.,4,,,,
"OldCGh.019",nih'iiceeceeniini,1,,,,
"OldCGh.019",noonotnoo'ein.,2,,,,
"OldCGh.020",he'ihciinoohoo3ei.,1,,,,
"OldCGh.021",'oh,1,,,,
"OldCGh.021",nuhu',2,,,,
"OldCGh.021",he3ebii,3,,,,
"OldCGh.021","heetniibeebee3i',",4,,,,
"OldCGh.021",ne'nii'ce'tokohu3i'.,5,,,,
"OldCGh.022",he'ihciinoohoot,1,,,,
"OldCGh.022",tooniiP;,2,,,,
"OldCGh.023",woow,1,,,,
"OldCGh.023",heetniineeseet;,2,,,,
"OldCGh.024",'oh,1,,,,
"OldCGh.024",ne'cihtii'eneit,2,,,,
"OldCGh.024",hikoobe'.,3,,,,
"OldCGh.025",''keihciinoohoo3ei?'',1,,,,
"OldCGh.026","''yohoohohoe,''",1,,,,
"OldCGh.026",honinoo'oo.,2,,,,
"OldCGh.027",neneiheit;,1,,,,
"OldCGh.028",neneiheit.,1,,,,
"OldCGh.029",hoowoe'in,1,,,,
"OldCGh.029",tohneenini3,2,,,,
"OldCGh.029",hibetebihow.,3,,,,
"OldCGh.030","toonhei'ce'beexheene'inoo'oot,",1,,,,
"OldCGh.030",noh,2,,,,
"OldCGh.030",hini'iit,3,,,,
"OldCGh.030","kookoonooku[t],",4,,,,
"OldCGh.030",cihnoxowno'oe'einin,5,,,,
"OldCGh.030",hibetebihow.,6,,,,
"OldCGh.031","behixooke'eiP,",1,,,,
"OldCGh.031",konou'u'eit.,2,,,,
"OldCGh.032",hei'noohowoot,1,,,,
"OldCGh.032",''ne'ee'ee'ee.'',2,,,,
"OldCGh.033",ce'neetineiheit.,1,,,,
"OldCGh.034",nee'ee3ineiheit,1,,,,
"OldCGh.034",hibetebihow.,2,,,,
