ref,word,num,dep,label,dep2,label2
"OldW.001",Totoonee,1,,,,
"OldW.001",nih'eeneiniihi3i',2,,,,
"OldW.001",nuhu',3,,,,
"OldW.001",3owo3neniteeno'.,4,,,,
"OldW.002",Heenei'nou'u,1,,,,
"OldW.002",nih'eeneistoo3i';,2,,,,
"OldW.002",nih'eeneisiini,3,,,,
"OldW.002",nih'eenei3eeneeteniiheti3i'.,4,,,,
"OldW.003",Hii[s]tiiP,1,,,,
"OldW.003",woosoo3no;,2,,,,
"OldW.003",nih'eeneisniistii3i',3,,,,
"OldW.003","beete',",4,,,,
"OldW.003",heenei'isiihi'.,5,,,,
"OldW.004",HeetniiP,1,,,,
"OldW.004",heeneisneh'ei3i'.,2,,,,
"OldW.005",Hinee,1,,,,
"OldW.005","3eboosei3iihi',",2,,,,
"OldW.005",he'ih'iibi'hitonih'ino',3,,,,
"OldW.005",he3ebii.,4,,,,
"OldW.006",Hoono',1,,,,
"OldW.006",hoowuuni,2,,,,
"OldW.006",no'uuntoono',3,,,,
"OldW.006",nuhu',4,,,,
"OldW.006",woxhooxebii.,5,,,,
"OldW.007",Cenihwooniini,1,,,,
"OldW.007",hentoo3i'.,2,,,,
"OldW.008",he'ihneenino',1,,,,
"OldW.008",nih'eeneitoo3ii3ei3i'.,2,,,,
"OldW.009",Nuhu',1,,,,
"OldW.009","he3ebii,",2,,,,
"OldW.009","woo'wuuhunoo3i,",3,,,,
"OldW.009",nih'eeneitoo3ii3ei3i'.,4,,,,
"OldW.010",Ne'nii'biibiino3oonoo3i',1,,,,
"OldW.010",nuhu'.,2,,,,
"OldW.011",he'ih'iiciino'onbeesei3eno',1,,,,
"OldW.011",nuhu',2,,,,
"OldW.011",he3ebii.,3,,,,
"OldW.012",Howoo,1,,,,
"OldW.012",hoo3oo'o',2,,,,
"OldW.012",nuhu',3,,,,
"OldW.012",hooxeihino,4,,,,
"OldW.012","he'ih'iitonih'ino',",5,,,,
"OldW.012",heenei'isiihi'.,6,,,,
"OldW.013",He'ih'eene'inowuu,1,,,,
"OldW.013","nih'eeneisiini,",2,,,,
"OldW.013",nih'eeneistoo3i';,3,,,,
"OldW.013",heeneisiini,4,,,,
"OldW.013",nih'eeneiscowo'ootiini';,5,,,,
"OldW.014",Nih'eeneisiini,1,,,,
"OldW.014",wo'3tii3i',2,,,,
"OldW.014","bii3wo,",3,,,,
"OldW.014",heene'inowuu.,4,,,,
"OldW.015",He'ih'iiniiniiho'onenetino';,1,,,,
"OldW.016",Heene'inowuu.,1,,,,
"OldW.017","Tohuunee'eeneestoo3i',",1,,,,
"OldW.017",nih'iihoonoyoohobeti3i'.,2,,,,
"OldW.018",Wohei,1,,,,
"OldW.018",howoo,2,,,,
"OldW.018",nuhu',3,,,,
"OldW.018","coo3o'uu,",4,,,,
"OldW.018","he'ihcih'eenei3no'uxootonoo3i,",5,,,,
"OldW.018",he'ih'iiniiniiteheibetino':,6,,,,
"OldW.018",hookohuus,7,,,,
"OldW.018",hentou',8,,,,
"OldW.018",boo3etiit.,9,,,,
"OldW.019","Nih'iibooboo3eti3i',",1,,,,
"OldW.019",heenei'isiihi'.,2,,,,
"OldW.020",He'ih'iinouutowuuni,1,,,,
"OldW.020",hoonoyooP,2,,,,
"OldW.020",hoonoyoohobeihino',3,,,,
"OldW.020",nuhu',4,,,,
"OldW.020",nih'entoo3i';,5,,,,
"OldW.021",Hi'in,1,,,,
"OldW.021",coo3o'uu,2,,,,
"OldW.021",he'ih'eenentoono'.,3,,,,
"OldW.022",Wohei,1,,,,
"OldW.022",nenee',2,,,,
"OldW.022",nih'iiP,3,,,,
"OldW.022",nih'eeneisiini,4,,,,
"OldW.022",heeneeteniihetit,5,,,,
"OldW.022",nehe',6,,,,
"OldW.022","3owo3nenitee,",7,,,,
"OldW.022",heetihP,8,,,,
"OldW.022",heene'inonetino',9,,,,
"OldW.022",heeneetohnoohobetinoo3i.,10,,,,
"OldW.023",He'ih'oonoyei'onetino'.,1,,,,
"OldW.024",Nih'iinesooku3i',1,,,,
"OldW.024",nuhu',2,,,,
"OldW.024",3owo3neniteeno':,3,,,,
"OldW.024","ne'nih'eeneisiini,",4,,,,
"OldW.024","nih'eeneiscowo'oot,",5,,,,
"OldW.024",heenei'isiihi'.,6,,,,
"OldW.025",Heenee'iihi',1,,,,
"OldW.025",he'ih'iicee3nouxonetino'.,2,,,,
"OldW.026",Noh,1,,,,
"OldW.026",heenee'iihi',2,,,,
"OldW.026",'oh,3,,,,
"OldW.026","he'ih'iiniiteh'eibetino',",4,,,,
"OldW.026",heeneesiini.,5,,,,
"OldW.027",'oh,1,,,,
"OldW.027",hoo3oo'o',2,,,,
"OldW.027",he'ihboo'ei3ecoo3i'.,3,,,,
"OldW.028","Beetohwo'wno'oteihino',",1,,,,
"OldW.028",heenei'isiihi'.,2,,,,
"OldW.029",Ne'nih'eeneisiine'etiit,1,,,,
"OldW.029",nehe',2,,,,
"OldW.029",3owo3nenitee.,3,,,,
"OldW.030",Heeneiniihi3i'.,1,,,,
"OldW.031",Heeneinwoowo'wuuhu3i'.,1,,,,
"OldW.032",Heeneinsee3i'.,1,,,,
"OldW.033",Cese',1,,,,
"OldW.033","niiseti',",2,,,,
"OldW.033",hih'oowuunee'eetoono'.,3,,,,
"OldW.034",He'ihnouutowo'wuseeno'.,1,,,,
"OldW.035",Heihii,1,,,,
"OldW.035",ne'cih'entou'u'u,2,,,,
"OldW.035",nuhu',3,,,,
"OldW.035",niiinono.,4,,,,
"OldW.036","Niiinono,",1,,,,
"OldW.036",notoyeicii,2,,,,
"OldW.036","he'ihi'iiniistiino',",3,,,,
"OldW.036",nuhu',4,,,,
"OldW.036",tohuu'uusibi'i.,5,,,,
"OldW.037",3ouuyokoyono,1,,,,
"OldW.037",ni'iitou'u,2,,,,
"OldW.037",hiiwoonhehe'.,3,,,,
"OldW.038",Heihii,1,,,,
"OldW.038",ne'cih'entou'u'u,2,,,,
"OldW.038",nehe',3,,,,
"OldW.038",woxhoox.,4,,,,
"OldW.039","Hei'no'useet,",1,,,,
"OldW.039",neneenit,2,,,,
"OldW.039",nih'eeneitoo3ii3eit,3,,,,
"OldW.039",nih'eeneiswo'wuuhu3i'.,4,,,,
"OldW.040","Heeneeswo'wuseenoo3i,",1,,,,
"OldW.040",hini',2,,,,
"OldW.040","hisei,",3,,,,
"OldW.040",he'ih'iineen,4,,,,
"OldW.040",nih'ii3i'ookuutiit,5,,,,
"OldW.040",niiinono.,6,,,,
"OldW.041",He'ihneen,1,,,,
"OldW.041","nih'iibeebeseeet,",2,,,,
"OldW.041",beebexoohut,3,,,,
"OldW.041","bexo,",4,,,,
"OldW.041",heenei'isiihi'.,5,,,,
"OldW.042",He'ihneen,1,,,,
"OldW.042","nihbehniistiit,",2,,,,
"OldW.042",nehe',3,,,,
"OldW.042",hisei.,4,,,,
"OldW.043",'oh,1,,,,
"OldW.043",nehe',2,,,,
"OldW.043","hinen,",3,,,,
"OldW.043",he'ihneen,4,,,,
"OldW.043",nih'iinoo'eit.,5,,,,
"OldW.044","Tih'iineeneh'ehei3i',",1,,,,
"OldW.044",he'ihneeno',2,,,,
"OldW.044",hii3einoon,3,,,,
"OldW.044",nihi'cowo'oo3i'.,4,,,,
"OldW.045",Nihi'cowo'oo3i'.,1,,,,
"OldW.046",Neneenini',1,,,,
"OldW.046",wootii,2,,,,
