ref,word,num,dep,label,dep2,label2
"Owl.001",hee3oo3itootou'u,1,,,,
"Owl.001",nuhu',2,,,,
"Owl.001",bee3ei.,3,,,,
"Owl.002",hiinwo'wuuhu3i',1,,,,
"Owl.002",nuhu',2,,,,
"Owl.002",hineniteeno'.,3,,,,
"Owl.003",niitohP,1,,,,
"Owl.003","heetbohootiinoo3i,",2,,,,
"Owl.003",'oh,3,,,,
"Owl.003",niiseiht,4,,,,
"Owl.003",he'ih'iice'exootii.,5,,,,
"Owl.004",beexehciisiniihiihi',1,,,,
"Owl.004",he'ne'nih'iitootiit.,2,,,,
"Owl.005",he'ihniisneniin.,1,,,,
"Owl.006",hinee,1,,,,
"Owl.006",hoo3oo'o',2,,,,
"Owl.006",beneniiniini,3,,,,
"Owl.006",hootii3i'.,4,,,,
"Owl.007",wohei,1,,,,
"Owl.007",nehe',2,,,,
"Owl.007",he'ih'iiniisce'exootii,3,,,,
"Owl.007",ce'esiihi'.,4,,,,
"Owl.008",wohei,1,,,,
"Owl.008",nuhu',2,,,,
"Owl.008",biih'iyou'u,3,,,,
"Owl.008",'oh,4,,,,
"Owl.008",bee3ei,5,,,,
"Owl.008",he'ih'iicoocoo'u3ei'i.,6,,,,
"Owl.009",howoo,1,,,,
"Owl.009",nuhu',2,,,,
"Owl.009",he3ebii,3,,,,
"Owl.009",he'ih'iiP,4,,,,
"Owl.009",he'ih'iicihcoo'uhee,5,,,,
"Owl.009",nuhu',6,,,,
"Owl.009",he3ebii.,7,,,,
"Owl.010",hiit,1,,,,
"Owl.010",nih'iibeebee3i'.,2,,,,
"Owl.011",yiiyih'oowoo3i'.,1,,,,
"Owl.012",hoowoe'inoneeno',1,,,,
"Owl.012",nuhu',2,,,,
"Owl.012",tohneenini3,3,,,,
"Owl.012",bee3ei.,4,,,,
"Owl.013",wohei,1,,,,
"Owl.013",ceese',2,,,,
"Owl.013",kooxhe'ne'ce'wo'wuuhu3i';,3,,,,
"Owl.014",he'iitnei'i,1,,,,
"Owl.014",ne'ce'ootii3i'.,2,,,,
"Owl.015",niiniihi3i',1,,,,
"Owl.015","heenei'isiihi',",2,,,,
"Owl.015","hiinoo'ei3i',",3,,,,
"Owl.015",kooko'uyei3i',4,,,,
"Owl.015",heenei'isiihi'.,5,,,,
"Owl.016",'oh,1,,,,
"Owl.016",nuhu',2,,,,
"Owl.016",niiseiht,3,,,,
"Owl.016",he'ih'iice'exootii.,4,,,,
"Owl.017",he'ih'iice'exootii.,1,,,,
"Owl.018",kooxbiih'iyou'u,1,,,,
"Owl.018","he'ih'iiP,",2,,,,
"Owl.018",'oeii,3,,,,
"Owl.018",he3ebii,4,,,,
"Owl.018",nih'iiyih'oowoo3i'.,5,,,,
"Owl.019",non3enouuhu.,1,,,,
"Owl.020",wohei,1,,,,
"Owl.020",hoowoe'inoneeno',2,,,,
"Owl.020",nehe',3,,,,
"Owl.020",niiniisootiit.,4,,,,
"Owl.021",woo'wuuhuutooni'i,1,,,,
"Owl.021",'oh,2,,,,
"Owl.021",he'ih'iinii3wo'wuu.,3,,,,
"Owl.022",kooxci'he'ne'ce'wo'wuuhu3i'.,1,,,,
"Owl.023",nooxowuuni,1,,,,
"Owl.023",woo3eeni'i,2,,,,
"Owl.023",hito'uwooninoo.,3,,,,
"Owl.024",hini'iit,1,,,,
"Owl.024",biibinootno,2,,,,
"Owl.024",noh,3,,,,
"Owl.024","heeneixoo'usei'i[3i'i],",4,,,,
"Owl.024",noh,5,,,,
"Owl.024",heenei'isiihi'.,6,,,,
"Owl.025",he'ihneenouutowuu,1,,,,
"Owl.025",hinee;,2,,,,
"Owl.026",nii'ceciiniini',1,,,,
"Owl.026",heetni'bii3ihi3i'.,2,,,,
"Owl.027","nii'ceciiniini'ehk,",1,,,,
"Owl.027",ciino'o3ini'iinoo'ei3i';,2,,,,
"Owl.028",wo'ei3,1,,,,
"Owl.028","biibinootno,",2,,,,
"Owl.028","tohuuceeneibi'i,",3,,,,
"Owl.028",heenei'isiihi'.,4,,,,
"Owl.029",noh,1,,,,
"Owl.029",hootii3i';,2,,,,
"Owl.030",kooxne'wo'wuuhu3i'.,1,,,,
"Owl.031",he'ihce'ootii[no'].,1,,,,
"Owl.032",'oh,1,,,,
"Owl.032",nuhu',2,,,,
"Owl.032","niiseiht,",3,,,,
"Owl.032",he'ihce'esP.,4,,,,
"Owl.033","'oeii,",1,,,,
"Owl.033",'oh,2,,,,
"Owl.033",hiiwoonhehe',3,,,,
"Owl.033",he'ih'iinoh'uuseiyoo.,4,,,,
"Owl.034",biikousiis,1,,,,
"Owl.034",he'ihnoh'etee.,2,,,,
"Owl.035",hiit,1,,,,
"Owl.035",wootii,2,,,,
"Owl.035",wootii,3,,,,
