ref,word,num,dep,label,dep2,label2
"PB.001",Niisiine'etiit,1,,,,
"PB.001",Be'eekuuni'.,2,,,,
"PB.002",Be'eekuuni',1,,,,
"PB.002","hiinoon,",2,,,,
"PB.002","hinono'usein,",3,,,,
"PB.003",'oh,1,,,,
"PB.003",hiniisonoon,2,,,,
"PB.003",hitesiin.,3,,,,
"PB.004",Hiinoon,1,,,,
"PB.004",Bici'ei,2,,,,
"PB.004",hiniisih'iit.,3,,,,
"PB.005",nouhtiihii,1,,,,
"PB.005",hiniisonoon,2,,,,
"PB.005","hiisih'ini3,",3,,,,
"PB.005",tih'entoot.,4,,,,
"PB.006",Bene'enesei,1,,,,
"PB.006",nee'eesih'ini3,2,,,,
"PB.006","hiniin,",3,,,,
"PB.006",hitesei.,4,,,,
"PB.007",Nihwonineyei3ei'it,1,,,,
"PB.007",ce'i3ee.,2,,,,
"PB.008",nih'entoot,1,,,,
"PB.008",yoo3oncec.,2,,,,
"PB.009",noh,1,,,,
"PB.009","tohce'icoot,",2,,,,
"PB.009",nihno'useet,3,,,,
"PB.009",tihkouhoo'oet,4,,,,
"PB.009",howoh'oowuu'.,5,,,,
"PB.010",Neisonoo,1,,,,
"PB.010",nih'iteseino',2,,,,
"PB.010",tihkouhoo'oet.,3,,,,
"PB.011",nihnii3ooneino',1,,,,
"PB.011",tihcoono',2,,,,
"PB.011",koyeiyeino'oowuu'.,3,,,,
"PB.012",nihniisi3ei'it,1,,,,
"PB.012",bii3wo,2,,,,
"PB.012","niitotooneihini',",3,,,,
"PB.012",howoh'oowuu'.,4,,,,
"PB.013",ne'nih'iniinit.,1,,,,
"PB.014 ",Ceese',1,,,,
"PB.014 ",neteh'eino',2,,,,
"PB.014 ",nihniitowo3onoheih[inoo],3,,,,
"PB.014 ",he'ii3ei'is[i'i],4,,,,
"PB.014 ",howoh'oowuu'.,5,,,,
"PB.015",neneeninoo,1,,,,
"PB.015",noh,2,,,,
"PB.015","neiteh'ei,",3,,,,
"PB.015","Be'eekuuni',",4,,,,
"PB.015",ne'nih'ii'teesihcehino',5,,,,
"PB.015",bo'otii,6,,,,
"PB.015",yiisiihi',7,,,,
"PB.015",heso'oonotiiboone'.,8,,,,
"PB.016",nii3iini,1,,,,
"PB.016",nihno'xoheino',2,,,,
"PB.016",teexokuut,3,,,,
"PB.016",heso'oonotii.,4,,,,
"PB.017",Ne'nih'ii'teesihcehino'.,1,,,,
"PB.018",'oh,1,,,,
"PB.018",neih'oowuuuni,2,,,,
"PB.018",wo3onohoenibe.,3,,,,
"PB.019",Nihbi'beino',1,,,,
"PB.019",hooxeihiibei'ci3ei'i.,2,,,,
"PB.020",hehniisino',1,,,,
"PB.020",yiisiihi',2,,,,
"PB.020",howoh'oowuu',3,,,,
"PB.020",toh'otooneeno'.,4,,,,
"PB.021",toukuhuuno'oowuu'.,1,,,,
"PB.022",ne'wonoohowoono',1,,,,
"PB.022",Beheeteih;,2,,,,
"PB.023",touku3eihiiho',1,,,,
"PB.023","ceni'eihit,",2,,,,
"PB.023",ne'nottonoono',3,,,,
"PB.023",''tohuutoxuno,4,,,,
"PB.023",bei'ci3ei'i,5,,,,
"PB.023",hotniinouuheihi[t]?'',6,,,,
"PB.024",wo'oteenP,1,,,,
