ref,word,num,dep,label,dep2,label2
"Pawn.001",But,1,,,,
"Pawn.001",the,2,,,,
"Pawn.001",word,3,,,,
"Pawn.001",generally,4,,,,
"Pawn.001",used,5,,,,
"Pawn.001",is,6,,,,
"Pawn.001",nih'inowouno'.,7,,,,
"Pawn.002","Uhh,",1,,,,
"Pawn.002",if,2,,,,
"Pawn.002",somebody,3,,,,
"Pawn.002",wants,4,,,,
"Pawn.002",to,5,,,,
"Pawn.002",borrow,6,,,,
"Pawn.002","your,",7,,,,
"Pawn.002",say,8,,,,
"Pawn.002",your,9,,,,
"Pawn.002","lawnmower,",10,,,,
"Pawn.003",Tell,1,,,,
"Pawn.003",'em,2,,,,
"Pawn.003",Nih'inowounowoo.,3,,,,
"Pawn.004",I,1,,,,
"Pawn.004",hawked,2,,,,
"Pawn.004","it,",3,,,,
"Pawn.004",heetihbenenoo.,4,,,,
"Pawn.005","Hey,",1,,,,
"Pawn.005",nih-tou3e'ein-in,2,,,,
"Pawn.005",bei'ci3ei'i,3,,,,
"Pawn.005",hi'in,4,,,,
"Pawn.005",tih'iisP,5,,,,
"Pawn.005",tih'entoo-n,6,,,,
"Pawn.006",nihP,1,,,,
"Pawn.006",nih-yihoo-noo,2,,,,
"Pawn.006",huu3e'...,3,,,,
"Pawn.007",hotoonouhunoo,1,,,,
"Pawn.007",nihii,2,,,,
"Pawn.007",nihii,3,,,,
"Pawn.007","ceheekuut,",4,,,,
"Pawn.007","sparkplug,",5,,,,
"Pawn.008",For,1,,,,
"Pawn.008",my,2,,,,
"Pawn.008","lawnmower,",3,,,,
"Pawn.008",it,4,,,,
"Pawn.008",wouldn't,5,,,,
"Pawn.008",start.,6,,,,
