ref,word,num,dep,label,dep2,label2
"Plans.001",A,1,,,,
"Plans.001",Tooteeni'ihoon,2,,,,
"Plans.001",hiiscebiihetehkoni'?,3,,,,
"Plans.002",B,1,,,,
"Plans.002",Heetwonbii3ihino'.,2,,,,
"Plans.003",A,1,,,,
"Plans.003",Toot?,2,,,,
"Plans.004",A,1,,,,
"Plans.004",Bii3hiino'oowuu'.,2,,,,
"Plans.005",A,1,,,,
"Plans.005",Tooteih'entoo?,2,,,,
"Plans.006",B,1,,,,
"Plans.006",Nih'entoonoo,2,,,,
"Plans.006",ce'iskuu3oot.,3,,,,
"Plans.007",A,1,,,,
"Plans.007",Heetoustoo,2,,,,
"Plans.007",hiiwoonhehe'?,3,,,,
"Plans.008",B,1,,,,
"Plans.008",Niiyihoonoo,2,,,,
"Plans.008",niitkokoh'ohwootiini'.,3,,,,
"Plans.009",A,1,,,,
"Plans.009",Heitou'bee3too?,2,,,,
"Plans.010",B,1,,,,
"Plans.010",Neesootox,2,,,,
"Plans.010",no'xoohok.,3,,,,
