ref,word,num,dep,label,dep2,label2
"Pleiades.001",Teecxo',1,,,,
"Pleiades.001",tei'yoonoh'o',2,,,,
"Pleiades.001",nih'iinikotii3i'.,3,,,,
"Pleiades.002",Nehe',1,,,,
"Pleiades.002","hiseihihi',",2,,,,
"Pleiades.002",neneenit,3,,,,
"Pleiades.002",wox.,4,,,,
"Pleiades.003",Nihyeihoneit,1,,,,
"Pleiades.003",nuhu',2,,,,
"Pleiades.003",wox[uu],3,,,,
"Pleiades.004",noh,1,,,,
"Pleiades.004",nih'i3kuu3oot,2,,,,
"Pleiades.004",hoohowoho'.,3,,,,
"Pleiades.005",Nehe',1,,,,
"Pleiades.005",hiseihihi',2,,,,
"Pleiades.005",heniine'etiit,3,,,,
"Pleiades.005",nohkuuhu',4,,,,
"Pleiades.005",nuhu',5,,,,
"Pleiades.005",wox[uu].,6,,,,
"Pleiades.006",Nehe',1,,,,
"Pleiades.006",hiseihihi',2,,,,
"Pleiades.006",nihno'uxotiit,3,,,,
"Pleiades.006",bexo,4,,,,
"Pleiades.006",noh,5,,,,
"Pleiades.006",nec.,6,,,,
"Pleiades.007",Nehe',1,,,,
"Pleiades.007",hiseihihi',2,,,,
"Pleiades.007",nihbii3woo3oot,3,,,,
"Pleiades.007",nuhu',4,,,,
"Pleiades.007",nooku[o].,5,,,,
"Pleiades.008",Nihto'owoot,1,,,,
"Pleiades.008",nuhu',2,,,,
"Pleiades.008",wox[uu],3,,,,
"Pleiades.008","hitooxebi'on[e'],",4,,,,
"Pleiades.008",nohkuuhu',5,,,,
"Pleiades.008",nuhu',6,,,,
"Pleiades.008",heesitee',7,,,,
"Pleiades.008",cebitee.,8,,,,
"Pleiades.009",Hini',1,,,,
"Pleiades.009",wox[uu],2,,,,
"Pleiades.009",noh'oo3i'.,3,,,,
"Pleiades.010",Nuhu',1,,,,
"Pleiades.010","becoonix,",2,,,,
"Pleiades.010",neneenit,3,,,,
"Pleiades.010",wox,4,,,,
"Pleiades.010",ci'.,5,,,,
"Pleiades.011",Nuh'uuno,1,,,,
"Pleiades.011",tei'yoonoh'o',2,,,,
"Pleiades.011",nih'esiikoohu3i'.,3,,,,
"Pleiades.012",Nuhu',1,,,,
"Pleiades.012",wox[uu],2,,,,
"Pleiades.012",nihyeihonei3i'.,3,,,,
"Pleiades.013",Nehe',1,,,,
"Pleiades.013",hiseihihi',2,,,,
"Pleiades.013",nih'i3kuu3oot,3,,,,
"Pleiades.013","kokoh'owooo[n],",4,,,,
"Pleiades.014",noh,1,,,,
"Pleiades.014",nihto'oxonoot,2,,,,
"Pleiades.014",hono'u'.,3,,,,
"Pleiades.015",Nuh'uuno,1,,,,
"Pleiades.015",tei'yoonoh'o',2,,,,
"Pleiades.015",nih'entoo3i',3,,,,
"Pleiades.015","hono'u',",4,,,,
"Pleiades.015",noh,5,,,,
"Pleiades.015",nehe',6,,,,
"Pleiades.015",hiseihihi'.,7,,,,
"Pleiades.016",Nuh'uuno,1,,,,
"Pleiades.016",neniitootoxu3i',2,,,,
"Pleiades.016","ho3o'uu,",3,,,,
"Pleiades.016",nenee[ni]ni3i,4,,,,
"Pleiades.016","hiisoh'oho,",5,,,,
"Pleiades.017",noh,1,,,,
"Pleiades.017",neniiseiht,2,,,,
"Pleiades.017",ho3o',3,,,,
"Pleiades.017","3ooniihi',",4,,,,
"Pleiades.017",neneenit,5,,,,
"Pleiades.017",hiseihihi'.,6,,,,
"Pleiades.018",Nenee3i',1,,,,
"Pleiades.018",beenoku3i'.,2,,,,
