ref,word,num,dep,label,dep2,label2
"PoMe.001",heenoo,1,,,,
"PoMe.001","ne'nii'iini,",2,,,,
"PoMe.001",nii3o'ohceinoo.,3,,,,
"PoMe.002",That's,1,,,,
"PoMe.002",what,2,,,,
"PoMe.002",that,3,,,,
"PoMe.002","means,",4,,,,
"PoMe.002",I'm,5,,,,
"PoMe.002",going,6,,,,
"PoMe.002",to,7,,,,
"PoMe.002",make,8,,,,
"PoMe.002",pounded,9,,,,
"PoMe.002",meat.,10,,,,
"PoMe.003",nii3o'ohceinoo.,1,,,,
"PoMe.004",niito',1,,,,
"PoMe.004",niise'esoonootiini'.,2,,,,
"PoMe.005",niise'esP,1,,,,
"PoMe.005",niito',2,,,,
"PoMe.005",niise'esoonootiini',3,,,,
"PoMe.005",hiisiihi'.,4,,,,
"PoMe.006",and,1,,,,
"PoMe.006","then,",2,,,,
"PoMe.006",ne'nii'iini,3,,,,
"PoMe.006",nihii,4,,,,
"PoMe.006",hoo'xuh'u'u,5,,,,
"PoMe.006",nou'uuhu',6,,,,
"PoMe.006",ne'nii'iisetee'.,7,,,,
"PoMe.007",niisetee',1,,,,
"PoMe.007",hi'iihi',2,,,,
"PoMe.007",nehe',3,,,,
"PoMe.007",hiisiis.,4,,,,
"PoMe.008",It,1,,,,
"PoMe.008",gets,2,,,,
"PoMe.008",done,3,,,,
"PoMe.008",from,4,,,,
"PoMe.008",the,5,,,,
"PoMe.008",sun,6,,,,
"PoMe.008",[which,7,,,,
"PoMe.008",dries,8,,,,
"PoMe.008",it,9,,,,
"PoMe.008",out].,10,,,,
"PoMe.009",noh,1,,,,
"PoMe.009",ne'nii'iini,2,,,,
"PoMe.009",ne'nii'P,3,,,,
"PoMe.009",heet3o'ohcootiini'.,4,,,,
"PoMe.010",ne'nii'iini,1,,,,
"PoMe.010",heehiisebi',2,,,,
"PoMe.010",neciini.,3,,,,
"PoMe.011",'oh,1,,,,
"PoMe.011",ne'nii'iini,2,,,,
"PoMe.011",nihii,3,,,,
"PoMe.011",3ei'ini'.,4,,,,
"PoMe.012",ne'nii'iini,1,,,,
"PoMe.012",hocootiini'.,2,,,,
"PoMe.013",nii3ei'ini',1,,,,
"PoMe.013","niitocootiini',",2,,,,
"PoMe.013",wohoe'niisiini,3,,,,
"PoMe.013",hocootiini'.,4,,,,
"PoMe.014",'oh,1,,,,
"PoMe.014",ne'nii'eeteni'.,2,,,,
"PoMe.015",hini'iit,1,,,,
"PoMe.015",beenhehe',2,,,,
"PoMe.015",nooP,3,,,,
"PoMe.015",noonoseiceikuuhu',4,,,,
"PoMe.015",nec.,5,,,,
"PoMe.016",ne'nii'iini,1,,,,
"PoMe.016",cesisiini,2,,,,
"PoMe.016",3o'ohcootiini'.,3,,,,
"PoMe.017",niiciineni',1,,,,
"PoMe.017",nihii,2,,,,
"PoMe.017",niiciineni',3,,,,
"PoMe.017",nihii,4,,,,
"PoMe.017",heesih'iitou'u,5,,,,
"PoMe.017",bee3o'oo'.,6,,,,
"PoMe.018","bee3o'oo',",1,,,,
"PoMe.018",niicihbe3o'oot.,2,,,,
"PoMe.019",ne'nii'3o'ohcootiini',1,,,,
"PoMe.019",honoot,2,,,,
"PoMe.019",siibenee3o'ohcootiini'.,3,,,,
"PoMe.020",'oh,1,,,,
"PoMe.020","ne'iini,",2,,,,
"PoMe.020",ne'nii'iini,3,,,,
"PoMe.020",nohkohu'u,4,,,,
"PoMe.020",nuhu',5,,,,
"PoMe.020",biino.,6,,,,
"PoMe.021",Ci'3ii3o'ohcootiini',1,,,,
"PoMe.021",nuhu',2,,,,
"PoMe.021",biino.,3,,,,
"PoMe.022",ne'nii'nohkohu'u.,1,,,,
"PoMe.023",noh,1,,,,
"PoMe.023",ne'nii'3eiikuuhu',2,,,,
"PoMe.023",niisiscoo',3,,,,
"PoMe.023",ci'.,4,,,,
"PoMe.024",noh,1,,,,
"PoMe.024",ne'nii'nooP,2,,,,
"PoMe.024",niiso',3,,,,
"PoMe.024",noo'oeniini,4,,,,
"PoMe.024",nuh'uuno,5,,,,
"PoMe.024",nuhu',6,,,,
"PoMe.024",niisiscoo'.,7,,,,
"PoMe.025",beenhehe',1,,,,
"PoMe.025",nih'ini.,2,,,,
"PoMe.026",noh,1,,,,
"PoMe.026","ne'iini,",2,,,,
"PoMe.026",nooxeihi',3,,,,
"PoMe.026",ne'iisiini,4,,,,
"PoMe.026",nuh'uuno,5,,,,
"PoMe.026",nii3o'ohcoo[tiini'].,6,,,,
"PoMe.027",niinoo'oenP,1,,,,
"PoMe.027","niinoo'oeniini,",2,,,,
"PoMe.027",ni'ii3o'oeni',3,,,,
"PoMe.027",cih'iitoniihi'.,4,,,,
"PoMe.028",heebehbeetni'P,1,,,,
"PoMe.028",nee'eesi3ei'ini',2,,,,
"PoMe.029","3o'oen[i'],",1,,,,
"PoMe.029",heebehcihP.,2,,,,
"PoMe.030",Noh,1,,,,
"PoMe.030",ne'iisetee'.,2,,,,
"PoMe.031","bisiihi',",1,,,,
"PoMe.031",noh,2,,,,
"PoMe.031",ne'biini',3,,,,
"PoMe.031",nuhu',4,,,,
"PoMe.031",3o'ohcoo.,5,,,,
"PoMe.032",Noh,1,,,,
"PoMe.032","woow,",2,,,,
"PoMe.032","you,",3,,,,
"PoMe.032","you,",4,,,,
"PoMe.032",niibiini',5,,,,
"PoMe.032",nuhu',6,,,,
"PoMe.032",3o'ohcoo.,7,,,,
"PoMe.033",Noh,1,,,,
"PoMe.033",niini'coo'.,2,,,,
"PoMe.034",I,1,,,,
"PoMe.034",guess,2,,,,
"PoMe.034",that's,3,,,,
"PoMe.034",it.,4,,,,
