ref,word,num,dep,label,dep2,label2
"Popeye.001","He,",1,,,,
"Popeye.001",he,2,,,,
"Popeye.001",told,3,,,,
"Popeye.001","me,",4,,,,
"Popeye.001",hiihctiitineeseenoo.,5,,,,
"Popeye.002",I,1,,,,
"Popeye.002",kinda,2,,,,
"Popeye.002",smiled.,3,,,,
"Popeye.002","And,",4,,,,
"Popeye.002",he,5,,,,
"Popeye.002","said,",6,,,,
"Popeye.002",“not,7,,,,
"Popeye.002",the,8,,,,
"Popeye.002",way,9,,,,
"Popeye.002",you,10,,,,
"Popeye.002",think.”,11,,,,
"Popeye.003","You,",1,,,,
"Popeye.003",you,2,,,,
"Popeye.003","know,",3,,,,
"Popeye.003",he,4,,,,
"Popeye.003","said,",5,,,,
"Popeye.003",hoowuuni,6,,,,
"Popeye.003",heesi3ecoon.,7,,,,
"Popeye.004",Nuhu',1,,,,
"Popeye.004","hiihctiitineeseenoo,",2,,,,
"Popeye.004",tihP,3,,,,
"Popeye.005",I'm,1,,,,
"Popeye.005","tiptoeing,",2,,,,
"Popeye.005",he,3,,,,
"Popeye.005",said.,4,,,,
"Popeye.006",howoh'oe!,1,,,,
"Popeye.007",noosouP,1,,,,
"Popeye.007",noosouniiwo3eihinoo.,2,,,,
"Popeye.008",That,1,,,,
"Popeye.008",means,2,,,,
"Popeye.008",he's,3,,,,
"Popeye.008",still,4,,,,
"Popeye.008",horny.,5,,,,
"Popeye.009",heetnosouniiP,1,,,,
"Popeye.009",niiwo3eihinoo,2,,,,
"Popeye.009",he'iicP,3,,,,
"Popeye.009",he'iicoxP,4,,,,
"Popeye.009",he'iitoxcec.,5,,,,
"Popeye.010",He,1,,,,
"Popeye.010","said,",2,,,,
"Popeye.010","“I'm,",3,,,,
"Popeye.010",I'll,4,,,,
"Popeye.010",be,5,,,,
"Popeye.010",still,6,,,,
"Popeye.010",horny,7,,,,
"Popeye.010",for,8,,,,
"Popeye.010",I,9,,,,
"Popeye.010",don't,10,,,,
"Popeye.010",know,11,,,,
"Popeye.010",how,12,,,,
"Popeye.010",many,13,,,,
"Popeye.010",years.”,14,,,,
"Popeye.010",When,15,,,,
"Popeye.010",that's,16,,,,
"Popeye.010","gone,",17,,,,
"Popeye.010",then,18,,,,
"Popeye.010",I,19,,,,
"Popeye.010",can,20,,,,
"Popeye.010",think,21,,,,
"Popeye.010",about,22,,,,
"Popeye.010",it.,23,,,,
"Popeye.011",nooxooteenowou'u.,1,,,,
"Popeye.012",I,1,,,,
"Popeye.012",think,2,,,,
"Popeye.012",they're,3,,,,
"Popeye.012","cute,",4,,,,
"Popeye.012","nuhu',",5,,,,
"Popeye.012",nuhu',6,,,,
"Popeye.012",beeh'eihohoku3i',7,,,,
"Popeye.012","hiiwoonhehe',",8,,,,
"Popeye.013",he,1,,,,
"Popeye.013","said,",2,,,,
"Popeye.013",“the,3,,,,
"Popeye.013",present,4,,,,
"Popeye.013",day,5,,,,
"Popeye.013",Old,6,,,,
"Popeye.013","Men,",7,,,,
"Popeye.013",that,8,,,,
"Popeye.013",want,9,,,,
"Popeye.013",to,10,,,,
"Popeye.013",sit,11,,,,
"Popeye.013",in,12,,,,
"Popeye.013",that,13,,,,
"Popeye.013","position,”",14,,,,
"Popeye.014","heeneetohnihi'koohu3i',",1,,,,
"Popeye.014",they,2,,,,
"Popeye.014",take,3,,,,
"Popeye.014",their,4,,,,
"Popeye.014",shoes,5,,,,
"Popeye.014","off,",6,,,,
"Popeye.014",take,7,,,,
"Popeye.014","medicine,",8,,,,
"Popeye.015",“Wherever,1,,,,
"Popeye.015",they,2,,,,
"Popeye.015",run/drive,3,,,,
"Popeye.015","around,……”",4,,,,
"Popeye.016",he,1,,,,
"Popeye.016","said,",2,,,,
"Popeye.016",nooxooteenowou'u.,3,,,,
"Popeye.017",and,1,,,,
"Popeye.017",he,2,,,,
"Popeye.017","said,",3,,,,
"Popeye.017",hoowoe'inowuu.,4,,,,
"Popeye.018",noh,1,,,,
"Popeye.018",nee'ee3ei'e'eihP,2,,,,
"Popeye.018",heP,3,,,,
"Popeye.018",[cii]he'eihino'.,4,,,,
"Popeye.019",he,1,,,,
"Popeye.019","said,",2,,,,
"Popeye.019",“that's,3,,,,
"Popeye.019",how,4,,,,
"Popeye.019",much,5,,,,
"Popeye.019","they,",6,,,,
"Popeye.019",they,7,,,,
"Popeye.019",don't,8,,,,
"Popeye.019",know.”,9,,,,
"Popeye.019",“they,10,,,,
"Popeye.019",copy,11,,,,
"Popeye.019",each,12,,,,
"Popeye.019",other.”,13,,,,
