ref,word,num,dep,label,dep2,label2
"QuiD.001",hoowoe'in,1,,,,
"QuiD.001",toonheetniiswoteekoohut.,2,,,,
"QuiD.002",hoowbeetnoo'einowuune',1,,,,
"QuiD.002",nuhu',2,,,,
"QuiD.002",hoo3oo'o',3,,,,
"QuiD.002",hitei'yooniiwo,4,,,,
"QuiD.002",wo'ei3,5,,,,
"QuiD.002",hiniisiihoho.,6,,,,
"QuiD.003",hoowbeetnoo'einowuune'.,1,,,,
"QuiD.004",“hee,1,,,,
"QuiD.004",3iwoo,2,,,,
"QuiD.004","niisiini,”",3,,,,
"QuiD.004",heehehk.,4,,,,
"QuiD.005",“wohei,1,,,,
"QuiD.005",noonoko',2,,,,
"QuiD.005",heetniinihii,3,,,,
"QuiD.005",neyei3itoonoo,4,,,,
"QuiD.005",niiheniihi'.”,5,,,,
"QuiD.006",ne'nouuteesiseenoo,1,,,,
"QuiD.006",nototiibe'.,2,,,,
"QuiD.007",hoonii,1,,,,
"QuiD.007",heniixouuhunoo.,2,,,,
"QuiD.008",hohkonee,1,,,,
"QuiD.008",heniisteesiseenoo.,2,,,,
"QuiD.009",noh,1,,,,
"QuiD.009",“nii'iini”,2,,,,
"QuiD.009",hinit,3,,,,
"QuiD.009",ne'ehce3koohunoo.,4,,,,
"QuiD.010",3ebwoteeP,1,,,,
"QuiD.010",woteeP,2,,,,
"QuiD.010",woteihcehinoo,3,,,,
"QuiD.010",boone',4,,,,
"QuiD.010",hee3ebii[hi'].,5,,,,
"QuiD.011",wohei,1,,,,
"QuiD.011",hee3ebiP,2,,,,
"QuiD.011","heeyoweete3einobeenooni,",3,,,,
"QuiD.011",heetoh'iiP,4,,,,
"QuiD.011",tonoti'i,5,,,,
"QuiD.011",nuhu',6,,,,
"QuiD.011","boone',",7,,,,
"QuiD.011",'oh,8,,,,
"QuiD.011","nii'e'ee,",9,,,,
"QuiD.011","nih'ee3neeneesiini',",10,,,,
"QuiD.011",nooh'uhcehisinenooni,11,,,,
"QuiD.011",hinit.,12,,,,
"QuiD.012",hohkonee,1,,,,
"QuiD.012","sehwoteihcehinoo,",2,,,,
"QuiD.012",hinee,3,,,,
"QuiD.012",heetwo'oteeyoo',4,,,,
"QuiD.012",booo.,5,,,,
"QuiD.013",beexuuni,1,,,,
"QuiD.013",ni'iini.,2,,,,
"QuiD.014",hohkonee,1,,,,
"QuiD.014",3ebiisno'koohunoo.,2,,,,
"QuiD.015",noh,1,,,,
"QuiD.015",hunit,2,,,,
"QuiD.015","hee3e'eitee-',",3,,,,
"QuiD.015",niitoot,4,,,,
"QuiD.015",nehe',5,,,,
"QuiD.015","notoniheihii,",6,,,,
"QuiD.015",nee'eetoo'uhcehinoo.,7,,,,
"QuiD.016",'oh,1,,,,
"QuiD.016",niiP,2,,,,
"QuiD.016",niit3i'ookuu'u,3,,,,
"QuiD.016",hi'in,4,,,,
"QuiD.016","3i'ookuu3oono,",5,,,,
"QuiD.016",bei'ci3ei'i,6,,,,
"QuiD.016","niit3eiini'i,",7,,,,
"QuiD.016",toonheetniicisiini,8,,,,
"QuiD.016",hentoo[n].,9,,,,
"QuiD.017",ne'3eiikuutiinoo,1,,,,
"QuiD.017",bei'ci3ei'i.,2,,,,
"QuiD.018",hoonii,1,,,,
"QuiD.018",hehiixoowuseenoo.,2,,,,
"QuiD.019",hohkonee,1,,,,
"QuiD.019",hehiixoowuseenoo.,2,,,,
"QuiD.020",ne'cii3nonouseenoo,1,,,,
"QuiD.020",hini'iit,2,,,,
"QuiD.020",tecenoone'.,3,,,,
"QuiD.021",wohei,1,,,,
"QuiD.021",hi'in,2,,,,
"QuiD.021",teesciiyei'iitono,3,,,,
"QuiD.021",3ebnoh'uuhu',4,,,,
"QuiD.021",hee3ebciisnoh'oe'.,5,,,,
"QuiD.022",ne'eh3ebouuhu';,1,,,,
"QuiD.022",hoonii,2,,,,
"QuiD.022",ne'ehseh'ini.,3,,,,
"QuiD.023",hohkonee,1,,,,
"QuiD.023",seh'iisno'oxuuhetinoo;,2,,,,
"QuiD.024",huut,1,,,,
"QuiD.024",ne'ehciiteinoo.,2,,,,
"QuiD.025",“wohei,1,,,,
"QuiD.025","heneeyeihno'useen,”",2,,,,
"QuiD.025",hee3einoo,3,,,,
"QuiD.025",hi'in,4,,,,
"QuiD.025","nih'oo3ousei,",5,,,,
"QuiD.025",notoniheisei.,6,,,,
"QuiD.026",“wohei,1,,,,
"QuiD.026","hunit,",2,,,,
"QuiD.026",huut,3,,,,
"QuiD.026","xonou,",4,,,,
"QuiD.026","cihciitei,",5,,,,
"QuiD.026",heetnoohobein,6,,,,
"QuiD.026",notoniheihii.”,7,,,,
"QuiD.027",“nooxeihi',1,,,,
"QuiD.027",3eniikoto'oyonin.”,2,,,,
"QuiD.028","“hee,",1,,,,
"QuiD.028",3iikoto'oyoneihcehinoo.,2,,,,
"QuiD.029",wohei,1,,,,
"QuiD.029",nihnoonoh'enowoo,2,,,,
"QuiD.029","niiheyoti'i,",3,,,,
"QuiD.029",ne'3iikoto'oyoneihcehinoo.,4,,,,
"QuiD.030","“hee,",1,,,,
"QuiD.030",heetnotonihein.,2,,,,
"QuiD.030",heetniiP;,3,,,,
"QuiD.031",huut,1,,,,
"QuiD.031",cihciitei,2,,,,
"QuiD.031",hinit!,3,,,,
"QuiD.032",noko3iihi',1,,,,
"QuiD.032",niitP,2,,,,
"QuiD.032",nooxeihi',3,,,,
"QuiD.032","niiteesiisibi3i',",4,,,,
"QuiD.032","toonhiniinotonihooono,",5,,,,
"QuiD.032",kookokoh'ouhoot.,6,,,,
"QuiD.033",wohei,1,,,,
"QuiD.033",hiitoniihi',2,,,,
"QuiD.033",wootii,3,,,,
"QuiD.033",touyoono;,4,,,,
