ref,word,num,dep,label,dep2,label2
"Rain.001",A,1,,,,
"Rain.001",Nih'oonoosoo',2,,,,
"Rain.001",niito',3,,,,
"Rain.001",tih'oxobeti'.,4,,,,
"Rain.002",B,1,,,,
"Rain.002",Nenee',2,,,,
"Rain.002",nii'oo',3,,,,
"Rain.002",hoosoonec.,4,,,,
"Rain.003",A,1,,,,
"Rain.003","'oo,",2,,,,
"Rain.003",beebeet,3,,,,
"Rain.003",nih'oxesiini'.,4,,,,
"Rain.004",Nihtooko3cisi',1,,,,
"Rain.004",nototii.,2,,,,
"Rain.005",B,1,,,,
"Rain.005",Nihno'otoxesnou'ei3i',2,,,,
"Rain.005",noto'oowuu'.,3,,,,
"Rain.006",Nih'ee3neenoxesiini'.,1,,,,
"Rain.007","Heeneiswoti'eyooni'ehk,",1,,,,
"Rain.007",heetce'oosoo'.,2,,,,
