ref,word,num,dep,label,dep2,label2
"Rodeo.001",Nih'iiceecebiseenoo',1,,,,
"Rodeo.001",nuhu',2,,,,
"Rodeo.001",3oo3eenebetiit;,3,,,,
"Rodeo.002",Ciinonih'ii3ini,1,,,,
"Rodeo.002",ciinonih'ii3itonoono',2,,,,
"Rodeo.002",nuh'uuno,3,,,,
"Rodeo.002",beh'eihoho';,4,,,,
"Rodeo.003",nehe',1,,,,
"Rodeo.003",Joe,2,,,,
"Rodeo.003",Moss,3,,,,
"Rodeo.003",noh,4,,,,
"Rodeo.003",his,5,,,,
"Rodeo.003",wife,6,,,,
"Rodeo.003","Aleen,",7,,,,
"Rodeo.003",I,8,,,,
"Rodeo.003",said,9,,,,
"Rodeo.003",in,10,,,,
"Rodeo.003",there,11,,,,
"Rodeo.003",their,12,,,,
"Rodeo.003",names,13,,,,
"Rodeo.003",so,14,,,,
"Rodeo.003",you,15,,,,
"Rodeo.003",know,16,,,,
"Rodeo.003",what,17,,,,
"Rodeo.003",you're,18,,,,
"Rodeo.003",talking,19,,,,
"Rodeo.003",about.,20,,,,
"Rodeo.004",Noh,1,,,,
"Rodeo.004",ne'nih'iistootiini'.,2,,,,
"Rodeo.005",Hiit,1,,,,
"Rodeo.005",niistootiini',2,,,,
"Rodeo.005",just,3,,,,
"Rodeo.005",like,4,,,,
"Rodeo.005",a,5,,,,
"Rodeo.005",memorial,6,,,,
"Rodeo.005","day,",7,,,,
"Rodeo.005",you,8,,,,
"Rodeo.005",remember,9,,,,
"Rodeo.005","them,",10,,,,
"Rodeo.005",Here,11,,,,
"Rodeo.005",we,12,,,,
"Rodeo.005",do,13,,,,
"Rodeo.005","it,",14,,,,
"Rodeo.005",nih'ii3oo3eenebeihi3i',15,,,,
"Rodeo.005",nuhu',16,,,,
"Rodeo.005","hiniisooninoo,",17,,,,
"Rodeo.005","hiniisiihehinoo,",18,,,,
"Rodeo.005",hee3o'ouwu3i'.,19,,,,
"Rodeo.006",Nih3oo3eenebeihi3i',1,,,,
"Rodeo.006",nih'iihoo'eiseeni3i.,2,,,,
"Rodeo.007",Nee'ee3eenoo',1,,,,
"Rodeo.007",nuh'uuno,2,,,,
"Rodeo.007",neyeito'eet.,3,,,,
"Rodeo.008",Noh,1,,,,
"Rodeo.008",nihcihwoniini,2,,,,
"Rodeo.008",heenetit,3,,,,
"Rodeo.008",hini'iitiino,4,,,,
"Rodeo.008",nihii...,5,,,,
"Rodeo.009",Niino'oteineetit,1,,,,
"Rodeo.009",nihi'iitP,2,,,,
"Rodeo.009",Old,3,,,,
"Rodeo.009",Horn,4,,,,
"Rodeo.009","nee'eesih'it,",5,,,,
"Rodeo.009","Crow,",6,,,,
"Rodeo.010",neneenit,1,,,,
"Rodeo.010",nihcih'eenei'tobeet,2,,,,
"Rodeo.010",heetneeneisiini,3,,,,
"Rodeo.010",hi'in,4,,,,
"Rodeo.010",neyeito'eet.,5,,,,
"Rodeo.011",Niineyeito'eit,1,,,,
"Rodeo.011",neisie.,2,,,,
"Rodeo.012",Teebe,1,,,,
"Rodeo.012",ne'teexokut,2,,,,
"Rodeo.012",woxP,3,,,,
"Rodeo.012",'oh,4,,,,
"Rodeo.012",huni',5,,,,
"Rodeo.012",wookeciiP,6,,,,
"Rodeo.012",wookeciisoon.,7,,,,
"Rodeo.013",hiniisonoon,1,,,,
"Rodeo.013",tih'iiteexokuni3;,2,,,,
"Rodeo.014",'oh,1,,,,
"Rodeo.014",hoowoe'in,2,,,,
"Rodeo.014","nuhu',",3,,,,
"Rodeo.014",how3o'teexok.,4,,,,
"Rodeo.015",'oh,1,,,,
"Rodeo.015",teebe,2,,,,
"Rodeo.015",ne'teesiseet.,3,,,,
"Rodeo.016",Noh,1,,,,
"Rodeo.016",huu3e',2,,,,
"Rodeo.016",hini',3,,,,
"Rodeo.016",honoh'oehih'o',4,,,,
"Rodeo.016",nih'oyei3i'.,5,,,,
"Rodeo.017",Nenee3i',1,,,,
"Rodeo.017",nihbiibiinoono',2,,,,
"Rodeo.017",nuhu',3,,,,
"Rodeo.017","heeneeyoohuuho,",4,,,,
"Rodeo.018",noh,1,,,,
"Rodeo.018",neh'eeno,2,,,,
"Rodeo.018",nih'eenetit.,3,,,,
"Rodeo.019",Old,1,,,,
"Rodeo.019",Horn,2,,,,
"Rodeo.019",nihbiinoono',3,,,,
"Rodeo.019",nihii,4,,,,
"Rodeo.019",belt,5,,,,
"Rodeo.019",buckle,6,,,,
"Rodeo.019",in,7,,,,
"Rodeo.019",memory,8,,,,
"Rodeo.019",Old,9,,,,
"Rodeo.019",Horn,10,,,,
"Rodeo.019",we,11,,,,
"Rodeo.019",gave,12,,,,
"Rodeo.019",them,13,,,,
"Rodeo.019",well,14,,,,
"Rodeo.019",of,15,,,,
"Rodeo.019",Joe,16,,,,
"Rodeo.019",and,17,,,,
"Rodeo.019",Aleen,18,,,,
"Rodeo.019",Moss,19,,,,
"Rodeo.019","Memorial,",20,,,,
"Rodeo.019",in,21,,,,
"Rodeo.019","John,",22,,,,
"Rodeo.019",John,23,,,,
"Rodeo.019",Felix,24,,,,
"Rodeo.019",memory.,25,,,,
"Rodeo.020",That's,1,,,,
"Rodeo.020",what,2,,,,
"Rodeo.020",was,3,,,,
"Rodeo.020",on,4,,,,
"Rodeo.020",the,5,,,,
"Rodeo.020",buckle.,6,,,,
"Rodeo.021",Noh,1,,,,
"Rodeo.021",hinee,2,,,,
"Rodeo.021",hoo3oo'o',3,,,,
"Rodeo.021",honoh'oehih'o',4,,,,
"Rodeo.021","nihneyeineyeito'ei3i',",5,,,,
"Rodeo.022",'oh,1,,,,
"Rodeo.022",nihniiseiht,2,,,,
"Rodeo.022",nih'oyeit.,3,,,,
"Rodeo.023",What's,1,,,,
"Rodeo.023",his,2,,,,
"Rodeo.023","name,",3,,,,
"Rodeo.023",Ed?,4,,,,
"Rodeo.024",'oo,1,,,,
"Rodeo.024",Leroy,2,,,,
"Rodeo.024","Manzanares,",3,,,,
"Rodeo.024",nee'eesih'it.,4,,,,
"Rodeo.025",Ci'hee3ebiiniito'eiwoono'.,1,,,,
"Rodeo.026",Nih'oyeit.,1,,,,
"Rodeo.027",hi'in,1,,,,
"Rodeo.027",nihii,2,,,,
"Rodeo.027",ce'itoooneni3,3,,,,
"Rodeo.027",cihneyeito'onoot.,4,,,,
"Rodeo.028","Beesei3eni3,",1,,,,
"Rodeo.028",'oh,2,,,,
"Rodeo.028",hoowP,3,,,,
"Rodeo.028",hoowbeexookeih.,4,,,,
"Rodeo.029","Hookeciihiht,",1,,,,
"Rodeo.029",'oh,2,,,,
"Rodeo.029",nei'okut.,3,,,,
"Rodeo.030","Nei'okut,",1,,,,
"Rodeo.030",noh,2,,,,
"Rodeo.030",neneenit,3,,,,
"Rodeo.030",hi'in,4,,,,
"Rodeo.030",ceese',5,,,,
"Rodeo.030",neihbiinootiininoo:,6,,,,
"Rodeo.031",Heeneeyoohuuho,1,,,,
"Rodeo.031",hee3ei'sei'ini'i:,2,,,,
"Rodeo.032","To'soono,",1,,,,
"Rodeo.032",hi'in,2,,,,
"Rodeo.032",tootonouyooninoo,3,,,,
"Rodeo.032",nuh'uuno,4,,,,
"Rodeo.032",neyeito'eihiiho':,5,,,,
"Rodeo.032",nenee',6,,,,
"Rodeo.032",nih'iihe3ebxooni'.,7,,,,
"Rodeo.033",teco'oniini,1,,,,
"Rodeo.033",3i'okut;,2,,,,
"Rodeo.034",toyoohobee3i'.,1,,,,
"Rodeo.035",wonesooku'ooni';,1,,,,
"Rodeo.036",nih'owootooku'oono'.,1,,,,
