ref,word,num,dep,label,dep2,label2
"Run.001","heibeexuuP,",1,,,,
"Run.001",ne'nih'ii'cih'ini,2,,,,
"Run.001",hiinko'eikoohu3i',3,,,,
"Run.001",nuhu',4,,,,
"Run.001",niihencebkoohuni[,5,,,,
"Run.001",3i].,6,,,,
"Run.002",nee3neeniini,1,,,,
"Run.002",nestoo3ei3i',2,,,,
"Run.002",tei'yoonoh'o',3,,,,
"Run.002","tohuucebisee3i',",4,,,,
"Run.002",wo'ei3,5,,,,
"Run.002",neniteeno'.,6,,,,
"Run.003","niiso'ooteineetoo3i',",1,,,,
"Run.004",noh,1,,,,
"Run.004",nee3neeni'inihii,2,,,,
"Run.004",ho'onou'ukuutii3i'.,3,,,,
"Run.005","hoo3o'oo'uu,",1,,,,
"Run.005",huuhoowuni'iini,2,,,,
"Run.005",hoowu3oowuno',3,,,,
