ref,word,num,dep,label,dep2,label2
"SBGh.001",Strong,1,,,,
"SBGh.001","Bear,",2,,,,
"SBGh.001","hee,",3,,,,
"SBGh.001","3iwoo,",4,,,,
"SBGh.001","3iwoo,",5,,,,
"SBGh.001","nee'eeP,",6,,,,
"SBGh.001","heetkokoh'oeP,",7,,,,
"SBGh.001",heetbeenhehe'.,8,,,,
"SBGh.002",wohei,1,,,,
"SBGh.002",nuhu',2,,,,
"SBGh.002","hoo3itoo,",3,,,,
"SBGh.002",hinen,4,,,,
"SBGh.002","he'ih'iine'etii,",5,,,,
"SBGh.002","tei'ox,",6,,,,
"SBGh.002",ne'nih'iisih'it.,7,,,,
"SBGh.003",wohei,1,,,,
"SBGh.003",he'ihtei'eih.,2,,,,
"SBGh.004",wohei,1,,,,
"SBGh.004",hoo3itoo,2,,,,
"SBGh.004",hi'in,3,,,,
"SBGh.004",nih'iiP,4,,,,
"SBGh.004",teecxo',5,,,,
"SBGh.004",hinee,6,,,,
"SBGh.004","nenebiihi',",7,,,,
"SBGh.004",hinee,8,,,,
"SBGh.004",heetwo'teenP,9,,,,
"SBGh.004",he'ni'iiP,10,,,,
"SBGh.004",ni'iitou'u:,11,,,,
"SBGh.004",hinit,12,,,,
"SBGh.004",3ebwo'wuuhu'.,13,,,,
"SBGh.005",wohei,1,,,,
"SBGh.005",bii3oonoobe',2,,,,
"SBGh.005",hinit,3,,,,
"SBGh.005",he'iitnei'i.,4,,,,
"SBGh.006",he'ih'ootiino',1,,,,
"SBGh.006","nono'eino',",2,,,,
"SBGh.006",toyouniihi'.,3,,,,
"SBGh.007",wohei,1,,,,
"SBGh.007","heecisootii3i',",2,,,,
"SBGh.007",he'ih'eeneinoo'eino'.,3,,,,
"SBGh.008",he'ih'iinoonotiiheeno',1,,,,
"SBGh.008","hiwoxuuhuu,",2,,,,
"SBGh.008","bih'ihii,",3,,,,
"SBGh.008",heenei'isiihi'.,4,,,,
"SBGh.009",wohei,1,,,,
"SBGh.009",howoo,2,,,,
"SBGh.009",nooxeihi',3,,,,
"SBGh.009",nih'iikooko'uyei3i',4,,,,
"SBGh.009","biino,",5,,,,
"SBGh.009",[hi]teec,6,,,,
"SBGh.009",ce'eseihi3i',7,,,,
"SBGh.009",biibinootno.,8,,,,
"SBGh.010",wohei,1,,,,
"SBGh.010","heecisootii3i',",2,,,,
"SBGh.010",he'ne'koxuuteniini,3,,,,
"SBGh.010",nihii,4,,,,
"SBGh.010",woowoxuusoo.,5,,,,
"SBGh.011",wohei,1,,,,
"SBGh.011",ne'nii'iini,2,,,,
"SBGh.011","noono'oute',",3,,,,
"SBGh.011",he'ihbeec.,4,,,,
"SBGh.012",he'ihno'oteec.,1,,,,
"SBGh.013",he'iitoxuuus,1,,,,
"SBGh.013",he'ihbeec,2,,,,
"SBGh.013",hinee,3,,,,
"SBGh.013","heetoo3i',",4,,,,
"SBGh.013",heetoh'ootii3i',5,,,,
"SBGh.013",hoh'eni'.,6,,,,
"SBGh.014",wohei,1,,,,
"SBGh.014",hiikoot,2,,,,
"SBGh.014",nooxeihi',3,,,,
"SBGh.014",hoowuno'o3iini,4,,,,
"SBGh.014",hibii3hiininoo;,5,,,,
"SBGh.015",beebeet,1,,,,
"SBGh.015",hini'iit,2,,,,
"SBGh.015",kooko'uyei3i'.,3,,,,
"SBGh.015",hoowuno'o3iini,4,,,,
"SBGh.015","nihii,",5,,,,
"SBGh.015",neeneh'eihiinou'u;,6,,,,
"SBGh.015",heecet,7,,,,
"SBGh.015",noonotoowoo3i'.,8,,,,
"SBGh.016",wohei,1,,,,
"SBGh.016",hoonii,2,,,,
"SBGh.016",ceniineeci'.,3,,,,
"SBGh.017",he'ihbi'biibisi'eiteeno,1,,,,
"SBGh.017",nuhu',2,,,,
"SBGh.017",niiinono.,3,,,,
"SBGh.018",he'nii3ei'neetebineeci'.,1,,,,
"SBGh.019",hoowuuni,1,,,,
"SBGh.019","hoowuno'o3oubee,",2,,,,
"SBGh.019","hoowno'o3bii3ihino',",3,,,,
"SBGh.019",tohciino'o3ibii3ihiini3i'.,4,,,,
"SBGh.020",hoowuuni,1,,,,
"SBGh.020",hoowuni'eeniino';,2,,,,
"SBGh.021",hinee,1,,,,
"SBGh.021",hoowuni'wo'wuuhuno'.,2,,,,
"SBGh.022",nei'i'i'otou3enee3i'.,1,,,,
"SBGh.023",wohei,1,,,,
"SBGh.023",nehe',2,,,,
"SBGh.023",tei'ox,3,,,,
"SBGh.023",he'ih'iii.,4,,,,
"SBGh.024",“wohei,1,,,,
"SBGh.024","heetniini,",2,,,,
"SBGh.024",hiwoxuu,3,,,,
"SBGh.024",heetnotiihou'u.,4,,,,
"SBGh.025",cihceesitoni',1,,,,
"SBGh.025","seenook,",2,,,,
"SBGh.025",heenei'isiihi'.,3,,,,
"SBGh.026","heetniibenoo,",1,,,,
"SBGh.026",heetniini.,2,,,,
"SBGh.027",howoo,1,,,,
"SBGh.027",neetni'no'o'uuhuut,2,,,,
"SBGh.027",heenei'isiihi'.,3,,,,
"SBGh.028",he'iitnei'i,1,,,,
"SBGh.028",neebeh'etein.,2,,,,
"SBGh.029",heetnotiihou'u,1,,,,
"SBGh.029",'oh,2,,,,
"SBGh.029","hiwoxuu,",3,,,,
"SBGh.029",wo'ei3,4,,,,
"SBGh.029",toonheeseihi3i,5,,,,
"SBGh.029",cese'eihii.,6,,,,
"SBGh.030",neebehbii'iihoono'.”,1,,,,
"SBGh.031",ne'eeneise'enou'uheit:,1,,,,
"SBGh.031",houwo,2,,,,
"SBGh.031",heenei'isiihi',3,,,,
"SBGh.031",seenookuu,4,,,,
"SBGh.031",ni'eenP.,5,,,,
"SBGh.032",(teecxo',1,,,,
"SBGh.032",nuhu',2,,,,
"SBGh.032",seenookuu,3,,,,
"SBGh.032",nih'iibi'nii3ootee'eeni3i',4,,,,
"SBGh.032",notoyeicii.),5,,,,
"SBGh.033",wohei,1,,,,
"SBGh.033",nee'ehnoh'ouuhut.,2,,,,
"SBGh.034",he'ihbi'kohkno'oe,1,,,,
"SBGh.034",hihcebe',2,,,,
"SBGh.034",nuhu',3,,,,
