ref,word,num,dep,label,dep2,label2
"SBHand(w).001",he'ih'oowuniihiikohe',1,,,,
"SBHand(w).001",yiisiihi',2,,,,
"SBHand(w).001",sosoni'.,3,,,,
"SBHand(w).002",he'ihnouxonee,1,,,,
"SBHand(w).002",hinenno.,2,,,,
"SBHand(w).003",he'ihbixone'etiinino.,1,,,,
"SBHand(w).004",wohei,1,,,,
"SBHand(w).004",heeyou,2,,,,
"SBHand(w).004","heihtoustoobe,",3,,,,
"SBHand(w).004",heehehk,4,,,,
"SBHand(w).004",tei'ox.,5,,,,
"SBHand(w).005",huu3e',1,,,,
"SBHand(w).005",hinen,2,,,,
"SBHand(w).005",heebe3iihi',3,,,,
"SBHand(w).005",heentoot,4,,,,
"SBHand(w).005",benoheino'oowuu'.,5,,,,
"SBHand(w).006",niinoniniixouhut,1,,,,
"SBHand(w).006",niitoo3oo3o'ohoenei'eet.,2,,,,
"SBHand(w).007",ni'oowoo3itoot,1,,,,
"SBHand(w).007",neneeni',2,,,,
"SBHand(w).007",3owo3neniteeno.,3,,,,
"SBHand(w).008",hoowunoowuhee,1,,,,
"SBHand(w).008",nih'oo3ou'u.,2,,,,
"SBHand(w).009",wohei,1,,,,
"SBHand(w).009",howoh'oe.,2,,,,
"SBHand(w).010",teebe,1,,,,
"SBHand(w).010",heetnehnou'uukoheinoono',2,,,,
"SBHand(w).010",heehehk,3,,,,
"SBHand(w).010",tei'ox.,4,,,,
"SBHand(w).011",ne'ehnou'uukoheit.,1,,,,
"SBHand(w).012",he'ihtoukutooxebei,1,,,,
"SBHand(w).012",hinit,2,,,,
"SBHand(w).012",hee3e'eiteeni',3,,,,
"SBHand(w).012",benoheino'oowuu'.,4,,,,
"SBHand(w).013",ne'ehciiteit.,1,,,,
"SBHand(w).014",'oh,1,,,,
"SBHand(w).014",xonou,2,,,,
"SBHand(w).014",he'ihceciito'one',3,,,,
"SBHand(w).014",heebe3iinenin.,4,,,,
"SBHand(w).015",he'ihbe'bei3e'eeni'ein.,1,,,,
"SBHand(w).016",hee,1,,,,
"SBHand(w).016","neecee,",2,,,,
"SBHand(w).016",hee3eihok,3,,,,
"SBHand(w).016",nehe',4,,,,
"SBHand(w).016",bee'e'eini3.,5,,,,
"SBHand(w).017","hehnoniniixoo3etin,",1,,,,
"SBHand(w).017",heehehk,2,,,,
"SBHand(w).017",bee'e'eit.,3,,,,
"SBHand(w).018",wohei,1,,,,
"SBHand(w).018",neneeninoo,2,,,,
"SBHand(w).018","tei'ox,",3,,,,
"SBHand(w).018",hee3oohok,4,,,,
"SBHand(w).018",nehe',5,,,,
"SBHand(w).018",bee'e'eini3.,6,,,,
"SBHand(w).019",wohei,1,,,,
"SBHand(w).019",3iwoo,2,,,,
"SBHand(w).019",hee3ei'neetei'eihinoni,3,,,,
"SBHand(w).019",tei'ox.,4,,,,
"SBHand(w).020",nehe',1,,,,
"SBHand(w).020",bee'e'eit,2,,,,
"SBHand(w).020",woowotox,3,,,,
"SBHand(w).020","he'ihteetei'ihce,",4,,,,
"SBHand(w).020",noh,5,,,,
"SBHand(w).020",siihoowuni'seyou3ee3eine'.,6,,,,
"SBHand(w).021",wohei,1,,,,
"SBHand(w).021",tei'ox,2,,,,
"SBHand(w).021",he'ne'koxo'seyouno',3,,,,
"SBHand(w).021",hiicetiinin,4,,,,
"SBHand(w).021",nehe',5,,,,
"SBHand(w).021",bee'e'eini3.,6,,,,
"SBHand(w).022",he'ihtootooyeit,1,,,,
"SBHand(w).022",nehe',2,,,,
"SBHand(w).022",bee'e'eit.,3,,,,
"SBHand(w).023",heihii,1,,,,
"SBHand(w).023",he'ihxoo'oekuu,2,,,,
"SBHand(w).023",nehe',3,,,,
"SBHand(w).023",bee'e'eit.,4,,,,
"SBHand(w).024",he'ihnoo-no'ototeib,1,,,,
"SBHand(w).025",noh,1,,,,
"SBHand(w).025",siihe'ih'ee3nee3o'ohoenee;,2,,,,
"SBHand(w).026",be',1,,,,
"SBHand(w).026",he'ihbiibisii'oon.,2,,,,
"SBHand(w).027",neneeninoo,1,,,,
"SBHand(w).027","tei'ox,",2,,,,
"SBHand(w).027",hee3oohok,3,,,,
"SBHand(w).027",bee'e'eini3.,4,,,,
"SBHand(w).028",ne'no'o3noehit.,1,,,,
"SBHand(w).029",ne'cih'eehookoo3iikoheit.,1,,,,
"SBHand(w).030",he'ihbeexooxou'ei'oo.,1,,,,
"SBHand(w).031",he'ne'nih'iisno'o3ihoohok,1,,,,
"SBHand(w).031",bee'e'eini3,2,,,,
"SBHand(w).031",nehe',3,,,,
"SBHand(w).031",tei'ox.,4,,,,
