ref,word,num,dep,label,dep2,label2
"SBW(o).001",teecxo',1,,,,
"SBW(o).001",he'ih'iinoo3eeno',2,,,,
"SBW(o).001",ho3o'uunesiteen,3,,,,
"SBW(o).001",hinee,4,,,,
"SBW(o).001",bei'i'einiiciihehe',5,,,,
"SBW(o).001",ni'iitou'u.,6,,,,
"SBW(o).002",huut,1,,,,
"SBW(o).002",niiyou,2,,,,
"SBW(o).002",nuhu',3,,,,
"SBW(o).002",cee'iyeino'oowuu',4,,,,
"SBW(o).002",he'ih'iiP;,5,,,,
"SBW(o).003",he'ne'niitno'uxohoo3i',1,,,,
"SBW(o).003",ho3o'uunesitee[n],2,,,,
"SBW(o).003",tohuuwottonouhu3i',3,,,,
"SBW(o).003",hinee.,4,,,,
"SBW(o).004",wohei,1,,,,
"SBW(o).004",he'ihnoo3eeno',2,,,,
"SBW(o).004",hinee,3,,,,
"SBW(o).004",bei'i'einiiciihehe'.,4,,,,
"SBW(o).005",ho3o'uunesiteehotiiwo,1,,,,
"SBW(o).005",niiciinoo'onbeesei3ei'i.,2,,,,
"SBW(o).006",wohei,1,,,,
"SBW(o).006",ne'iini,2,,,,
"SBW(o).006",3ebiisnou'usee3i',3,,,,
"SBW(o).006",hi'in,4,,,,
"SBW(o).006",bei'i'einiiciihehe'.,5,,,,
"SBW(o).007",wohei,1,,,,
"SBW(o).007","ne'teexoono3ei3i',",2,,,,
"SBW(o).007",neeneisiini.,3,,,,
"SBW(o).008",wohei,1,,,,
"SBW(o).008",ne'icihce'P,2,,,,
"SBW(o).008",ce'ce3i3ou'usee3i',3,,,,
"SBW(o).008",cihnoxuuteiniihi',4,,,,
"SBW(o).008",cei3iihi'.,5,,,,
"SBW(o).009",noh,1,,,,
"SBW(o).009",hinit,2,,,,
"SBW(o).009","he'iitnei'i,",3,,,,
"SBW(o).009",hinit,4,,,,
"SBW(o).009",he'iitnei'i,5,,,,
"SBW(o).009",he'ihneei'iin.,6,,,,
"SBW(o).010",he'ne'iini,1,,,,
"SBW(o).010",hinowunoo'oot,2,,,,
"SBW(o).010",ceese',3,,,,
"SBW(o).010",hotii.,4,,,,
"SBW(o).011",he'ihkoxcis.,1,,,,
"SBW(o).012",'oh,1,,,,
"SBW(o).012",nuhu',2,,,,
"SBW(o).012",woxhoox[ebii],3,,,,
"SBW(o).012",he'ih'iicooniheeno'.,4,,,,
"SBW(o).013",he'ih'oo3oniini,1,,,,
"SBW(o).013",hoo3onci3eeno'.,2,,,,
"SBW(o).014","“wohei,”",1,,,,
"SBW(o).014",heehehk,2,,,,
"SBW(o).014",nehe',3,,,,
"SBW(o).014","tei'ox,",4,,,,
"SBW(o).014",“he'ii3P,5,,,,
"SBW(o).014",he'ii3P,6,,,,
"SBW(o).014",heebehnii3P,7,,,,
"SBW(o).014",nii3inoobe,8,,,,
"SBW(o).014",bei'ci3eiseenookuu.,9,,,,
"SBW(o).015",cihceesihe',1,,,,
"SBW(o).015",hinee,2,,,,
"SBW(o).015",woxhooxebii!,3,,,,
"SBW(o).016",heetneeciini,1,,,,
"SBW(o).016",huut,2,,,,
"SBW(o).016",noko3P,3,,,,
"SBW(o).016",heeteh3i'ookuuhoonee.,4,,,,
"SBW(o).017",heetneetitoo3iwo',1,,,,
"SBW(o).017",hinee,2,,,,
"SBW(o).017",hotii.”,3,,,,
"SBW(o).018",'oh,1,,,,
"SBW(o).018","hiihei3e',",2,,,,
"SBW(o).018",heniixoxoneet,3,,,,
"SBW(o).018",nuhu',4,,,,
"SBW(o).018",ho3o'uunesitee.,5,,,,
"SBW(o).019",niihei3e',1,,,,
"SBW(o).019",nehe',2,,,,
"SBW(o).019",ho3o'uunesitee.,3,,,,
"SBW(o).020",hiikoot,1,,,,
"SBW(o).020",beesei3ei'i,2,,,,
"SBW(o).020",nuhu',3,,,,
"SBW(o).020",hotiiwo.,4,,,,
"SBW(o).021",wohei,1,,,,
