ref,word,num,dep,label,dep2,label2
"SDOK.001","Hiiwoonihehe',",1,,,,
"SDOK.001",nuhu',2,,,,
"SDOK.001","tohbiice',",3,,,,
"SDOK.001",noowunono'eino',4,,,,
"SDOK.001",hootyoohu3i',5,,,,
"SDOK.001",hoseihoowu'.,6,,,,
"SDOK.002",Hinee,1,,,,
"SDOK.002","teecxo',",2,,,,
"SDOK.002",nih'iice'isoo'.,3,,,,
"SDOK.003",Beeh-iiyohou'.,1,,,,
"SDOK.004","Beh'eihoho',",1,,,,
"SDOK.004","hei'beeto'oo3i',",2,,,,
"SDOK.004",hooyei,3,,,,
"SDOK.004",nonoo3itootiini'.,4,,,,
"SDOK.005","nih'eeneiskookonoo'owutoobee3i',",1,,,,
"SDOK.006","Beebeniiinenno',",1,,,,
"SDOK.006",hiihoowoohbeebeteeeno'.,2,,,,
