ref,word,num,dep,label,dep2,label2
"SENT.001",Hini',1,,,,
"SENT.001",heneeceine3,2,,,,
"SENT.001",nihcoontebeinoo.,3,,,,
"SENT.002",Hini',1,,,,
"SENT.002",woxhoox,2,,,,
"SENT.002",nihtokooxuuseet,3,,,,
"SENT.002",boone'.,4,,,,
"SENT.003",Nih'eete3eino',1,,,,
"SENT.003",wookec,2,,,,
"SENT.003",hi'iihi',3,,,,
"SENT.003",nototii.,4,,,,
"SENT.004",Heetniinoo'ei3o',1,,,,
"SENT.004",bexookee,2,,,,
"SENT.004",nuhu',3,,,,
"SENT.004",hoxobetiini'.,4,,,,
"SENT.005",Hini',1,,,,
"SENT.005",hiwoxuu,2,,,,
"SENT.005",teebe,3,,,,
"SENT.005",nih'iicesisniiniitouuhut.,4,,,,
"SENT.006",Hinee,1,,,,
"SENT.006",nisice,2,,,,
"SENT.006",hetneihoowtoo'uhce.,3,,,,
"SENT.007",Hini',1,,,,
"SENT.007",beniixohko'o',2,,,,
"SENT.007",kookiyon,3,,,,
"SENT.007",niibii3i',4,,,,
"SENT.007",heeyouhuu.,5,,,,
"SENT.008",Hini',1,,,,
"SENT.008",coo3oni',2,,,,
"SENT.008",honoonoxonkoxcei'it.,3,,,,
"SENT.009",Hini',1,,,,
"SENT.009",nouu,2,,,,
"SENT.009",noh,3,,,,
"SENT.009",hisi',4,,,,
"SENT.009",nihnonouhti3i'.,5,,,,
"SENT.010",Hini',1,,,,
"SENT.010",wo'ooo,2,,,,
"SENT.010",nih'iisiitenoot,3,,,,
"SENT.010",hookuu.,4,,,,
"SENT.011",Hini',1,,,,
"SENT.011",honoh'oe,2,,,,
"SENT.011",nihnonouhtiiwoot,3,,,,
"SENT.011",koo'ohwuun.,4,,,,
"SENT.012",Hini',1,,,,
"SENT.012",hoteineco'eihii,2,,,,
"SENT.012",nihnoh'ouubeinoo.,3,,,,
"SENT.013",Teebe,1,,,,
"SENT.013",ne'noohowoot,2,,,,
"SENT.013",hee3eihini3,3,,,,
"SENT.013",heenisono'oneni3.,4,,,,
"SENT.014",Niibeetohwonnoohowoot,1,,,,
"SENT.014",hini',2,,,,
"SENT.014",honookowuubeeni3i.,3,,,,
"SENT.015",Teecxo',1,,,,
"SENT.015",Hinono'eino',2,,,,
"SENT.015",nih'iinoo'ei3oo3i',3,,,,
"SENT.015",Heniitonookuteeni3i.,4,,,,
"SENT.016",Hini'iit,1,,,,
"SENT.016",heete'i'eiit,2,,,,
"SENT.016",niino'ototooto',3,,,,
"SENT.016",hiiniinsooni'i.,4,,,,
"SENT.017",Bih'ihiinoseino',1,,,,
"SENT.017",siinee3neeni'iiceto',2,,,,
"SENT.017",nesi.,3,,,,
"SENT.018",Hete3ebiib,1,,,,
"SENT.018",henee3neeseseihit.,2,,,,
"SENT.019",Hini',1,,,,
"SENT.019",coo'otoooyo',2,,,,
"SENT.019",nee3neeniihonokooyeit.,3,,,,
"SENT.020",Beexoni'i,1,,,,
"SENT.020",nee3neeni'iicowoo3i',2,,,,
"SENT.020",hoo3oo'o'.,3,,,,
"SENT.021",Niini'ootnooto',1,,,,
"SENT.021",hooxeihiineniinootno.,2,,,,
"SENT.022",Hini',1,,,,
"SENT.022",no'ouh,2,,,,
"SENT.022",niini'iiceto',3,,,,
"SENT.022",niiko'owuni'i.,4,,,,
"SENT.023",Niinoonoyoo3oot,1,,,,
"SENT.023",hebesii,2,,,,
"SENT.023",nesi.,3,,,,
"SENT.024",Niino'otouh'u'u,1,,,,
"SENT.024",No'eihi',2,,,,
"SENT.024",biisbiixuutono.,3,,,,
"SENT.025",Nebesiibehe',1,,,,
"SENT.025",nihce3oot,2,,,,
"SENT.025",hiixoxohuhu'.,3,,,,
"SENT.026",Nihtooneete3eino',1,,,,
"SENT.026",hini',2,,,,
"SENT.026",xouu.,3,,,,
"SENT.027",Heetniicobo',1,,,,
"SENT.027",hoo,2,,,,
"SENT.027",heetihi'niistoonoo,3,,,,
"SENT.027",beniiihi'[***vii.pass?],4,,,,
"SENT.027",hou.,5,,,,
"SENT.028",Nete3ebiib,1,,,,
"SENT.028",nih'iisiitenoot,2,,,,
"SENT.028",hini',3,,,,
"SENT.028",woh'ooo'.,4,,,,
"SENT.029",Teecxo',1,,,,
"SENT.029",nih'iiwoo3ee3i',2,,,,
"SENT.029",to'uu3eebexookeeno'.,3,,,,
"SENT.030",Tihwooneihinoo,1,,,,
"SENT.030",nih'iitonih'inoo,2,,,,
"SENT.030",xoxooyoni'.,3,,,,
"SENT.031",Heebehtounoo,1,,,,
"SENT.031",nouuciitoo3eihii,2,,,,
"SENT.031",heetni'eenesbeen.,3,,,,
"SENT.032",Hini',1,,,,
"SENT.032",beniisinouhu3i',2,,,,
"SENT.032",niinoo'ei3oo3i',3,,,,
"SENT.032",nookoxuu.,4,,,,
"SENT.033",Nuhu',1,,,,
"SENT.033",yeiyono',2,,,,
"SENT.033",hiniitoyeic[iin]inoo,3,,,,
"SENT.033",nih'iiniiseni'i,4,,,,
"SENT.033",nii3ootee'eeno.,5,,,,
"SENT.034",Hini',1,,,,
"SENT.034",tei3bih'ihoox,2,,,,
"SENT.034",noosouneseihit.,3,,,,
"SENT.035",Hini',1,,,,
"SENT.035",hiseihonehe',2,,,,
"SENT.035",hiniitoyeic,3,,,,
"SENT.035",henee3neenoh'okuso'ooni'.,4,,,,
"SENT.036",Hini'iit,1,,,,
"SENT.036",heebetookuuhuuho',2,,,,
"SENT.036",heneeneebe3se'tee3i'.,3,,,,
"SENT.037",Hini',1,,,,
"SENT.037",3ouuyoteebexookee,2,,,,
"SENT.037",nihnoho'tokohut,3,,,,
"SENT.037",hohootin.,4,,,,
"SENT.038",Nuhu',1,,,,
"SENT.038",kokiyotei'inoseino',2,,,,
"SENT.038",niini'coo',3,,,,
"SENT.038",ne'nii3i'.,4,,,,
"SENT.039",Hini',1,,,,
"SENT.039",hinenihii,2,,,,
"SENT.039","nih'esnoneenoo'oot,",3,,,,
"SENT.039",ne'yih'oonei'eet.,4,,,,
"SENT.040",Nuh'uuno,1,,,,
"SENT.040",hetoxooneihiiho',2,,,,
"SENT.040",kookon,3,,,,
"SENT.040",heeyouhuu,4,,,,
"SENT.040",niibii3i'i.,5,,,,
