ref,word,num,dep,label,dep2,label2
"SHEL.001",Hinee,1,,,,
"SHEL.001",ho'oowu',2,,,,
"SHEL.001",niicou'u3ootiini',3,,,,
"SHEL.001",nii3i'.,4,,,,
"SHEL.002",Hetei'towuunoo,1,,,,
"SHEL.002",heetih3owoteno',2,,,,
"SHEL.002",hini',3,,,,
"SHEL.002",niiinon.,4,,,,
"SHEL.003",Heetniisitono',1,,,,
"SHEL.003",toukoohoe.,2,,,,
"SHEL.004",Hini',1,,,,
"SHEL.004",wox,2,,,,
"SHEL.004",nih'e3ebciiteit,3,,,,
"SHEL.004",hinee,4,,,,
"SHEL.004",ceniitouute'.,5,,,,
"SHEL.005",Wonoo3ee3i',1,,,,
"SHEL.005",niiniihencebkoohu3i',2,,,,
"SHEL.005",hii3e',3,,,,
"SHEL.005",hini',4,,,,
"SHEL.005",neyei3eino'oowuu'.,5,,,,
"SHEL.006",Hinee,1,,,,
"SHEL.006",notoniheino'oowu',2,,,,
"SHEL.006",konoutootee'.,3,,,,
"SHEL.007",Hinee,1,,,,
"SHEL.007",tono'wuuhoe,2,,,,
"SHEL.007",niibiscii3tokohu3i',3,,,,
"SHEL.007",neyooxet,4,,,,
"SHEL.007",nonoohowoonoo3i.,5,,,,
"SHEL.008",Nih'oo3oo,1,,,,
"SHEL.008",xonou,2,,,,
"SHEL.008",nih'iiniistiit,3,,,,
"SHEL.008",beiines,4,,,,
"SHEL.008",hookoh,5,,,,
"SHEL.008",nih'entoo3i',6,,,,
"SHEL.008",3owo3neniteeno'.,7,,,,
"SHEL.009",Hoono',1,,,,
"SHEL.009",tihciini,2,,,,
"SHEL.009","niiinono,",3,,,,
"SHEL.009",co'oeyoo,4,,,,
"SHEL.009",nih'iinee'eetiine'etii3i',5,,,,
"SHEL.009",hinono'eino'.,6,,,,
"SHEL.010",Nihbeetetee',1,,,,
"SHEL.010",hini',2,,,,
"SHEL.010",woxhooxuuno'oowu'.,3,,,,
"SHEL.011",Hini',1,,,,
"SHEL.011",cebtokoy,2,,,,
"SHEL.011",nih'oneese'.,3,,,,
"SHEL.012",Woxtoohuuho',1,,,,
"SHEL.012",nii3eiinee3i',2,,,,
"SHEL.012",toukuhuuno'oowuu'.,3,,,,
"SHEL.013",Cese'eihiiho',1,,,,
"SHEL.013",neeyeici',2,,,,
"SHEL.013",ne'niitoh'oonoyeisi'i.,3,,,,
"SHEL.014",Hini',1,,,,
