ref,word,num,dep,label,dep2,label2
"Sam.001",hii-hoow-beet-ceh'e3P,1,,,,
"Sam.001","ceh'e3tii-no',",2,,,,
"Sam.002",wo'ei3,1,,,,
"Sam.002",hii-hoow-beet-ceh'e3ih-eeno',2,,,,
"Sam.002",nenitee-no.,3,,,,
"Sam.003",Nenee3i'…,1,,,,
"Sam.004",nenee3i',1,,,,
"Sam.004",nii-bisee'inou'u.,2,,,,
"Sam.005",nuhu',1,,,,
"Sam.005",nuhu',2,,,,
"Sam.005",nenii3inoot,3,,,,
"Sam.005",nuhu',4,,,,
"Sam.005","hiico'on,",5,,,,
"Sam.005",niibisee'ino'.,6,,,,
"Sam.006",Woow,1,,,,
"Sam.006",cei'soo'.,2,,,,
"Sam.007",'oh,1,,,,
"Sam.007","hoowuuni,",2,,,,
"Sam.007",hoowucei'soo.,3,,,,
"Sam.008",Howoo,1,,,,
"Sam.008","neneeninoo,",2,,,,
"Sam.008",hinono'ei,3,,,,
"Sam.008",neneeninoo.,4,,,,
"Sam.009","neetneihoowP,",1,,,,
"Sam.009",neetP,2,,,,
"Sam.010","hini',",1,,,,
"Sam.010","tih'iiit,",2,,,,
"Sam.010",heetP,3,,,,
"Sam.010",woow,4,,,,
"Sam.010","cei'soo',",5,,,,
"Sam.010",nuhu',6,,,,
"Sam.010","today,",7,,,,
"Sam.011",hiiwoonhehe',1,,,,
"Sam.011",cei'soo'.,2,,,,
"Sam.012","Nih’eeneito',",1,,,,
"Sam.013",'oh,1,,,,
"Sam.013",hoowuuni.,2,,,,
"Sam.014",nuhu',1,,,,
"Sam.014","nono'eino',",2,,,,
"Sam.014",hetousce'eseihino'?,3,,,,
"Sam.015","keetnih'oo3ounino',",1,,,,
"Sam.016",wo'ei3,1,,,,
"Sam.016","keetwo'oteeyoono',",2,,,,
"Sam.017",wo'ei3,1,,,,
"Sam.017","he'iisiiP,",2,,,,
"Sam.017","he'iiP,",3,,,,
"Sam.017",he'ii3eenihii3i,4,,,,
"Sam.017",nuhu',5,,,,
"Sam.017",heetcei'soo',6,,,,
"Sam.017","woow,",7,,,,
"Sam.017",heenei'isiihi',8,,,,
"Sam.018",Wo'ei3,1,,,,
"Sam.018",nuhu',2,,,,
"Sam.018","nih'eeneito',",3,,,,
"Sam.019",'oh,1,,,,
"Sam.019",hoowuuni.,2,,,,
"Sam.020",hoowuunee'eesoo.,1,,,,
"Sam.021","HeetniiP,",1,,,,
"Sam.021",neneeninoo,2,,,,
"Sam.021",nono'ei.,3,,,,
"Sam.022","Ne'nih'iisiniit,",1,,,,
"Sam.022",beebeet,2,,,,
"Sam.022",Nelson,3,,,,
"Sam.022",White.,4,,,,
"Sam.023",Woow,1,,,,
"Sam.023",cei'soo',2,,,,
"Sam.023",hiiwoonhehe'.,3,,,,
