ref,word,num,dep,label,dep2,label2
"SandCr.001",Wonoo3ei'i,1,,,,
"SandCr.001",ceciniihi',2,,,,
"SandCr.001",coowoo'ou'u.,3,,,,
"SandCr.002",Noosouneentou',1,,,,
"SandCr.002",biito'owu'.,2,,,,
"SandCr.003",Nih'iine'etiino',1,,,,
"SandCr.003",hiitiino.,2,,,,
"SandCr.004",Neito'eininoo,1,,,,
"SandCr.004",nih'iine'etii3i',2,,,,
"SandCr.004",hiitiino.,3,,,,
"SandCr.005",Nuhu',1,,,,
"SandCr.005","biito'owu',",2,,,,
"SandCr.005",neyeih'inoo;,3,,,,
"SandCr.006",Cee'no'eeckoohuno'.,1,,,,
