ref,word,num,dep,label,dep2,label2
"SatB.001",nih'iisoo',1,,,,
"SatB.001","huune'etiit,",2,,,,
"SatB.001",heeneisiine'etiiwoohu3i',3,,,,
"SatB.001",heenei'isiihi'.,4,,,,
"SatB.002",nehe',1,,,,
"SatB.002","hecexonoh'oe,",2,,,,
"SatB.002",nehe',3,,,,
"SatB.002",hisei,4,,,,
"SatB.002",teebe,5,,,,
"SatB.002",he'ih'iisniiseekuuno'.,6,,,,
"SatB.003",nooh'useet,1,,,,
"SatB.003","hoh'eni',",2,,,,
"SatB.003",hinit,3,,,,
"SatB.003",ni'eci'.,4,,,,
"SatB.004",he'ne'noonoyeit.,1,,,,
"SatB.005",he'ih3i'ok;,1,,,,
"SatB.006",hoh'onookeen,1,,,,
"SatB.006",he'ihtees3i'ok.,2,,,,
"SatB.007",he'ih'ou3e3ei'i.,1,,,,
"SatB.008","he'ih'ii3i'ok,",1,,,,
"SatB.008",he'ih'iicoo.,2,,,,
"SatB.009",hoowoe'in,1,,,,
"SatB.009",wox,2,,,,
"SatB.009",he'ihcihno'useen.,3,,,,
"SatB.010","ceeciisiitene',",1,,,,
"SatB.010",nenei'eneit.,2,,,,
"SatB.011",wohei,1,,,,
"SatB.011",ne'nei'P;,2,,,,
"SatB.012",hoowuni'noh'oowuhce.,1,,,,
"SatB.013",nenei'eneit.,1,,,,
"SatB.014",“wohei,1,,,,
"SatB.014","ne'etniistoonooni,”",2,,,,
"SatB.014",heehehk,3,,,,
"SatB.014",nehe',4,,,,
"SatB.014",hinen.,5,,,,
"SatB.015",heniiP,1,,,,
"SatB.015",ne'ehkoxo'uuntohoe'et.,2,,,,
"SatB.016",ne'hoonii,1,,,,
"SatB.016",he'ih3ebiisiintohoe'e,2,,,,
"SatB.017",ne'iiteno',1,,,,
"SatB.017","hinii3oonin,",2,,,,
"SatB.017",ne'nih'kuu3oot.,3,,,,
"SatB.018",toonnehe',1,,,,
"SatB.018",wox,2,,,,
"SatB.018","hei'ciitouubeihit,",3,,,,
"SatB.018",ne'kooko'uhce.,4,,,,
"SatB.019",ne'nii'ciinkuu3eit.,1,,,,
"SatB.020","hei'ciinkuu3eit,",1,,,,
"SatB.020",nehe',2,,,,
"SatB.020","hinen,",3,,,,
"SatB.020","he'ihkoheisihce,",4,,,,
"SatB.020",ne'cesisihcehit.,5,,,,
"SatB.021",wohei,1,,,,
"SatB.021",hinit,2,,,,
"SatB.021","heetco'otoyoo',",3,,,,
"SatB.021",3ebiisnoh'koohut.,4,,,,
"SatB.022",ne'ce'e'einit.,1,,,,
"SatB.023",'oh,1,,,,
"SatB.023",hini',2,,,,
"SatB.023",wox,3,,,,
"SatB.023",he'ih'iice'iini,4,,,,
"SatB.023",he'ih'iice'nee'ee3soh'owuune'.,5,,,,
"SatB.024",“cihce'isee!,1,,,,
"SatB.025",cihce'isee!”,1,,,,
"SatB.026",noh,1,,,,
"SatB.026",ne'nih'iisiixowootonoohok,2,,,,
"SatB.026",nehe',3,,,,
"SatB.026",wox.,4,,,,
