ref,word,num,dep,label,dep2,label2
"School2.001",Hoonoyoohowun,1,,,,
"School2.001",neyei3einotii.,2,,,,
"School2.002",Ciibehnonih'i,1,,,,
"School2.002",heeyouhuu.,2,,,,
"School2.003",Heteiitooneih,1,,,,
"School2.003",neyei3eino'oowuu'.,2,,,,
"School2.004",Tootouno,1,,,,
"School2.004",howo3onohoeno?,2,,,,
"School2.005",Hetoonoyoohowoo,1,,,,
"School2.005",heehebehe'.,2,,,,
"School2.006",Ciibehno'o3ikowuutonin,1,,,,
"School2.006",heineyei3eiheiit.,2,,,,
"School2.007",Hiixouuwootei.,1,,,,
"School2.008",Wontoyoohowun,1,,,,
"School2.008",neyei3einotii.,2,,,,
"School2.009",Ciito'oo,1,,,,
"School2.009",hotookoubiixuut.,2,,,,
"School2.010",Ciibeh'iitisee,1,,,,
"School2.010",woxesi(i)'.,2,,,,
"School2.011",Hiiyoo3itii,1,,,,
"School2.011",heteixo'ono.,2,,,,
"School2.012",Hetoonoyoohowoono',1,,,,
"School2.012",niiniihencebkoohu3i'.,2,,,,
