ref,word,num,dep,label,dep2,label2
"Scout.001",teecxo',1,,,,
"Scout.001",ko3einiini,2,,,,
"Scout.001",hi'in,3,,,,
"Scout.001","nono'ei,",4,,,,
"Scout.001",hi'in,5,,,,
"Scout.001",tih'iibeebeteesibi3i'.,6,,,,
"Scout.002",hiit,1,,,,
"Scout.002","3ebiisiihi',",2,,,,
"Scout.002",niiyou,3,,,,
"Scout.002",nuhu',4,,,,
"Scout.002","heetcihcowouute',",5,,,,
"Scout.002",hinee,6,,,,
"Scout.002",Beaver,7,,,,
"Scout.002",Rim,8,,,,
"Scout.002",hiisoho';,9,,,,
"Scout.003",heetoh-'entou-',1,,,,
"Scout.003",hi'in,2,,,,
"Scout.003",nihii,3,,,,
"Scout.003",hoxtoono'ouni',4,,,,
"Scout.003",co'ouute'.,5,,,,
"Scout.004",co'ouute'.,1,,,,
"Scout.005",hi'in,1,,,,
"Scout.005",nenee'.,2,,,,
"Scout.006",nehe',1,,,,
"Scout.006",hinen,2,,,,
"Scout.006","nono'ei,",3,,,,
"Scout.006",nono'ei,4,,,,
"Scout.006",he'iisii3P,5,,,,
"Scout.006",nihii,6,,,,
"Scout.006","notikoni[ni]3i,",7,,,,
"Scout.006",notikoni3i.,8,,,,
"Scout.007",3ebnoohobee,1,,,,
"Scout.007",beniiinenno,2,,,,
"Scout.007",huut,3,,,,
"Scout.007",3ebiisiihi',4,,,,
"Scout.007",Lander,5,,,,
"Scout.007","howoh'oowuu',",6,,,,
"Scout.007",3ebiihi',7,,,,
"Scout.007",3eboowuniihiihi',8,,,,
"Scout.007",hiit,9,,,,
"Scout.007",he'iitnei'i.,10,,,,
"Scout.008",he'ih'ini,1,,,,
"Scout.008",...,2,,,,
"Scout.008",he'ih'iisiisihco'ootonei3i.,3,,,,
"Scout.009",nih'eeneiP,1,,,,
"Scout.009",hiibineeniihi'.,2,,,,
"Scout.010",ne'oonoyoohowoo3i'.,1,,,,
"Scout.011",he'ii3ooni'i,1,,,,
"Scout.011",nooxeihi',2,,,,
"Scout.011",nih'iibeetoh'uni,3,,,,
"Scout.011",nohkceihiinP,4,,,,
"Scout.011",cesiikuhneet,5,,,,
"Scout.011",woxhooxebii.,6,,,,
"Scout.012",hi'in,1,,,,
"Scout.012","niisoo',",2,,,,
"Scout.012",hinee,3,,,,
"Scout.012","heetne'ino',",4,,,,
"Scout.012",wonP,5,,,,
"Scout.012",beniiinenno,6,,,,
"Scout.012",hiihooweso'oonino.,7,,,,
"Scout.013",beexo'uuhu',1,,,,
"Scout.013",heebetooxebii.,2,,,,
"Scout.014",wohei,1,,,,
"Scout.014",he'ih'iisiisihco'ootonei3i,2,,,,
"Scout.014","nuhu',",3,,,,
"Scout.014","nuhu',",4,,,,
"Scout.014",tohniixookuuneet;,5,,,,
"Scout.015",niixoo,1,,,,
"Scout.015",scout,2,,,,
"Scout.015",hini'iit,3,,,,
"Scout.015",notkoniinenno'.,4,,,,
"Scout.016",wohei,1,,,,
"Scout.016",ne'icihneenoohobeit.,2,,,,
"Scout.017",wohei,1,,,,
"Scout.017",ne'niiniitouuhuni3i,2,,,,
"Scout.017",hini'iit,3,,,,
"Scout.017",niitou3oono.,4,,,,
"Scout.018",ne'cihyihooneit.,1,,,,
"Scout.019",he'ne'ce3ikohoot:,1,,,,
"Scout.020",3ebooniiniihi',1,,,,
"Scout.020",niih-iihi',2,,,,
"Scout.020",hinee,3,,,,
"Scout.020","hoh'eni',",4,,,,
"Scout.020",hinee,5,,,,
"Scout.020",Sanddraw,6,,,,
"Scout.020",heetou'.,7,,,,
"Scout.021",hi'in,1,,,,
"Scout.021",niihiihi',2,,,,
"Scout.021",hinit,3,,,,
"Scout.021","he'iitnei'i,",4,,,,
"Scout.021",hooxtoono'ouni';,5,,,,
"Scout.022",howoo,1,,,,
"Scout.022",ne'iitP,2,,,,
"Scout.022","nee'eehkuhneet,",3,,,,
"Scout.022",nee'eehkuhneet.,4,,,,
"Scout.023",'oh,1,,,,
"Scout.023",nuh'uuno,2,,,,
"Scout.023",nihii,3,,,,
"Scout.023",tih'iinii3inou'u,4,,,,
"Scout.023",tih'iibetee3i'.,5,,,,
"Scout.024",wohei,1,,,,
"Scout.024",nehe'nih'iisiini,2,,,,
"Scout.024",nohkuuhu',3,,,,
"Scout.024",hitoniho'.,4,,,,
"Scout.025",noh,1,,,,
"Scout.025","ceniisiini,",2,,,,
"Scout.025",noosouniini,3,,,,
"Scout.025",yihooneit,4,,,,
"Scout.025",nuhu',5,,,,
"Scout.025",beniiinenno.,6,,,,
"Scout.026",hoowuhcehit.,1,,,,
"Scout.027",ne'niiniisihkuu3oot,1,,,,
"Scout.027",hitoniho',2,,,,
"Scout.027",hi'iihi',3,,,,
"Scout.027",biito'owu'.,4,,,,
"Scout.028",wohei,1,,,,
"Scout.028",ne'ce'teesihcehit.,2,,,,
"Scout.029",noh,1,,,,
"Scout.029",woow,2,,,,
"Scout.029",wohei,3,,,,
"Scout.029",heeyeihno'neetiini3i;,4,,,,
"Scout.030",ne'ce'ce3ikohoot,1,,,,
"Scout.030",'oh,2,,,,
"Scout.030",hooxtoono'ouni'.,3,,,,
"Scout.031",noh,1,,,,
"Scout.031",hei'P,2,,,,
"Scout.031","hiisoho',",3,,,,
"Scout.031","nih'iitono'oneit,",4,,,,
"Scout.031",hoo3oo'o',5,,,,
"Scout.031",heetniixoxo'oneit.,6,,,,
"Scout.032",wohei,1,,,,
"Scout.032",ne'iini,2,,,,
"Scout.032","tou'kuu3ei'it,",3,,,,
"Scout.032",ce'iineeniihi'.,4,,,,
"Scout.033",coo'otoyouhu',1,,,,
"Scout.033",beenhehe',2,,,,
"Scout.033",hini',3,,,,
"Scout.033",hinit.,4,,,,
"Scout.034",wohei,1,,,,
"Scout.034","he'ne'co'otoyouhu',",2,,,,
"Scout.034",he'nee'eettou'kuu3ei'it,3,,,,
"Scout.034",hitoniho'.,4,,,,
"Scout.035","ne'xoo'oekuu'ooni3,",1,,,,
"Scout.035",ce'ceno'ooni3,2,,,,
"Scout.035",ce'iihi',3,,,,
"Scout.035",nuhu',4,,,,
"Scout.035",heetoxtoono'ouni'.,5,,,,
"Scout.036",siiyonii',1,,,,
"Scout.036",3ebiihi';,2,,,,
"Scout.037",noxowno'uhcehit;,1,,,,
"Scout.038",'oh,1,,,,
"Scout.038",beebeet,2,,,,
"Scout.038",nehe',3,,,,
"Scout.038",woxhoox,4,,,,
"Scout.038",noh'ohuuhu',5,,,,
"Scout.038",nuhu',6,,,,
"Scout.038","siiyonii',",7,,,,
"Scout.038","hoxtoono'uu,",8,,,,
"Scout.038",howoo,9,,,,
"Scout.038",kox3i'.,10,,,,
"Scout.039",ce'nei'ooku'oot;,1,,,,
"Scout.040",'oh,1,,,,
"Scout.040",he'ihbeisno'uhcehiitoon.,2,,,,
"Scout.041",'oh,1,,,,
"Scout.041",he'ih'iineyei3itoono',2,,,,
"Scout.041","noh'P,",3,,,,
"Scout.041",hoowuuni.,4,,,,
"Scout.042",woxhooxebii,1,,,,
"Scout.042",he'ih'ii'inouhetino',2,,,,
"Scout.042",hinit.,3,,,,
"Scout.043","hoowuuni,",1,,,,
"Scout.043",hoowuni'cihnoh'uhcehino',2,,,,
"Scout.043",nih'iistooni3,3,,,,
"Scout.043",hitoniho'.,4,,,,
"Scout.044",tihceceeco'ohuuniini,1,,,,
"Scout.044",hini',2,,,,
"Scout.044","nee'eesP,",3,,,,
"Scout.044",tihbeteeniini;,4,,,,
"Scout.045","noh,",1,,,,
"Scout.045",'oh,2,,,,
"Scout.045",nehe',3,,,,
"Scout.045",woxhoox,4,,,,
"Scout.045",nee'ee3ouuwutiit,5,,,,
"Scout.046",bi'P,1,,,,
"Scout.046",...nooxeihi',2,,,,
"Scout.046",nih'e'ino'.,3,,,,
"Scout.047",noh,1,,,,
"Scout.047",nihnoh'nihi'koohut,2,,,,
"Scout.047",nuhu',3,,,,
"Scout.047",hoxtoono'uu.,4,,,,
"Scout.048",nenee':,1,,,,
"Scout.049",ne'noh'koohut,1,,,,
"Scout.049",nehe',2,,,,
"Scout.049",nihii,3,,,,
"Scout.049","woxhoox,",4,,,,
"Scout.049",3ebiixouuhut.,5,,,,
"Scout.050",kooxne'ce'iihciceno'oot;,1,,,,
"Scout.051",'oh,1,,,,
"Scout.051",3ebiihi',2,,,,
"Scout.051",ne'cesisihcehit.,3,,,,
"Scout.052",hi'in,1,,,,
"Scout.052",nenee'.,2,,,,
"Scout.053",wohei,1,,,,
"Scout.053",nuhu',2,,,,
"Scout.053",hoo3oo'o',3,,,,
"Scout.053",beniiinenno',4,,,,
"Scout.053",'oh,5,,,,
"Scout.053",siihe'ihP...,6,,,,
"Scout.054",kookon,1,,,,
"Scout.054",siihe'ihP,2,,,,
"Scout.054",hoowuuni.,3,,,,
"Scout.055","ceniixootee',",1,,,,
"Scout.055",hi'in,2,,,,
"Scout.055","hooyeiniihi',",3,,,,
"Scout.055",3ebiihi',4,,,,
"Scout.055",honoot,5,,,,
"Scout.055",3ebno'uuhu',6,,,,
"Scout.055",Powder,7,,,,
"Scout.055",River.,8,,,,
"Scout.056",nehe'nih'eeneisiini.,1,,,,
"Scout.057",nohuusoho'.,1,,,,
