ref,word,num,dep,label,dep2,label2
"Season.001",ceciniihi'.,1,,,,
"Season.002",ceeciini'i,1,,,,
"Season.002",niitoyo3oo',2,,,,
"Season.002",noh,3,,,,
"Season.002",niibeeci'.,4,,,,
"Season.003",heeseisei'i,1,,,,
"Season.003",noh,2,,,,
"Season.003","heniinono'eti'i,",3,,,,
"Season.003",niibisni'ote',4,,,,
"Season.003",heeyouhuu.,5,,,,
"Season.004",niice'iisiiyoo',1,,,,
"Season.004",hiisiis,2,,,,
"Season.004",biisisee3i.,3,,,,
"Season.005",Benii'owu'.,1,,,,
"Season.006","beenii'owuuni'i,",1,,,,
"Season.006",niite'ci'oot,2,,,,
"Season.006",hiii,3,,,,
"Season.006",noh,4,,,,
"Season.006",niice'iisiinoo'oo'.,5,,,,
"Season.007","hookuuneese'ehk,",1,,,,
"Season.007",ni'iiwo'owte'ci'oot,2,,,,
"Season.007",hiii.,3,,,,
"Season.008",hohootno',1,,,,
"Season.008",ne'nii'kou'koehi3i',2,,,,
"Season.008",noh,3,,,,
"Season.008",woxu',4,,,,
"Season.008",noh,5,,,,
"Season.008",cee'ese'einou'u,6,,,,
"Season.008",ne'nii'cesisiii'ou'u.,7,,,,
"Season.009",Beniice'.,1,,,,
"Season.010","beniicei'i,",1,,,,
"Season.010",hooyei,2,,,,
"Season.010",bisiii'ootno,3,,,,
"Season.010",niibiskou'kooti'i.,4,,,,
"Season.011",hoosoot,1,,,,
"Season.011",ni'iibisiii'oo',2,,,,
"Season.011",heeyouhuu.,3,,,,
"Season.012",hoosoot,1,,,,
"Season.012",niice'woohoninoo'oo',2,,,,
"Season.012",niiciihoho,3,,,,
"Season.012",noh,4,,,,
"Season.012",ni'ecii.,5,,,,
"Season.013",Tooyouni'.,1,,,,
"Season.014","tooyouni'i,",1,,,,
"Season.014",niinihoonkooti'i,2,,,,
"Season.014",biiciixo,3,,,,
"Season.014",noh,4,,,,
"Season.014",niicensei'i.,5,,,,
"Season.015",hiisi'i,1,,,,
"Season.015",ne'niitoyoowoo'ou'u.,2,,,,
"Season.016",heeyeice'no'xoo',1,,,,
"Season.016",ceciniihi'.,2,,,,
