ref,word,num,dep,label,dep2,label2
"SecTh.001",Nuhu',1,,,,
"SecTh.001","hoo3itoo,",2,,,,
"SecTh.001","niiskokoh'u3ecoot,",3,,,,
"SecTh.001",nee'eesih'iinoo'.,4,,,,
"SecTh.002","Toot[on]ouneihiinou'u,",1,,,,
"SecTh.002",niiskokoh'u3ecoo.,2,,,,
"SecTh.003","Wothi3etehk,",1,,,,
"SecTh.003",hoowukocoo'o3ihetiitoon.,2,,,,
"SecTh.004",Nehe',1,,,,
"SecTh.004",honoh'oe,2,,,,
"SecTh.004",noh,3,,,,
"SecTh.004",nehe',4,,,,
"SecTh.004",hisei,5,,,,
"SecTh.004",he'ihniiseekuuno'.,6,,,,
"SecTh.005",Heetniine'etiiwoohu3i'.,1,,,,
"SecTh.006",hiiyeih'i3i'.,1,,,,
"SecTh.007",heeneeneitonih'i3i',1,,,,
"SecTh.007","woxhooxebii,",2,,,,
"SecTh.007","wookecii,",3,,,,
"SecTh.007","nih'oo3ounii'ehiiho',",4,,,,
"SecTh.007",heenei'isiihi'.,5,,,,
"SecTh.008",Howoo,1,,,,
"SecTh.008",ciineyoono.,2,,,,
"SecTh.009",Hooweesneeno'.,1,,,,
"SecTh.010",'oh,1,,,,
"SecTh.010",nuhu',2,,,,
"SecTh.010","bei'ci3ei'i,",3,,,,
"SecTh.010",'oh,4,,,,
"SecTh.010",hoowuuni.,5,,,,
"SecTh.011",Hoowuuni,1,,,,
"SecTh.011",niisi3ooo,2,,,,
"SecTh.011",nuhu',3,,,,
"SecTh.011",heetoo3i'.,4,,,,
"SecTh.012",Too3iihi',1,,,,
"SecTh.012",hoowuuni.,2,,,,
"SecTh.013",Hoonoo3onisi',1,,,,
"SecTh.013",nehe',2,,,,
"SecTh.013",honoh'oe.,3,,,,
"SecTh.013",???,4,,,,
"SecTh.014",Niisi3oot,1,,,,
"SecTh.014",niiwo'oo'.,2,,,,
"SecTh.015",Notiitiit.,1,,,,
"SecTh.016",'oh,1,,,,
"SecTh.016",hoowuuni.,2,,,,
"SecTh.017","Heeneetohno'usee3i,",1,,,,
"SecTh.017",hoowuuni.,2,,,,
"SecTh.018","NeihoowoohP,",1,,,,
"SecTh.018",woow,2,,,,
"SecTh.018",heniiP,3,,,,
"SecTh.018",heniixoxonee'.,4,,,,
"SecTh.019",Woow,1,,,,
"SecTh.019",nee'eetoxu3i',2,,,,
"SecTh.019",niisi3eihiiho',3,,,,
"SecTh.019",neetniistoneiitono'.,4,,,,
"SecTh.020",He'hii3e',1,,,,
"SecTh.020",heeneetohnottobee3i'.,2,,,,
"SecTh.021",'oh,1,,,,
"SecTh.021",ne'nih'ii3ei'towuuneit.,2,,,,
"SecTh.022",Wohei,1,,,,
"SecTh.022",hee3oohok,2,,,,
"SecTh.022","hibetebihow,",3,,,,
"SecTh.022",noonoko',4,,,,
"SecTh.022",heetce3ei'oonoo.,5,,,,
"SecTh.023",heetnotiitiinoo,1,,,,
"SecTh.023",niisi3ooo.,2,,,,
"SecTh.024","Toonheeneetohbii'iitoonooni,",1,,,,
"SecTh.024",heetnee'eetoonoo.,2,,,,
"SecTh.025",Heetwo'3itiinoo,1,,,,
"SecTh.025",bei'ci3ei'i.,2,,,,
"SecTh.026","Toonhei'nee'eetoxei'i,",1,,,,
"SecTh.026","heetne'cihce'eeckoohunoo,",2,,,,
"SecTh.026",he'ih'ii3ee.,3,,,,
"SecTh.027",Wohei,1,,,,
"SecTh.027",hetneeneenoutii,2,,,,
"SecTh.027","neteixo'ono,",3,,,,
"SecTh.027",heeneeyoohuuho,4,,,,
"SecTh.027",neetniiwoh'uyoono.,5,,,,
"SecTh.028",Nooxeihi',1,,,,
"SecTh.028",heetbeexuciisiseenoo.,2,,,,
"SecTh.029",Neihoowoe'in,1,,,,
"SecTh.029",toonheetniitohbii'iitiinoo,2,,,,
"SecTh.029",niisi3ooo.,3,,,,
"SecTh.030",Ne'neenou'uheit,1,,,,
"SecTh.030",hebetebihow.,2,,,,
"SecTh.031",'oh,1,,,,
"SecTh.031",hoowoe'in,2,,,,
"SecTh.031",nehe',3,,,,
"SecTh.031",hisei,4,,,,
"SecTh.031",tih'etniitei'yooniibit.,5,,,,
"SecTh.032",Nehe',1,,,,
"SecTh.032",hinen,2,,,,
