ref,word,num,dep,label,dep2,label2
"ShLeg.001",tooxu'ooneet.,1,,,,
"ShLeg.002",nih'oo3oo,1,,,,
"ShLeg.002",he'ih'oowuniihisee,2,,,,
"ShLeg.002",niiciihehe'.,3,,,,
"ShLeg.003",he'ih'itesee,1,,,,
"ShLeg.003",hinenin,2,,,,
"ShLeg.003",he'ihnosoutoxu'ohowuu,3,,,,
"ShLeg.003",hi'oo3in.,4,,,,
"ShLeg.004",nehe',1,,,,
"ShLeg.004",hinen,2,,,,
"ShLeg.004",he'ihteestoxu'oh,3,,,,
"ShLeg.004",hi'oo3,4,,,,
"ShLeg.004",hohootin.,5,,,,
"ShLeg.005",he'ihse'isinen,1,,,,
"ShLeg.005",nuhu',2,,,,
"ShLeg.005",heetohtoxu'oho',3,,,,
"ShLeg.005",hi'oo3.,4,,,,
"ShLeg.006",hei'eetneeneistoxu'oho',1,,,,
"ShLeg.006",hi'oo3,2,,,,
"ShLeg.006",he'ihtestoxu'oon.,3,,,,
"ShLeg.007",wohei,1,,,,
"ShLeg.007",nehe',2,,,,
"ShLeg.007",nih'oo3oo,3,,,,
"ShLeg.007",he'ih'esoohobee.,4,,,,
"ShLeg.008",he'ihtoo3esoohobee.,1,,,,
"ShLeg.009",wohei,1,,,,
"ShLeg.009",nehe',2,,,,
"ShLeg.009",hinen,3,,,,
"ShLeg.009",tohuustoxu'oho',4,,,,
"ShLeg.009","hi'oo3,",5,,,,
"ShLeg.009",he'ihnoononoo'ein.,6,,,,
"ShLeg.010",he'ihnoohobee,1,,,,
"ShLeg.010",hii3einoonin.,2,,,,
"ShLeg.011",he'ihyiisceno'oo,1,,,,
"ShLeg.011",toonkoxcei'it.,2,,,,
"ShLeg.012",Hootneetouhunoo,1,,,,
"ShLeg.012",heehehk.,2,,,,
"ShLeg.013",noh,1,,,,
"ShLeg.013",nehe',2,,,,
"ShLeg.013",nih'oo3oo,3,,,,
"ShLeg.013",heenoo,4,,,,
"ShLeg.013",he'ih'eeneixoohobee.,5,,,,
"ShLeg.014",he'ih'esoohobee.,1,,,,
"ShLeg.015",wohei,1,,,,
"ShLeg.015","hei'iisceno'oot,",2,,,,
"ShLeg.015",toh'e3owo'oot,3,,,,
"ShLeg.015",nehe',4,,,,
"ShLeg.015",tooxu'ooneet,5,,,,
"ShLeg.015",hihcebe'.,6,,,,
"ShLeg.016",he'ihko'us,1,,,,
"ShLeg.016",hiteyei'onin,2,,,,
"ShLeg.016",xookuuhu'.,3,,,,
"ShLeg.017",he'ihxookbisei'inoo'oo.,1,,,,
"ShLeg.018",he'ih'eten,1,,,,
"ShLeg.018",hi'oo3.,2,,,,
"ShLeg.019",he'ihneh'ee,1,,,,
"ShLeg.019",nuhu',2,,,,
"ShLeg.019",heneeceen.,3,,,,
"ShLeg.020",heecisciinoohobeit,1,,,,
"ShLeg.020",nuhu',2,,,,
"ShLeg.020",heneeceen,3,,,,
"ShLeg.020",hihceno'oo3ooon;,4,,,,
"ShLeg.020",he'ihneh'ee.,5,,,,
"ShLeg.021",nuhu',1,,,,
"ShLeg.021",hoo3oo'o',2,,,,
"ShLeg.021",heneeceeno',3,,,,
"ShLeg.021",he'ihce3koohuno'.,4,,,,
"ShLeg.022",nehe',1,,,,
"ShLeg.022",tooxu'ooneet,2,,,,
