ref,word,num,dep,label,dep2,label2
"SlCh.001",Heseihteesiisoo.,1,,,,
"SlCh.002",Teecxo',1,,,,
"SlCh.002",he'ih'entoono',2,,,,
"SlCh.002",3owo3neniteenen,3,,,,
"SlCh.002",noh,4,,,,
"SlCh.002",hibetebihow.,5,,,,
"SlCh.003","He'ihteco'onbeetitei'yooniibino',",1,,,,
"SlCh.003",beebeet,2,,,,
"SlCh.003",he'ihciini'itei'yooniibino'.,3,,,,
"SlCh.004",Ceesey,1,,,,
"SlCh.004",hiisi',2,,,,
"SlCh.004","tih'iinoo'eit,",3,,,,
"SlCh.004",nehe',4,,,,
"SlCh.004",hinen,5,,,,
"SlCh.004",he'ih'eseihtees.,6,,,,
"SlCh.005","He'ih'iineyeiko'un,",1,,,,
"SlCh.005",'oh,2,,,,
"SlCh.005",he'ih'iicoonko'un.,3,,,,
"SlCh.006",'oh,1,,,,
"SlCh.006",he'ihcoonbii'in,2,,,,
"SlCh.006","hiteseihtoo,",3,,,,
"SlCh.006",noh,4,,,,
"SlCh.006",heihii,5,,,,
"SlCh.006","he'ihbeesnisono'oon,",6,,,,
"SlCh.006",honoot,7,,,,
"SlCh.006","he'ihkoe'ceisinen,",8,,,,
"SlCh.006",'oh,9,,,,
"SlCh.006",he'ih3eisinen,10,,,,
"SlCh.006",hiseihiitei'yoon.,11,,,,
"SlCh.007",He'ne'itenowoo3oot;,1,,,,
"SlCh.008",Heseihteesiisoo,1,,,,
"SlCh.008",he'ihnee'eesih'eeno'.,2,,,,
"SlCh.009",Noh,1,,,,
"SlCh.009",hohou,2,,,,
"SlCh.009",he'ih'ii3eeno',3,,,,
"SlCh.009","houu,",4,,,,
"SlCh.009",tihbiinei3i',5,,,,
"SlCh.009",nehe',6,,,,
"SlCh.009",tei'yoonoho'.,7,,,,
