ref,word,num,dep,label,dep2,label2
"Song.001",Teecxo',1,,,,
"Song.001",hinono'eino',2,,,,
"Song.001",nih'iinii3inou'u,3,,,,
"Song.001",hiniibootiininoo.,4,,,,
"Song.002",Niibootno,1,,,,
"Song.002","nih'entou'u,",2,,,,
"Song.002","tei'yoonoh'o',",3,,,,
"Song.002",notikoniihiiho',4,,,,
"Song.002",noh,5,,,,
"Song.002",neeceeno',6,,,,
"Song.002",nihi'eeteenebeihi3i'.,7,,,,
"Song.003",Honoh'oehiho',1,,,,
"Song.003",noh,2,,,,
"Song.003",hiseihiho',3,,,,
"Song.003",toonheecxooyeiniii'oonoo3i,4,,,,
"Song.003",nih'iiniisitoneihi3i',5,,,,
"Song.003",niibootno.,6,,,,
"Song.004",Nih'ookonoonniisitoneihi3i'.,1,,,,
"Song.005",He'neen,1,,,,
"Song.005",nih'iiniistiit,2,,,,
"Song.005","niibootno,",3,,,,
"Song.005",beesnenitee.,4,,,,
"Song.006",Nih'e'inoneihi3i',1,,,,
"Song.006",nuhu',2,,,,
"Song.006","hitiiteeninoo,",3,,,,
"Song.006",nih'iiniistii3i',4,,,,
"Song.006",niibootno.,5,,,,
"Song.007",Heebehneen,1,,,,
"Song.007",beh'eihehi',2,,,,
"Song.007",wo'ei3,3,,,,
"Song.007",betebihehi',4,,,,
"Song.007",hitiiteene'.,5,,,,
"Song.008",Toonheetniistiit,1,,,,
"Song.008",niiboot,2,,,,
"Song.008",he'ih'iinoteii3iheihi.,3,,,,
"Song.009",Toonneniistiit,1,,,,
"Song.009","niiboot,",2,,,,
"Song.009",nuhu',3,,,,
"Song.009",heetoh'ootee',4,,,,
"Song.009",koxuuxuuhu',5,,,,
"Song.009",he'ih'iiyihoo.,6,,,,
"Song.010","Nii'eihiiho',",1,,,,
"Song.010",heseisenii,2,,,,
"Song.010",noh,3,,,,
"Song.010",howoo,4,,,,
"Song.010",heesnooyoti'i,5,,,,
"Song.010",hiinono'wuu'.,6,,,,
"Song.011",Benee3ihi',1,,,,
"Song.011","niiboot,",2,,,,
"Song.011",he'ne'niibooteihiinoo',3,,,,
"Song.011",neeceenohooot.,4,,,,
"Song.012","Heebeh'oo'eixootiin,",1,,,,
"Song.012",wo'ei3,2,,,,
"Song.012",betooot,3,,,,
"Song.012",ne'neeceenohoootiini'.,4,,,,
"Song.013",Hiiwoonhehe',1,,,,
"Song.013",niibootno,2,,,,
"Song.013",heni'notinihiitooni',3,,,,
"Song.013",heetniisniisihi'i.,4,,,,
"Song.014",Hooyei,1,,,,
"Song.014",nih'iisoo',2,,,,
"Song.014",hinono'ei,3,,,,
"Song.014","hitiine'etiit,",4,,,,
"Song.014",hoowooh'entou.,5,,,,
"Song.015",Noosouwoo3ei'i,1,,,,
"Song.015",hinono'einootno,2,,,,
"Song.015",'oh,3,,,,
"Song.015",hooyei,4,,,,
"Song.015",hoowtonouneihiinoono.,5,,,,
"Song.016",Noosouneeteenebeet,1,,,,
"Song.016",tei'yoonehe'.,2,,,,
"Song.017",Hiiniibootiini3i',1,,,,
"Song.017","beniiinenno',",2,,,,
"Song.017","neeceeno',",3,,,,
"Song.017",noh,4,,,,
"Song.017",ce'esbeneniihiiho'.,5,,,,
"Song.018",Hoowoohniitowoo3eihiinoono,1,,,,
"Song.018",ko3ein[in]ootno.,2,,,,
"Song.019",Hiiwoonhehe',1,,,,
"Song.019",hooyei,2,,,,
"Song.019",niibeihiiho',3,,,,
"Song.019",hiihoowoe'inowuu,4,,,,
"Song.019",hinono'einootno.,5,,,,
"Song.020","Hoonouseet,",1,,,,
"Song.020",neneenit,2,,,,
"Song.020",nih'iiniistiit,3,,,,
"Song.020",niibootno.,4,,,,
"Song.021",Hiiwoonhehe',1,,,,
"Song.021",heentoo3i',2,,,,
"Song.021",niiniistii3i',3,,,,
"Song.021",hinono'einootno.,4,,,,
