ref,word,num,dep,label,dep2,label2
"SpAra.001",A,1,,,,
"SpAra.001",tous.,2,,,,
"SpAra.002",B,1,,,,
"SpAra.002","tous,",2,,,,
"SpAra.002",heneecee,3,,,,
"SpAra.002",boh'ooo.,4,,,,
"SpAra.003",A,1,,,,
"SpAra.003",tootousiini?,2,,,,
"SpAra.004",B,1,,,,
"SpAra.004",hoowuuni.,2,,,,
"SpAra.005",nihcihwoneeneinono'eitinoo.,1,,,,
"SpAra.006",A,1,,,,
"SpAra.006",wohei,2,,,,
"SpAra.006",hii3eti'.,3,,,,
"SpAra.007",Nuhu',1,,,,
"SpAra.007",won3eiinoo!,2,,,,
"SpAra.008",Wohei,1,,,,
"SpAra.008",tous,2,,,,
"SpAra.008",heh'eeneinono'eitin.,3,,,,
"SpAra.009",B,1,,,,
"SpAra.009",heniise'enou'unoo.,2,,,,
"SpAra.010",A,1,,,,
"SpAra.010",kooheniihei'i,2,,,,
"SpAra.010",heeneinono'eiti3ei'i?,3,,,,
"SpAra.011",B,1,,,,
"SpAra.011",beebeet,2,,,,
"SpAra.011",nei'eibehe'.,3,,,,
"SpAra.012",A,1,,,,
"SpAra.012",'oh,2,,,,
"SpAra.012",heisonoo?,3,,,,
"SpAra.013",B,1,,,,
"SpAra.013",nei'ei3hehk!,2,,,,
"SpAra.014",Hiitownih'oo3ounit.,1,,,,
"SpAra.015",A,1,,,,
"SpAra.015",hii3oobein.,2,,,,
"SpAra.016",hiikoot,1,,,,
"SpAra.016",hee3neeniihi',2,,,,
"SpAra.016",koo'oh.,3,,,,
"SpAra.017",B,1,,,,
"SpAra.017",hii3oowuwot.,2,,,,
