ref,word,num,dep,label,dep2,label2
"Spirit.001",Necei3wooob,1,,,,
"Spirit.001",nonoononoo'oo'.,2,,,,
"Spirit.002",Nonotonou'u,1,,,,
"Spirit.002",neniitowootou'u,2,,,,
"Spirit.002",ni'i3ecoot,3,,,,
"Spirit.002",heseisene'.,4,,,,
"Spirit.003",Netiini3ecoot,1,,,,
"Spirit.003",niikonohbeetoh'e'ino';,2,,,,
"Spirit.004",noh,1,,,,
"Spirit.004",beteesibiitono,2,,,,
"Spirit.004",ni'owoto'oonoo.,3,,,,
"Spirit.005",Nii-toyoohootowoo,1,,,,
"Spirit.005",noh'ooke'ehk.,2,,,,
"Spirit.006",Netiini3ecootono,1,,,,
"Spirit.006",niiyihxohu3i',2,,,,
"Spirit.006",teesiihi',3,,,,
"Spirit.006",nii'eihiiho,4,,,,
"Spirit.006",hi3e'eno.,5,,,,
"Spirit.007",Wonooneihinoo.,1,,,,
"Spirit.008",Necei3wooob,1,,,,
"Spirit.008",nonoononoo'oo'.,2,,,,
