ref,word,num,dep,label,dep2,label2
"Sport.001",Wohei,1,,,,
"Sport.001",neneeninoo,2,,,,
"Sport.001",Edward,3,,,,
"Sport.001",Underwood.,4,,,,
"Sport.002",HeetP,1,,,,
"Sport.002",heetneenetinoo,2,,,,
"Sport.002",nuhu',3,,,,
"Sport.002","nii'cebiihee3i',",4,,,,
"Sport.002",nuhu',5,,,,
"Sport.002",nih'oo3ou'u.,6,,,,
"Sport.003",nuhu',1,,,,
"Sport.003","kokoh'owooo,",2,,,,
"Sport.003","heniisih'it,",3,,,,
"Sport.003",henii3eihit.,4,,,,
"Sport.004",Nihcebiihee3i'.,1,,,,
"Sport.005",Wohei,1,,,,
"Sport.005","hetehkoh'to'owoo,",2,,,,
"Sport.005",nih'iisih'iinoo',3,,,,
"Sport.005",hini';,4,,,,
"Sport.006",bunt,1,,,,
"Sport.006",nenee',2,,,,
"Sport.006","nuhu',",3,,,,
"Sport.006",hetehkoh'to'owoo.,4,,,,
"Sport.007",Wo'ei3,1,,,,
"Sport.007","hi'P,",2,,,,
"Sport.007","hetce3nonii3eihoo,",3,,,,
"Sport.007","nih'ii3ei'eet,",4,,,,
"Sport.007",nuhu',5,,,,
"Sport.007",home,6,,,,
"Sport.007",run.,7,,,,
"Sport.008",wo'ei3,1,,,,
"Sport.008",beeteP,2,,,,
"Sport.008",heete3einP.,3,,,,
"Sport.009",heete3eineihehk,1,,,,
"Sport.009","hi'in,",2,,,,
"Sport.009",heetP,3,,,,
"Sport.009",heetnouukuu3ein.,4,,,,
"Sport.010",Hetehsiiwohei.,1,,,,
"Sport.011",Heteh'eete3einoo,1,,,,
"Sport.011",nuhu'.,2,,,,
"Sport.012",Hini',1,,,,
"Sport.012",nih'iinono'eiyeiti3i'.,2,,,,
"Sport.013",Nenee3i',1,,,,
"Sport.013",nei'inou'u.,2,,,,
"Sport.014",'oh,1,,,,
"Sport.014",nuhu',2,,,,
"Sport.014","ciinono'eiyeiti3i',",3,,,,
"Sport.014",hoowoe'inowuu.,4,,,,
"Sport.015","Wohoe'P,",1,,,,
"Sport.015",nehe',2,,,,
"Sport.015",nei'towuuno';,3,,,,
"Sport.016",Nih'iiP,1,,,,
"Sport.016","ne'nih'ii3oot,",2,,,,
"Sport.016",hetehsiiwohei.,3,,,,
"Sport.017",wo'ei3,1,,,,
"Sport.017",heteh'eete3einoo.,2,,,,
"Sport.018",heetnee'eesP,1,,,,
"Sport.018",heetnih'oowP,2,,,,
"Sport.018",nih'oowkuu3ot.,3,,,,
"Sport.019",'oh,1,,,,
"Sport.019","ciinee'eestooni3i,",2,,,,
"Sport.019","heetnouukuu3ein,",3,,,,
"Sport.019",nih'iit.,4,,,,
"Sport.020",Nenee',1,,,,
"Sport.020",nih'eeneti3ei'eet,2,,,,
"Sport.020",nuhu',3,,,,
"Sport.020",coach.,4,,,,
"Sport.021",ne'nih'iisP,1,,,,
"Sport.021",neih'oowniitoneibe,2,,,,
"Sport.021",tootohP,3,,,,
"Sport.021",heniiseitino'.,4,,,,
"Sport.022",hoowoe'inowuu,1,,,,
"Sport.022",heetP,2,,,,
"Sport.022",heetnee'eestoono'.,3,,,,
"Sport.023",Nuhu',1,,,,
"Sport.023","kokoh'owooo,",2,,,,
"Sport.023","baseball,",3,,,,
"Sport.023",nihcebiihee3i'.,4,,,,
"Sport.024",Hini',1,,,,
"Sport.024",ciiP,2,,,,
"Sport.024",neih'oowuniitoneibe,3,,,,
"Sport.024",tootohP,4,,,,
"Sport.024",hi'in,5,,,,
"Sport.024",nuhu',6,,,,
"Sport.024",niisP,7,,,,
"Sport.024",niiseitino',8,,,,
"Sport.024",nono'einiihi'.,9,,,,
"Sport.025",Noh,1,,,,
"Sport.025",nuhu',2,,,,
"Sport.025",uhh,3,,,,
"Sport.025","basketball,",4,,,,
"Sport.025",wohei,5,,,,
"Sport.025",heetniisiiinoono'.,6,,,,
"Sport.026",Nehe',1,,,,
"Sport.026",heetbohoonoono',2,,,,
"Sport.026",nehe'.,3,,,,
"Sport.027",Heetniisiiinkuu3oono'.,1,,,,
"Sport.028",Wo'ei3,1,,,,
"Sport.028",nuhu',2,,,,
"Sport.028",heetP,3,,,,
"Sport.028",heetcoboot:,4,,,,
"Sport.029","ce'nowuunin,",1,,,,
"Sport.029","ce'nowuunin,",2,,,,
"Sport.029",nih'ii3i'.,3,,,,
"Sport.030",ne'nih'ii'P,1,,,,
"Sport.030",niisce'nowuunoo3i'.,2,,,,
"Sport.031",Ne'nih'iisP,1,,,,
"Sport.031",ne'nih'iiseitini',2,,,,
"Sport.031",tohuucebiihee3i',3,,,,
"Sport.031",nuhu',4,,,,
"Sport.031",neihcebiihoooninoo.,5,,,,
"Sport.032",Nih'inono'eiyeitini'.,1,,,,
"Sport.033",BeisP,1,,,,
"Sport.033",beise'inou'u,2,,,,
"Sport.033",nuhu',3,,,,
"Sport.033","nihceecebiihinee3i',",4,,,,
"Sport.033",nuhu',5,,,,
"Sport.033",uhm.,6,,,,
"Sport.034","yeah,",1,,,,
"Sport.034",nihP,2,,,,
"Sport.034",ne'nih'ii3ei'eet,3,,,,
"Sport.034",hi'in,4,,,,
"Sport.034",neihneyei3eiheiitooninoo.,5,,,,
"Sport.035","neihcebiihoooninoo,",1,,,,
"Sport.035",ne'nii'inono'eiyeitini'.,2,,,,
"Sport.036",hih'oowoe'inowuu,1,,,,
"Sport.036","toh'etnih'iisinihiini',",2,,,,
"Sport.036",tihcebiihee3i'.,3,,,,
"Sport.037",nuhu',1,,,,
"Sport.037","beisiihi',",2,,,,
"Sport.037",nuhu',3,,,,
"Sport.037","nih'iicebiihinee3i',",4,,,,
"Sport.037",nuhu',5,,,,
"Sport.037","ceecebiihoo3i',",6,,,,
"Sport.037",heetneesP,7,,,,
"Sport.037",heetniisP,8,,,,
"Sport.037",heetniiP,9,,,,
"Sport.037",heetniihoyoo3oo3i'.,10,,,,
"Sport.038",nihnee'eeneesinihii3i'.,1,,,,
"Sport.039",wohei,1,,,,
"Sport.039","heetniihoyoo3oono',",2,,,,
"Sport.039",ne'nih'ii3i'.,3,,,,
"Sport.040",Heetniihoyeino'.,1,,,,
"Sport.041",ne'nih'ii'inono'eiyeiti3i'.,1,,,,
"Sport.042",heetP,1,,,,
"Sport.042",heetniisneeP,2,,,,
"Sport.042",nee'eeneestoono'.,3,,,,
"Sport.043","heetne'niisoyoo3oono',",1,,,,
"Sport.043",nih'ii3i'.,2,,,,
"Sport.044",Noh,1,,,,
"Sport.044",ne'nih'iistoo3i'.,2,,,,
"Sport.045",ne'nih'iistooni'.,1,,,,
"Sport.046","Howoo,",1,,,,
"Sport.046",tihceecebiihee3i',2,,,,
"Sport.046",nuhu';,3,,,,
"Sport.047",Howoo,1,,,,
"Sport.047","nuhu',",2,,,,
"Sport.047",wohei,3,,,,
"Sport.047",hetehsiiinoono'.,4,,,,
"Sport.048",wo'ei3,1,,,,
"Sport.048",ne'nih'ii'bohoonooni'.,2,,,,
"Sport.049",nih'iisiiineet.,1,,,,
"Sport.050",Wo'ei3,1,,,,
"Sport.050",nuhu',2,,,,
"Sport.050","baseball,",3,,,,
"Sport.050",wohei,4,,,,
"Sport.050",heteh'eete3einoo.,5,,,,
"Sport.051",wo'ei3,1,,,,
"Sport.051",hetehsiiwohei,2,,,,
"Sport.051",nuhu'.”,3,,,,
"Sport.052","Yeah,",1,,,,
"Sport.052",ne'nih'ii3P,2,,,,
"Sport.052",ne'nih'ii3eitini'.,3,,,,
"Sport.053",nih'ei'towuunei'eet,1,,,,
"Sport.053",toonhi'in,2,,,,
"Sport.053",nii-coach-hiit.,3,,,,
"Sport.054",ne'nih'ii'P,1,,,,
"Sport.054","ne'nih'iisoyoo3ee3i',",2,,,,
"Sport.054",nuhu',3,,,,
"Sport.054",neihcebiihoooninoo.,4,,,,
"Sport.055",Wohei.,1,,,,
