ref,word,num,dep,label,dep2,label2
"Sports.001",A,1,,,,
"Sports.001",Toothei'eihoobe?,2,,,,
"Sports.002",B,1,,,,
"Sports.002",Heetwonkookoh'ohwooni'.,2,,,,
"Sports.003",A,1,,,,
"Sports.003",Tootheinee'eetiinikotii?,2,,,,
"Sports.004",B,1,,,,
"Sports.004","Hosei3iihi',",2,,,,
"Sports.004","ne'niitiinikotiinoo,",3,,,,
"Sports.004",noh,4,,,,
"Sports.004",hinee,5,,,,
"Sports.004",niinikotiit,6,,,,
"Sports.004",niitobe'einiihi'.,7,,,,
"Sports.005",A,1,,,,
"Sports.005",Keino'oteihibe?,2,,,,
"Sports.006",B,1,,,,
"Sports.006",Niini'iinikotii'.,2,,,,
"Sports.007",A,1,,,,
"Sports.007","Yeh,",2,,,,
"Sports.007",nooxeihi',3,,,,
"Sports.007",niisei'inee.,4,,,,
"Sports.008",B,1,,,,
"Sports.008","Hiiko,",2,,,,
"Sports.008",neihoowuusei'ibe.,3,,,,
"Sports.009",A,1,,,,
"Sports.009",Heetwonesoohobeenee.,2,,,,
"Sports.010","Hee,",1,,,,
"Sports.010",cihnii3oonei'ee.,2,,,,
