ref,word,num,dep,label,dep2,label2
"StarC.001",3owo3neniteeno',1,,,,
"StarC.001",he'ih'ootiino',2,,,,
"StarC.001",too3iihi',3,,,,
"StarC.001",niicii[hehe'].,4,,,,
"StarC.002","he'ihko'einootiino',",1,,,,
"StarC.002",noh,2,,,,
"StarC.002",hiseihih'o',3,,,,
"StarC.002",he'ih'iinikotiino'.,4,,,,
"StarC.003",biikoo,1,,,,
"StarC.003","he'ihnoh'oesei'oon,",2,,,,
"StarC.003",noh,3,,,,
"StarC.003",he'ihseese'isineno'.,4,,,,
"StarC.004",he'ih'iineenei'oohobeeno',1,,,,
"StarC.004",ho3o'uu.,2,,,,
"StarC.005",noh,1,,,,
"StarC.005",ceese',2,,,,
"StarC.005",ho3o',3,,,,
"StarC.005",he'ihtesnoh'oeseih;,4,,,,
"StarC.005",noh,5,,,,
"StarC.005",ceese',6,,,,
"StarC.005",hiseihihi',7,,,,
"StarC.005",niihok,8,,,,
"StarC.005",'''oh,9,,,,
"StarC.005",hinee,10,,,,
"StarC.005",ho3o',11,,,,
"StarC.005",tohtesnoh'oeseih,12,,,,
"StarC.005",[kookoos],13,,,,
"StarC.005",neihniibe',14,,,,
"StarC.005",heehehk.,15,,,,
"StarC.006",noh,1,,,,
"StarC.006",ceese',2,,,,
"StarC.006",hiseihihi',3,,,,
"StarC.006","heehehk,",4,,,,
"StarC.006",''wono',5,,,,
"StarC.006","XXX,''",6,,,,
"StarC.006",hee3oohok;,7,,,,
"StarC.006",noh,8,,,,
"StarC.006",he'ihciiniinikotiino'.,9,,,,
"StarC.007",noh,1,,,,
"StarC.007",tohnooke',2,,,,
"StarC.007",nuhu',3,,,,
"StarC.007",hiseihiho',4,,,,
"StarC.007","nihi'iinihii3i',",5,,,,
"StarC.007",he'ihneenino',6,,,,
"StarC.007",beseee3i',7,,,,
"StarC.007",hiikoo';,8,,,,
"StarC.007",noh,9,,,,
"StarC.007",he'ihnoohobeeno',10,,,,
"StarC.007",hoo.,11,,,,
"StarC.008",hohooti',1,,,,
"StarC.008",he'ih'ou3inen.,2,,,,
"StarC.009",noh,1,,,,
"StarC.009",ceese',2,,,,
"StarC.009","heehehk,",3,,,,
"StarC.009",“heetnoho'ouuhuutono',4,,,,
"StarC.009",nehe',5,,,,
"StarC.009","hoo,”",6,,,,
"StarC.009",heehehk,7,,,,
"StarC.009",ceese'.,8,,,,
"StarC.010",noh,1,,,,
"StarC.010",he'ihneyeinoho'ouuhuut[on].,2,,,,
"StarC.011",heetcenenoot,1,,,,
"StarC.011",nuhu'.,2,,,,
"StarC.012",he'ihnoxownoho'ouuhuutonee.,1,,,,
"StarC.013",he'ihciinowo'oncoonitetenee,1,,,,
"StarC.013",noh,2,,,,
"StarC.013",ceese',3,,,,
"StarC.013",hiseihihi',4,,,,
"StarC.013",tokoo3,5,,,,
"StarC.013",he'ih3i'ookuu.,6,,,,
"StarC.014",he'ihcih'eenet,1,,,,
"StarC.014",“cihce'oowus!”,2,,,,
"StarC.014",hee3eihok.,3,,,,
"StarC.015",hinee,1,,,,
"StarC.015",noonoho'ouuhuni3,2,,,,
"StarC.015",“nee'ee,3,,,,
"StarC.015","heeyeih'iisiiteno',”",4,,,,
"StarC.015",heehehk.,5,,,,
"StarC.016",heihii,1,,,,
"StarC.016",he'ihciiniitonee,2,,,,
"StarC.016",heecisiicih'eti3eit.,3,,,,
"StarC.017",“wohei,1,,,,
"StarC.017",sooxe”,2,,,,
"StarC.017",hee3oohok,3,,,,
"StarC.017",nuhu',4,,,,
"StarC.017",hiseihihi'.,5,,,,
"StarC.018",“neneeninoo,1,,,,
"StarC.018",hini',2,,,,
"StarC.018",tohuutesnoh'oesei'iinoo'.”,3,,,,
"StarC.019",“heetneeninoo,1,,,,
"StarC.019","tohniibe3en,”",2,,,,
"StarC.019",heehehk,3,,,,
"StarC.019",nehe',4,,,,
"StarC.019",hoo.,5,,,,
"StarC.020",wohei,1,,,,
"StarC.020",he'ih'ihco'oono',2,,,,
"StarC.020",hihcebe'.,3,,,,
"StarC.021",noh,1,,,,
"StarC.021",he'ihsehno'useeno',2,,,,
"StarC.021",hihcebe'.,3,,,,
"StarC.022",he'inee'eenii3iine'etiibeti3i'.,1,,,,
"StarC.022",he'ine'eh'entoo3i'.,2,,,,
"StarC.023",noh,1,,,,
"StarC.023",he'ihnee'ei'itei'yooniibi3i',2,,,,
"StarC.023",honoh'oehihi',3,,,,
"StarC.023",wootii.,4,,,,
"StarC.024",noh,1,,,,
"StarC.024",nehe',2,,,,
"StarC.024",hinen,3,,,,
"StarC.024",he'ih'iinoo'ei,4,,,,
"StarC.024",teco'oniihi'.,5,,,,
"StarC.025",noh,1,,,,
"StarC.025",nehe',2,,,,
"StarC.025",hisei,3,,,,
"StarC.025",he'ih'iiteco'onisee.,4,,,,
"StarC.026",he'ihkookoxohei,1,,,,
"StarC.026","xoucenii,",2,,,,
"StarC.026",hiih'ehiho',3,,,,
"StarC.026",tohuubiinooni3.,4,,,,
"StarC.027",noh,1,,,,
"StarC.027",hiix,2,,,,
"StarC.027",he'ih'ii3e',3,,,,
"StarC.027",“ciibehkoxohun,4,,,,
"StarC.027",xoucenii!”,5,,,,
"StarC.028",noh,1,,,,
"StarC.028",ci'he'ihkoxohei;,2,,,,
"StarC.029",he'isehxooktone3eiho',1,,,,
"StarC.029",biito'owu'.,2,,,,
"StarC.030",he'ihsehce'noonoohoot,1,,,,
"StarC.030",biito'owu',2,,,,
"StarC.030",nih'iicih'iitiseet.,3,,,,
"StarC.031",he'ihnoohoot,1,,,,
"StarC.031",heeteihit;,2,,,,
"StarC.032",noh,1,,,,
"StarC.032",xonou,2,,,,
"StarC.032",he'ihbiiwoo,3,,,,
"StarC.032",tohnoohooto',4,,,,
"StarC.032",heeteihit.,5,,,,
"StarC.033",kookuyon,1,,,,
"StarC.033",he'ih'iinisee.,2,,,,
"StarC.034",he'ihneetou3ecoo.,1,,,,
"StarC.035",hoonii,1,,,,
"StarC.035",he'iciino'eeckoohut,2,,,,
"StarC.035",hiix,3,,,,
"StarC.035",he'ihnoohobe'.,4,,,,
"StarC.036",he'ih'e'inone';,1,,,,
"StarC.036","“heihtoustoo,”",2,,,,
"StarC.036",hee3eihok,3,,,,
"StarC.036",hiniin.,4,,,,
"StarC.037",“kookon”,1,,,,
"StarC.037",hee3oohok,2,,,,
"StarC.037",hiix.,3,,,,
"StarC.038",kooxtohnooke',1,,,,
"StarC.038",he'ih'iise3ebisee,2,,,,
"StarC.038",nuhu',3,,,,
"StarC.038",niittonoxohei'it.,4,,,,
"StarC.039",kooxhe'ih'iinoteibisee.,1,,,,
"StarC.040",kou3iihi',1,,,,
"StarC.040","he'ihbiiwoo,",2,,,,
"StarC.040",tihkokoh'eeneeto',3,,,,
"StarC.040",heetniisoowuseet.,4,,,,
"StarC.041",noh,1,,,,
"StarC.041",kou3iihi',2,,,,
"StarC.041",he'ihniitonee,3,,,,
"StarC.041",hineniteen.,4,,,,
"StarC.042","“3iwoo,",1,,,,
"StarC.042","neheic,",2,,,,
"StarC.042",tousoo,3,,,,
"StarC.042",heibiiwoohun”,4,,,,
"StarC.042",hee3eihok.,5,,,,
"StarC.043",noh,1,,,,
"StarC.043",“nih'iikoxoheinoo”,2,,,,
"StarC.043",heehehk,3,,,,
"StarC.043",nehe',4,,,,
"StarC.043",hisei;,5,,,,
"StarC.044",“noh,1,,,,
"StarC.044",nonoohootowoo,2,,,,
"StarC.044","niitiseenoo,",3,,,,
"StarC.044",heeteihinoo.”,4,,,,
"StarC.045",“ne'nii'biiwoohunoo.”,1,,,,
"StarC.046","“ceno'uuhu',",1,,,,
"StarC.046",nee'eeteihinoo”,2,,,,
"StarC.046",hee3oohok,3,,,,
"StarC.046",betebihehiho'.,4,,,,
"StarC.047",noh,1,,,,
"StarC.047",“hetbee3koxox,2,,,,
"StarC.047",hootoho”,3,,,,
"StarC.047",hee3eihok,4,,,,
"StarC.047",nuhu',5,,,,
"StarC.047",betebihehiho.,6,,,,
"StarC.048",''cihbeteetosoo'etino'',1,,,,
"StarC.048",heehehk,2,,,,
"StarC.048",betebi.,3,,,,
"StarC.049",heehehk,1,,,,
"StarC.049",nehe',2,,,,
"StarC.049",hisei.,3,,,,
"StarC.050",noh,1,,,,
"StarC.050",toh'oo3iisiinini',2,,,,
"StarC.050",he'ihceixotii,3,,,,
"StarC.050",hootoho.,4,,,,
"StarC.051",he'ihbiinee,1,,,,
"StarC.051",betebi.,2,,,,
"StarC.052",noh,1,,,,
"StarC.052",he'ihneyeiniistiini3,2,,,,
"StarC.052",beeteyook.,3,,,,
"StarC.053",he'ihnoxuhu;,1,,,,
"StarC.053",he'ih'iistii.,2,,,,
"StarC.054",noh,1,,,,
"StarC.054",he'inee'ei'iyihoot,2,,,,
"StarC.054",nuhu',3,,,,
"StarC.054",niittonoxohei'it.,4,,,,
"StarC.055",noh,1,,,,
"StarC.055",he'ih'iten,2,,,,
"StarC.055",bes.,3,,,,
"StarC.056",he'ihtoukutii,1,,,,
"StarC.056",beeteyook.,2,,,,
"StarC.057",he'ne'ei'3ei'iiwoonouhut.,1,,,,
"StarC.058",he'ihtouku3et.,1,,,,
"StarC.059",he'ineh'oowuhcehit.,1,,,,
"StarC.059",noh,2,,,,
"StarC.059",heecet,3,,,,
"StarC.059",he'itou'uhcehit.,4,,,,
"StarC.060",noh,1,,,,
"StarC.060","hiix,",2,,,,
"StarC.060","hei'no'useeni3,",3,,,,
"StarC.060",he'ih'iiyohoot.,4,,,,
"StarC.060",noh,5,,,,
"StarC.060",he'ihnotiihe'.,6,,,,
"StarC.061",he'ihbii'iitiin,1,,,,
"StarC.061",heetoowuseet.,2,,,,
"StarC.062",he'ihnoohobe',1,,,,
"StarC.062",nokowuuhu'.,2,,,,
"StarC.062","“wohei,”",3,,,,
"StarC.062",heehehk,4,,,,
"StarC.062",“ceese',5,,,,
"StarC.062",heetniinenteenit,6,,,,
"StarC.062","neih'e,”",7,,,,
"StarC.062",heehehk,8,,,,
"StarC.062",nehe',9,,,,
"StarC.062",hinen.,10,,,,
"StarC.063",ho'nookee[n],1,,,,
"StarC.063",he'ih'itenee.,2,,,,
"StarC.064",he'ih'oowkuu3ee;,1,,,,
"StarC.065",noh,1,,,,
"StarC.065",hiniin,2,,,,
"StarC.065",he'ih3e'ei3eihi',3,,,,
"StarC.066",he'ihkoxunoo'oo,1,,,,
"StarC.067",he'ihko'os,1,,,,
"StarC.067",biito'owuu'.,2,,,,
"StarC.068",he'ihnecen,1,,,,
"StarC.068",hiniin.,2,,,,
"StarC.069",noh,1,,,,
"StarC.069",nehe',2,,,,
"StarC.069",honoh'oehihi',3,,,,
"StarC.069","he'ihniiseentoo,",4,,,,
"StarC.069",noh,5,,,,
"StarC.069",wo'ooto',6,,,,
"StarC.069",he'ihnokoh;,7,,,,
"StarC.070",noh,1,,,,
"StarC.070",betebihehi',2,,,,
"StarC.070",he'ihcihno'oeteisee.,3,,,,
"StarC.071",he'ihnowuhee,1,,,,
"StarC.071",tei'yoonoh'o.,2,,,,
"StarC.072",he'ihnowuhee.,1,,,,
"StarC.073",he'hii3e',1,,,,
"StarC.073",kooxuuhu'.,2,,,,
"StarC.073",he'ihseh3ookuhee;,3,,,,
"StarC.073",he'ihbii'inee,4,,,,
"StarC.073",tei'yoonoh'o.,5,,,,
"StarC.074",“nonii,1,,,,
"StarC.074",neisiiho”.,2,,,,
"StarC.075",hiiwo',1,,,,
"StarC.075",hehneehek,2,,,,
"StarC.075",ho3o'uusoo.,3,,,,
"StarC.076",he'ih'itenee.,1,,,,
"StarC.077",he'ih'ookoo3ee.,1,,,,
"StarC.078",he'iniiih'oh'oot.,1,,,,
"StarC.079",he'ihnoxohoeniii'oot.,1,,,,
"StarC.079",ceece3o'oh,2,,,,
"StarC.079","he'ihbeexookeen,",3,,,,
"StarC.079",noh,4,,,,
"StarC.079",he'ih'iine'etiihee,5,,,,
"StarC.079",hinii'iwoho'.,6,,,,
