ref,word,num,dep,label,dep2,label2
"Surv.001",heetnoo3itoone3en,1,,,,
"Surv.001",nuhu',2,,,,
"Surv.001",heeneesP,3,,,,
"Surv.001",heeneisP,4,,,,
"Surv.001",heeneisiine'etiit,5,,,,
"Surv.001",nehe',6,,,,
"Surv.001",hinono'ei;,7,,,,
"Surv.002",wohei,1,,,,
"Surv.002",nuhu',2,,,,
"Surv.002",3owo3neniteeno',3,,,,
"Surv.002",nih'eeneisiine'etii3i',4,,,,
"Surv.002",toh'eeneiniihi3i'.,5,,,,
"Surv.003",wohei,1,,,,
"Surv.003",huut,2,,,,
"Surv.003",nenebiihi',3,,,,
"Surv.003",he'iitnei'i,4,,,,
"Surv.003",he'ih'entoono',5,,,,
"Surv.003",nuhu',6,,,,
"Surv.003",hinono'eino'.,7,,,,
"Surv.004",wohei,1,,,,
"Surv.004",ne'ii'beebenii'owoxoo'.,2,,,,
"Surv.005","he'ne'cihnoobe'eisee3i',",1,,,,
"Surv.005",cei3iihi',2,,,,
"Surv.005",he'iitnei'i.,3,,,,
"Surv.006",he'ih'itetowuu,1,,,,
"Surv.006",heebe3niicie.,2,,,,
"Surv.007",bebene,1,,,,
"Surv.007",neeneicxooyei'oo',2,,,,
"Surv.007",nii'noono'unoo'oo'.,3,,,,
"Surv.008",ciinoo'onteetebi'.,1,,,,
"Surv.009",wohei,1,,,,
"Surv.009",ne'iini...“,2,,,,
"Surv.009",heetni'okeeeno'.,3,,,,
"Surv.010",'oh,1,,,,
"Surv.010",nuhu',2,,,,
"Surv.010","heiniistootiibin,",3,,,,
"Surv.010",niine'eeno',4,,,,
"Surv.010",nuhu',5,,,,
"Surv.010",wohoe'etniistiino'”,6,,,,
"Surv.010",heehehkoni'.,7,,,,
"Surv.011",ciinoo'onnihi'neenoo'oo'.,1,,,,
"Surv.012",“'oh,1,,,,
"Surv.012",neneenino',2,,,,
"Surv.012",heetni'iistiino'.,3,,,,
"Surv.013","heetniiP,",1,,,,
"Surv.013",wohei,2,,,,
"Surv.013",nuhu',3,,,,
"Surv.013",hotonih'in,4,,,,
"Surv.013",niibiino3oono'.,5,,,,
"Surv.014",neihoowoe'in,1,,,,
"Surv.014",wohoe'etniistiino',2,,,,
"Surv.014",heihi'bii3woohuutoonin,3,,,,
"Surv.014",heenei'isiihi'.,4,,,,
"Surv.015",heetniiP.”,1,,,,
"Surv.016",wohei,1,,,,
"Surv.016",ne'noo3i'ee3i'.,2,,,,
"Surv.017",he'ihni'iisokeeeno';,1,,,,
"Surv.018 ",'oh,1,,,,
"Surv.018 ",nuhu',2,,,,
"Surv.018 ",niiniinii3iyooninoo,3,,,,
"Surv.018 ",heenei'isiihi',4,,,,
"Surv.018 ","ni'biino3oonoo3i',",5,,,,
"Surv.018 ",he'ih'oo3ontiino'.,6,,,,
"Surv.019",he'ih'oowou'oono'.,1,,,,
"Surv.020",henetii3i',1,,,,
"Surv.020",besnooono,2,,,,
"Surv.020",heenei'isiihi'.,3,,,,
"Surv.021","hoowuuni,",1,,,,
"Surv.021",hoownii3inowuu,2,,,,
"Surv.021",hetni'bii3woohuutooninoo.,3,,,,
"Surv.022",he'ih3ebiixokeeeno'.,1,,,,
"Surv.023",wohei,1,,,,
"Surv.023",hinit,2,,,,
"Surv.023",he'ihneeneih'kuu3eeno',3,,,,
"Surv.023","hii3einoon,",4,,,,
"Surv.023",he'ih'entoono'.,5,,,,
"Surv.024",'oh,1,,,,
"Surv.024",nuhu',2,,,,
"Surv.024",wotoyeicii,3,,,,
"Surv.024",he'ihbiicitiino',4,,,,
"Surv.024","ko'einooni,",5,,,,
"Surv.024",he'ne'ce'ei'inou'u.,6,,,,
"Surv.025",ne'cih'oxou'u,1,,,,
"Surv.025",nuhu',2,,,,
"Surv.025",hoseino'.,3,,,,
"Surv.026",hoonoo3oo'o',1,,,,
"Surv.026",hi'in,2,,,,
"Surv.026",niinohkou3etii3i'.,3,,,,
"Surv.027",wohei,1,,,,
"Surv.027","ne'nih'oocei'inou'u,",2,,,,
"Surv.027",he'ihkohooxoe.,3,,,,
"Surv.028","nih'oocei'inou'u,",1,,,,
"Surv.028",ne'nii'P,2,,,,
"Surv.028",ne'ce'ei'inou'u,3,,,,
"Surv.028",nec,4,,,,
"Surv.028",honoot,5,,,,
"Surv.028",he'ihce'eiinoo.,6,,,,
"Surv.029",heetniiP,1,,,,
"Surv.029",hoowceese',2,,,,
"Surv.029",nuhu',3,,,,
"Surv.029",nec;,4,,,,
"Surv.029",he'ih'iitoxei'i.,5,,,,
"Surv.030",he'ihbesii3P,1,,,,
"Surv.030",ciinoo'oP,2,,,,
"Surv.030",he'ih'iiP.,3,,,,
"Surv.031",ne'koxo'neeneeckuutii3i',1,,,,
"Surv.031",nuhu',2,,,,
"Surv.031",hesitee,3,,,,
"Surv.031",honoot,4,,,,
"Surv.031",he'ihkootee,5,,,,
"Surv.031",hini',6,,,,
"Surv.031",hoseino'.,7,,,,
"Surv.032",wohei,1,,,,
"Surv.032",ne'nih'iisbii3woohu3i'.,2,,,,
"Surv.033",bii3wootou'u,1,,,,
"Surv.033","hoseino',",2,,,,
"Surv.033",he'ih'iiseteen.,3,,,,
"Surv.034",ne'nih'iisbii3ihi3i'.,1,,,,
"Surv.035",wohei,1,,,,
"Surv.035",noosoubeextootoyo3oo'.,2,,,,
"Surv.036",hiii,1,,,,
"Surv.036",nosouneeneinokut,2,,,,
"Surv.036",ceciixoniihi'.,3,,,,
"Surv.037",wohei,1,,,,
"Surv.037",heetwottonouhu3i'.,2,,,,
"Surv.038",he'ihciinoo'oniini,1,,,,
"Surv.038",nuhu',2,,,,
"Surv.038",heetwottonouhu3i',3,,,,
"Surv.038",[cecii]xo'oniihi'.,4,,,,
"Surv.039",ciinoo'oneeyoo'.,1,,,,
"Surv.040",wohei,1,,,,
"Surv.040",heetni'eeneisibi3i';,2,,,,
"Surv.041",heetbeexonoyeihowuu,1,,,,
"Surv.041",heetniitno'yoohu3i'.,2,,,,
"Surv.042",wohei,1,,,,
"Surv.042",nuhu',2,,,,
"Surv.042","heetwottonee3i',",3,,,,
"Surv.042",he'ihbi'wo'owoo'ohowuu,4,,,,
"Surv.042",nuhu',5,,,,
"Surv.042",hesitee.,6,,,,
"Surv.043",wohei,1,,,,
"Surv.043",hini'iit,2,,,,
"Surv.043",biito'owuu',3,,,,
"Surv.043",he'ihso'o'wuutee.,4,,,,
"Surv.044","he'ih'iiso'o'wuutee,",1,,,,
"Surv.044",ne'teesino'oyoohu3i'.,2,,,,
"Surv.045",wohei,1,,,,
"Surv.045",ne'nih'iisnookoniisiinsi'i.,2,,,,
"Surv.046",nookoniisiinsi'i.,1,,,,
"Surv.047",noh,1,,,,
"Surv.047",nee'eesiisehtoneihit,2,,,,
"Surv.047",nehe',3,,,,
"Surv.047",3owo3nenitee.,4,,,,
"Surv.048",heene'ino',1,,,,
