ref,word,num,dep,label,dep2,label2
"SwPr.001",Hiiniisonoonibeen:,1,,,,
"SwPr.002",hihcebe',1,,,,
"SwPr.002",heentoon.,2,,,,
"SwPr.003",Cih'owouunonei'ee.,1,,,,
"SwPr.004",Hi'iihi',1,,,,
"SwPr.004",nuhu',2,,,,
"SwPr.004","ciibeet,",3,,,,
"SwPr.004",heetih'iiyoo3iine'etiino'.,4,,,,
"SwPr.005",Hini',1,,,,
"SwPr.005",hesowobeihiit,2,,,,
"SwPr.005",heetihkouutiseenoo'.,3,,,,
"SwPr.006",Cihbee3ihei'ee,1,,,,
"SwPr.006",hi'iihi',2,,,,
"SwPr.006",heniisih'iit.,3,,,,
"SwPr.007",Neniiitowuuneen,1,,,,
"SwPr.007","hotowouuyoo,",2,,,,
"SwPr.007",hiihii3iihi',3,,,,
"SwPr.007",heih'e,4,,,,
"SwPr.007","Christ,",5,,,,
"SwPr.007",Our,6,,,,
"SwPr.007",Lord.,7,,,,
"SwPr.008",Amen.,1,,,,
