ref,word,num,dep,label,dep2,label2
"Sweet.001",Hi3eti'ehk,1,,,,
"Sweet.001",hoonobee',2,,,,
"Sweet.001",hiine'etiit,3,,,,
"Sweet.002",Heisonoonin,1,,,,
"Sweet.002",hitiine'etiit,2,,,,
"Sweet.003",He-ito'einin,1,,,,
"Sweet.003",nee'eetoo3i',2,,,,
"Sweet.003",hiine'etiit,3,,,,
"Sweet.004",Heisonoonin,1,,,,
"Sweet.004",hitiine'etiit,2,,,,
"Sweet.005",Hi3eti'ehk,1,,,,
"Sweet.005",hoonobee'.,2,,,,
"Sweet.006",Heisonoonin,1,,,,
"Sweet.006",hitiine'etiit,2,,,,
"Sweet.007",Hi3eti'ehk,1,,,,
"Sweet.007",hoonobee',2,,,,
"Sweet.008",Nee'eetoot,1,,,,
"Sweet.008",heito'einin,2,,,,
"Sweet.008",hiine'etiit,3,,,,
