ref,word,num,dep,label,dep2,label2
"TwoS(o).001",teecxo',1,,,,
"TwoS(o).001",hinen,2,,,,
"TwoS(o).001",he'ihniisinino,3,,,,
"TwoS(o).001",hiih'oho.,4,,,,
"TwoS(o).002",ceese',1,,,,
"TwoS(o).002","he'ihnisih'oxonee,",2,,,,
"TwoS(o).002",ceese',3,,,,
"TwoS(o).002",he'ihnookoxonee.,4,,,,
"TwoS(o).003","“wohei,”",1,,,,
"TwoS(o).003",hee3oohok,2,,,,
"TwoS(o).003",nuhu',3,,,,
"TwoS(o).003","hiih'oho,",4,,,,
"TwoS(o).003",“heetniinoo'einee.,5,,,,
"TwoS(o).004","toonneniito'no'ookeit,",1,,,,
"TwoS(o).004",heetniibiino',2,,,,
"TwoS(o).004",no'oteihiit.,3,,,,
"TwoS(o).005",neini'iice3oono,1,,,,
"TwoS(o).005",bih'ihiinoseino',2,,,,
"TwoS(o).005",nisicehiinoseino',3,,,,
"TwoS(o).005",hiwoxuuhuunoseino',4,,,,
"TwoS(o).005",hinenihiinoseino'.,5,,,,
"TwoS(o).006",niini'iicetowoo.,1,,,,
"TwoS(o).007",heetniinoo'einee.,1,,,,
"TwoS(o).008","toonniito'no'ookeit,",1,,,,
"TwoS(o).008",heetniibiino',2,,,,
"TwoS(o).008",no'oteihiit.”,3,,,,
"TwoS(o).009",wohei,1,,,,
"TwoS(o).009",ne'neenou'u3i',2,,,,
"TwoS(o).009",nuhu',3,,,,
"TwoS(o).009",honoh'oho'.,4,,,,
"TwoS(o).010",heetniinoo'ei3i'.,1,,,,
"TwoS(o).011","hei'iise'enou'u3i',",1,,,,
"TwoS(o).011",ne'ce3ei'oo3i'.,2,,,,
"TwoS(o).012",wohei,1,,,,
"TwoS(o).012",nehe',2,,,,
"TwoS(o).012","nonookoxoneet,",3,,,,
"TwoS(o).012",hihcebee,4,,,,
"TwoS(o).012",hini'iit,5,,,,
"TwoS(o).012",hiyeih'inoo,6,,,,
"TwoS(o).012",he'ihnoo'oohoe,7,,,,
"TwoS(o).012",biixoxko'[on]ou'u.,8,,,,
"TwoS(o).013",wohei,1,,,,
"TwoS(o).013",neneenini3i,2,,,,
"TwoS(o).013",hoseinou'u,3,,,,
"TwoS(o).013",ce'no'xotonoot,4,,,,
"TwoS(o).013",hiniisonoon.,5,,,,
"TwoS(o).014",“wohei,1,,,,
"TwoS(o).014",niiyou,2,,,,
"TwoS(o).014",nuhu',3,,,,
"TwoS(o).014",hoseinou'u.”,4,,,,
"TwoS(o).015",“hee,1,,,,
"TwoS(o).015",heeteehehk,2,,,,
"TwoS(o).015","nono'oteiht,”",3,,,,
"TwoS(o).015",hee3oohok,4,,,,
"TwoS(o).015",hiih'o.,5,,,,
"TwoS(o).016",wohei,1,,,,
"TwoS(o).016",ne'neenini3,2,,,,
"TwoS(o).016",beniinoot;,3,,,,
"TwoS(o).017",tou3e'einoot,1,,,,
"TwoS(o).017",nuhu',2,,,,
"TwoS(o).017",no'oteihiit.,3,,,,
"TwoS(o).018",wohei,1,,,,
"TwoS(o).018",hi'in,2,,,,
"TwoS(o).018",ceese',3,,,,
"TwoS(o).018",ne'no'ookeit.,4,,,,
"TwoS(o).019",“wohei,1,,,,
