ref,word,num,dep,label,dep2,label2
"WD.001",Nuhu',1,,,,
"WD.001",heeteetoo,2,,,,
"WD.001",nih'oo3oo,3,,,,
"WD.001",noh,4,,,,
"WD.001",siisiikou'uu,5,,,,
"WD.001",nee'eesih'iinoo'.,6,,,,
"WD.002",Ceesey,1,,,,
"WD.002",tooyouni',2,,,,
"WD.002",nehe',3,,,,
"WD.002",nih'oo3oo,4,,,,
"WD.002",he'ih'oowuniihisee,5,,,,
"WD.002",niiciihehe'.,6,,,,
"WD.003",Nehe',1,,,,
"WD.003",nih'oo3oo,2,,,,
"WD.003",he'ihciino'onisee.,3,,,,
"WD.004",Wohei,1,,,,
"WD.004",he'ih{3}eh3oo3ookutii,2,,,,
"WD.004",nuhu',3,,,,
"WD.004",niicie.,4,,,,
"WD.005",He'ihnotiitii,1,,,,
"WD.005",bii3wo.,2,,,,
"WD.006",Woowuuno,1,,,,
"WD.006",teecxo',2,,,,
"WD.006",hoowbii3ih,3,,,,
"WD.006",nehe',4,,,,
"WD.006",nih'oo3oo.,5,,,,
"WD.007",He'ihteseesnee.,1,,,,
"WD.008",Wohei,1,,,,
"WD.008","heetnosouseet,",2,,,,
"WD.008",nuhu',3,,,,
"WD.008",niiciihehe',4,,,,
"WD.008",he'ihko'einoowoo'oo.,5,,,,
"WD.009",Wohei,1,,,,
"WD.009",he'ih3ebko'eisee.,2,,,,
"WD.010",ko'ei[n]3ookutii,1,,,,
"WD.010",nehe',2,,,,
"WD.010",nih'oo3oo,3,,,,
"WD.010",nuhu',4,,,,
"WD.010",niicie.,5,,,,
"WD.011",Huu3e',1,,,,
"WD.011",he'ihniitonee,2,,,,
"WD.011",neh'eeno,3,,,,
"WD.011",siisiiko'uu;,4,,,,
"WD.012",he'ihno'oteineetiino'.,1,,,,
"WD.013",Wohei,1,,,,
"WD.013",heesi3ecoohok,2,,,,
"WD.013",nehe',3,,,,
"WD.013","nih'oo3oo,",4,,,,
"WD.013",bii3wo,5,,,,
"WD.013",neniitowootowoo.,6,,,,
"WD.014",Neh'eeno,1,,,,
"WD.014",siisiikou'uu,2,,,,
"WD.014",huu3e',3,,,,
"WD.014","w{on}oo3eehkoni',",4,,,,
"WD.014",neniitonou'u.,5,,,,
"WD.015",Nuhu',1,,,,
"WD.015",siisiikou'uu,2,,,,
"WD.015",nenee3i',3,,,,
"WD.015",ni'ceihiihiiho'.,4,,,,
"WD.016",Heetneyeihnehtonihou'u,1,,,,
"WD.016",heetihP,2,,,,
"WD.017",heet[n]eeneisiitenou'u.,1,,,,
"WD.018",heetneenehtonihou'u.,1,,,,
"WD.019",Wohei,1,,,,
"WD.019",nehe',2,,,,
"WD.019",nih'oo3oo,3,,,,
"WD.019",he'ihceenok;,4,,,,
"WD.020",he'ihbebiisiini,1,,,,
"WD.020",kokoh'u3ecoo.,2,,,,
"WD.021",Neetousiinihoono',1,,,,
"WD.021",nuh'uuno,2,,,,
"WD.021",siisiikou'uu,3,,,,
"WD.021",heesi3ecoohehk.,4,,,,
"WD.022",Wohei,1,,,,
"WD.022",he'ihkokoh'oeP,2,,,,
"WD.022",kokoh'oeneet;,3,,,,
"WD.023",he'ne'bii'eeneetP,1,,,,
"WD.023",bii'eeneet,2,,,,
"WD.023",heetniisiini,3,,,,
"WD.023",hiisiitenoot,4,,,,
"WD.023",nuhu',5,,,,
"WD.023",siisiikou'uu.,6,,,,
"WD.024",Heetniisnehtonihoot,1,,,,
"WD.024",nuhu',2,,,,
"WD.024",siisiiko'uu.,3,,,,
"WD.025",Wohei,1,,,,
"WD.025",he'ihyihoo,2,,,,
"WD.025",nuh'uuno,3,,,,
"WD.025",heethoo'eiP,4,,,,
"WD.025",hoo'einouwu3i',5,,,,
"WD.025",nuh'uuno,6,,,,
"WD.025",siisiikou'uu.,7,,,,
"WD.026",He'ihyihoo.,1,,,,
"WD.027",He'ih3ebiini,1,,,,
"WD.027",heeneti3ee,2,,,,
"WD.027",siisiikou'uu:,3,,,,
"WD.028",cihno'o'us[ee]',1,,,,
"WD.028",nuh'uuno,2,,,,
"WD.028",niicie.,3,,,,
"WD.029","niibeeteeneti3e3enee,",1,,,,
"WD.029",hee3oohok,2,,,,
"WD.029",nuh'uuno,3,,,,
"WD.029",siisiikou'uu.,4,,,,
"WD.030","Hiiko,",1,,,,
"WD.030",hee3eihok,2,,,,
"WD.030",nuhu',3,,,,
"WD.030",siisiikou'uu.,4,,,,
"WD.031",Niiseen.,1,,,,
"WD.032",Heebehbeetbeebiinei'ee;,1,,,,
"WD.033",nooxeihi',1,,,,
"WD.033","nenee'eesi3ecoo[n],",2,,,,
"WD.033",hee3eihok,3,,,,
"WD.033",nuhu',4,,,,
"WD.033",siisiikou'uu.,5,,,,
"WD.034","Hiiko,",1,,,,
"WD.034",hee3oohok.,2,,,,
"WD.035",Huut,1,,,,
"WD.035",noo'useenoo.,2,,,,
"WD.036",Niibeetiixoohoo3ihe3enee,1,,,,
"WD.036",nuh'uuno,2,,,,
"WD.036",hoonobee',3,,,,
"WD.036","betooot,",4,,,,
"WD.036",hee3oohok.,5,,,,
"WD.037","Heetcihno'o'useenee,",1,,,,
"WD.038",heetbeebetooohe3enee,1,,,,
"WD.038",nuhu',2,,,,
"WD.038",betooot,3,,,,
"WD.038","niihonobee',",4,,,,
"WD.038","niihoononobeinooni',",5,,,,
"WD.038",hee3oohok,6,,,,
"WD.038",nuhu',7,,,,
"WD.038",siisiikou'uu.,8,,,,
"WD.039",Wohei,1,,,,
"WD.039",beexoo3iihi',2,,,,
"WD.039",'oh,3,,,,
"WD.039",he'ihni'oobe'.,4,,,,
"WD.040",Noh,1,,,,
"WD.040",he'ihbisnouunouwuno',2,,,,
"WD.040",nuh'uuno,3,,,,
"WD.040",siisiiko'uu,4,,,,
"WD.040",nuhu',5,,,,
"WD.040",niicie.,6,,,,
"WD.041",He'ihcih'eti3ee;,1,,,,
"WD.042",huutiino,1,,,,
"WD.042",heet3i'ookuunoo.,2,,,,
"WD.043",Heetnehneeniiboone3enee,1,,,,
"WD.043",nuhu',2,,,,
"WD.043","niiboot,",3,,,,
"WD.044",'oh,1,,,,
"WD.044",neneeninee,2,,,,
"WD.044",heetko'eineekuunee,3,,,,
"WD.044","huut,",4,,,,
"WD.044",huut,5,,,,
"WD.044",neneeninoo.,6,,,,
"WD.045",Heetneeniibei'inoo.,1,,,,
"WD.046",Wohei,1,,,,
"WD.046","t[on]oo'ootineenooni,",2,,,,
"WD.046",hoononee,3,,,,
"WD.046","heetniikookon3e'ineekoohunee,",4,,,,
"WD.046",hee3oohok.,5,,,,
"WD.047",'oh,1,,,,
"WD.047",beebeet,2,,,,
"WD.047",ciibeh'iikoonooku',3,,,,
"WD.047",beeteeenoni.,4,,,,
"WD.048",Ciibeh'iikookoonooku,1,,,,
"WD.048","beteeenehk,",2,,,,
"WD.048",hee3oohok,3,,,,
"WD.048",nuh'uuno,4,,,,
"WD.048",siisiiko'uu.,5,,,,
"WD.049",Wohei,1,,,,
"WD.049",he'ihni'oobee.,2,,,,
"WD.050","Heetneeniibei'inoo,",1,,,,
"WD.051",'{he},1,,,,
"WD.051",oh,2,,,,
"WD.051",hetiinei'no'uusii'oobe.,3,,,,
"WD.052",'oh,1,,,,
"WD.052","t[on]oo'oot{oot}ineenooni,",2,,,,
"WD.052",'oh,3,,,,
"WD.052",hoononee,4,,,,
"WD.052","hetiikookon3e'ineekoohube,",5,,,,
"WD.052","hetneeniitouuhube,",6,,,,
"WD.052",hee3oohok.,7,,,,
"WD.053",Beebeet,1,,,,
"WD.053",ciibehkookoonooku'oo'.,2,,,,
"WD.054",Wohei,1,,,,
"WD.054",he'ihcesootinee,2,,,,
"WD.054",nehe',3,,,,
"WD.054",nih'oo3oo.,4,,,,
"WD.055",Nuhu',1,,,,
"WD.055",niiboot,2,,,,
"WD.055",he'ihniiboot:,3,,,,
"WD.055",be'eihtee,4,,,,
"WD.055",niisiciheinii,5,,,,
"WD.055",toonniikoonooku3i,6,,,,
"WD.055",heetniinecei'i.,7,,,,
"WD.056",He'ne'kookon3e'ineekoohu3i',1,,,,
"WD.056",nuh'uuno,2,,,,
"WD.056",siisiikou'uu.,3,,,,
"WD.057",He'ih'i3kuu3ee,1,,,,
"WD.057",nuhu',2,,,,
"WD.057",siisiikou'uu.,3,,,,
"WD.058","he'ih{nii}tebe'eikuu3ee,",1,,,,
"WD.059",he'ihciinkuu3ee.,1,,,,
"WD.060",'oh,1,,,,
"WD.060",hoowoe'inone',2,,,,
