ref,word,num,dep,label,dep2,label2
"WRTC6.001",A,1,,,,
"WRTC6.001",Tous,2,,,,
"WRTC6.001",no'oo.,3,,,,
"WRTC6.002",B,1,,,,
"WRTC6.002",Tous,2,,,,
"WRTC6.002",te3ou.,3,,,,
"WRTC6.003",A,1,,,,
"WRTC6.003",Kooniini'iini?,2,,,,
"WRTC6.004",B,1,,,,
"WRTC6.004",Niini'iini.,2,,,,
"WRTC6.005",A,1,,,,
"WRTC6.005",Tooteihiitisee?,2,,,,
"WRTC6.006",B,1,,,,
"WRTC6.006",Heseisiiniicie,2,,,,
"WRTC6.006",co'ouutou3eino'oowuu'.,3,,,,
"WRTC6.007",B,1,,,,
"WRTC6.007",Heitoustoo?,2,,,,
"WRTC6.008",A,1,,,,
"WRTC6.008",Heetwoneesooku'oonoo,2,,,,
"WRTC6.008",ce'iskuu3oo.,3,,,,
"WRTC6.009",A,1,,,,
"WRTC6.009",'oh,2,,,,
"WRTC6.009","neneenin,",3,,,,
"WRTC6.009",heetoustoo?,4,,,,
"WRTC6.010",B,1,,,,
"WRTC6.010",Heetwoncebiihineenoo.,2,,,,
"WRTC6.011",B,1,,,,
"WRTC6.011",Keetceixotone3,2,,,,
"WRTC6.011",[hee]tihbii3ihin.,3,,,,
"WRTC6.012",A,1,,,,
"WRTC6.012",Ceixotoni,2,,,,
"WRTC6.012",[hee]tihbii3ihinoo.,3,,,,
"WRTC6.013",B,1,,,,
"WRTC6.013","'ine,",2,,,,
"WRTC6.013",heetce'noohobe3en.,3,,,,
"WRTC6.014",B,1,,,,
"WRTC6.014",Biixoo3e3en.,2,,,,
"WRTC6.015",A,1,,,,
"WRTC6.015","Beexoo3iihi',",2,,,,
"WRTC6.015",heetce'noohobe3en.,3,,,,
"WRTC6.016",A,1,,,,
"WRTC6.016",Biixoo3e3en.,2,,,,
