ref,word,num,dep,label,dep2,label2
"WSn.001",hisei,1,,,,
"WSn.001",noh,2,,,,
"WSn.001",siisiiyei.,3,,,,
"WSn.002",teecxo',1,,,,
"WSn.002",cenoho'uneniteeno',2,,,,
"WSn.002",hitoo3itooninoo.,3,,,,
"WSn.003",3owo3neniteeno',1,,,,
"WSn.003",he'ihcebiihino';,2,,,,
"WSn.004",he'ihno'otoo'oe.,1,,,,
"WSn.005",ceese',1,,,,
"WSn.005",hisei,2,,,,
"WSn.005",he'ih'ito'oo.,3,,,,
"WSn.006",he'ikooxuni,1,,,,
"WSn.006",hehniiseihini3.,2,,,,
"WSn.007",he'ih'iite'einee,1,,,,
"WSn.007",hiwoxuuhooxebii,2,,,,
"WSn.007",nih'ii'itoo3iwooni3,3,,,,
"WSn.007",hokooxuno.,4,,,,
"WSn.008",he'ihtouku3ee,1,,,,
"WSn.008",hohooti',2,,,,
"WSn.008",nuhu',3,,,,
"WSn.008",nih'itoohuuni3.,4,,,,
"WSn.009",wohei,1,,,,
"WSn.009",nehe',2,,,,
"WSn.009",hisei,3,,,,
"WSn.009",he'ihce'notiihee,4,,,,
"WSn.009",hokooxun.,5,,,,
"WSn.010",he'ihnono3bii'inee,1,,,,
"WSn.010",hihcebehe'.,2,,,,
"WSn.011",he'ih'itenee,1,,,,
"WSn.011",nuhu',2,,,,
"WSn.011",hokooxun.,3,,,,
"WSn.012",he'ihce'no'uxohee,1,,,,
"WSn.012",heetohtoukuhuni3.,2,,,,
"WSn.013",he'ihco'oyooku3ee,1,,,,
"WSn.013",nuhu',2,,,,
"WSn.013",hokooxun.,3,,,,
"WSn.014",he'ihciinkuu3ee,1,,,,
"WSn.014",nuhu',2,,,,
"WSn.014",huutoohuuni3.,3,,,,
"WSn.015",noh,1,,,,
"WSn.015",nehe',2,,,,
"WSn.015",hisei,3,,,,
"WSn.015",hiteexokuuton,4,,,,
"WSn.015",he'ih'eneebihcehin.,5,,,,
"WSn.016",he'ih'einokun,1,,,,
"WSn.016",hohootin.,2,,,,
"WSn.017",he'ih'iibeetoh,1,,,,
"WSn.017",nee'eetohteesiseet.,2,,,,
"WSn.018",noh,1,,,,
"WSn.018",nehe',2,,,,
"WSn.018",hisei,3,,,,
"WSn.018",tohteexouuhut,4,,,,
"WSn.018",nuhu',5,,,,
"WSn.018","hohootin,",6,,,,
"WSn.018",noh,7,,,,
"WSn.018",hiwoxuuhoox,8,,,,
"WSn.018",he'ihciibeetohteiitooyookuun.,9,,,,
"WSn.019",he'ihcesiikohe',1,,,,
"WSn.019",[hi]teexokuuton.,2,,,,
"WSn.020",he'ihce3koohun,1,,,,
"WSn.020",[hi]teexokuuton.,2,,,,
"WSn.021",he'ihbeetoh3ookce3ei'oo.,1,,,,
"WSn.022",he'ihciini'noh'oowusee.,1,,,,
"WSn.023",he'ihnoohobee,1,,,,
"WSn.023",siisiiyein.,2,,,,
"WSn.024",he'inee'eetohteexookuut.,1,,,,
"WSn.025",noh,1,,,,
"WSn.025",nehe',2,,,,
"WSn.025",siisiiyei,3,,,,
"WSn.025",he'ihce3ei'oo,4,,,,
"WSn.025",yiisiihi',5,,,,
"WSn.025",heetohtonotini'.,6,,,,
"WSn.026",he'ihciitei.,1,,,,
"WSn.026",nehe',2,,,,
"WSn.026",siisiiyei,3,,,,
"WSn.026",beebei'on,4,,,,
"WSn.026",hi3oobe',5,,,,
"WSn.026",heetohbih'iyooni'.,6,,,,
"WSn.027",noh,1,,,,
"WSn.027",nehe',2,,,,
"WSn.027",siisiiyei,3,,,,
"WSn.027",he'ih3owo3neniteen.,4,,,,
"WSn.028",he'ih'eeneti3e',1,,,,
"WSn.028",nehe',2,,,,
"WSn.028",hisei.,3,,,,
"WSn.029",heenoo,1,,,,
"WSn.029",hiitene3en,2,,,,
"WSn.029",toh'owouunone3en,3,,,,
"WSn.029",toh'esoxu'unin.,4,,,,
"WSn.030",hootniistone3en;,1,,,,
"WSn.030",hootniisneniibin.,2,,,,
"WSn.031",wohei,1,,,,
"WSn.031",nehe',2,,,,
"WSn.031",hisei,3,,,,
"WSn.031",he'ihniisneniibee.,4,,,,
"WSn.032",yein,1,,,,
"WSn.032",cec,2,,,,
"WSn.032",he'ne'nih'iicisniisneniiwoot.,3,,,,
"WSn.033",he'ihbee3[ce]ciiniini***,1,,,,
"WSn.033",yein;,2,,,,
"WSn.033",he'ihbenii'owuun.,3,,,,
"WSn.034",woow,1,,,,
"WSn.034",hootneeckoohun,2,,,,
"WSn.034",hee3oohok,3,,,,
"WSn.034",nuhu',4,,,,
"WSn.034",hisein,5,,,,
"WSn.034",siisiiyei.,6,,,,
"WSn.035",hehniiseti',1,,,,
"WSn.035",hootniiseineebe3en,2,,,,
"WSn.035",heehehk,3,,,,
"WSn.035",nehe',4,,,,
"WSn.035",siisiiyei.,5,,,,
"WSn.036",yein,1,,,,
"WSn.036",cec,2,,,,
"WSn.036",hootneihoow3oxonihe',3,,,,
"WSn.036",hees.,4,,,,
"WSn.037",heecet,1,,,,
"WSn.037","3oxoniheininehk,",2,,,,
"WSn.037",hiit,3,,,,
"WSn.037",hootcihce'eentoon.,4,,,,
"WSn.038",heito'eino',1,,,,
"WSn.038",hoowciixokuno'.,2,,,,
"WSn.039",neecisee,1,,,,
"WSn.039",heehehk,2,,,,
"WSn.039",siisiiyei.,3,,,,
"WSn.040",nehe',1,,,,
"WSn.040",hisei,2,,,,
"WSn.040",he'ihce3ei'oo.,3,,,,
"WSn.041",he'ihkoxtisee,1,,,,
"WSn.041",3o3ouutei'i;,2,,,,
"WSn.042",he'ihnoohoot,1,,,,
"WSn.042",niiinono.,2,,,,
"WSn.043","hei'too3no'useet,",1,,,,
"WSn.043",he'ihkookokoh'uutii.,2,,,,
"WSn.044",he'ihnehtiitii,1,,,,
"WSn.044",hiyeih'inoo;,2,,,,
"WSn.045",he'ihnoohobee,1,,,,
"WSn.045",tei'yoonoh'o;,2,,,,
"WSn.045",he'ih'iinikotiinino.,3,,,,
"WSn.046",beeyoo,1,,,,
"WSn.046",he'inee'eesiseet.,2,,,,
"WSn.047",nuhu',1,,,,
"WSn.047",tei'yoonoh'o',2,,,,
"WSn.047",he'ihnehtiiheeno',3,,,,
"WSn.047",hiinooninoo.,4,,,,
"WSn.048",neinooninoo,1,,,,
"WSn.048",noo'useet,2,,,,
"WSn.048",heehehkoni',3,,,,
"WSn.048",tei'yoonoh'o'.,4,,,,
"WSn.049",he'ihcesiikoohuno',1,,,,
"WSn.049",hiinooninoo.,2,,,,
"WSn.050",hiix,1,,,,
"WSn.050",he'ihcihnouuhcehin.,2,,,,
"WSn.051",he'ihyihkoo,1,,,,
"WSn.051",hiniin.,2,,,,
"WSn.052",hisei,1,,,,
"WSn.052",he'ih'oxou'ei'oo.,2,,,,
"WSn.053","noo'useenoo,",1,,,,
"WSn.053",heehehk,2,,,,
"WSn.053",nehe',3,,,,
"WSn.053",hisei.,4,,,,
"WSn.054",he'ihceciito'one',1,,,,
"WSn.054",hiix.,2,,,,
"WSn.055",hineniteeno',1,,,,
"WSn.055",he'ihbeisini'i3ecoono'.,2,,,,
"WSn.056",he'ih'ei'towuunee,1,,,,
"WSn.056",hiix,2,,,,
"WSn.056",hotniicii3oxoniheit.,3,,,,
"WSn.057",he'ne'nih'iisiine'etii3i'.,1,,,,
"WSn.058",noh,1,,,,
"WSn.058",nehe',2,,,,
"WSn.058",hinen,3,,,,
"WSn.058",he'ihnonihi';,4,,,,
"WSn.059",he'ih'ee3kuu3ee,1,,,,
"WSn.059",hiniin.,2,,,,
"WSn.060",he'ihwoon3ooxu3ecoo;,1,,,,
"WSn.061",heenoo,1,,,,
"WSn.061","heihoowuniisihe3,",2,,,,
"WSn.061",heehehk.,3,,,,
"WSn.062",noh,1,,,,
"WSn.062",nehe',2,,,,
"WSn.062",hisei,3,,,,
"WSn.062",xooxonou,4,,,,
"WSn.062",he'ihteeneih;,5,,,,
"WSn.063",he'ih'iisib;,1,,,,
"WSn.063",he'ihnii'ein.,2,,,,
"WSn.064",he'ihkooni'einee,1,,,,
"WSn.064",hiniin.,2,,,,
"WSn.065",siisiiyei,1,,,,
"WSn.065",he'ihnoononoutoos.,2,,,,
"WSn.066",he'ih3i'esei'oo;,1,,,,
"WSn.067",he'ihkooko'oo3onii.,1,,,,
"WSn.068",wohei,1,,,,
"WSn.068",nehe',2,,,,
"WSn.068",siisiiyei,3,,,,
"WSn.068",he'ihnouutooceisee.,4,,,,
"WSn.069",he'ihce3ooceisee;,1,,,,
"WSn.070",he'ih'iikooceisee;,1,,,,
"WSn.071",noh,1,,,,
"WSn.071",beebeet,2,,,,
"WSn.071",he'ne'nih'ii3oohobeit.,3,,,,
"WSn.072",he'ne'nih'ii3eecii3oxonihoo3i',1,,,,
"WSn.072",hinenno',2,,,,
"WSn.072",hiseino.,3,,,,
"WSn.073",nee'ei'ise',1,,,,
"WSn.073",nuhu',2,,,,
"WSn.073",hoo3itoo.,3,,,,
